seed,fold,model,rmse,mae,r2,converged,warnings
20250904,0,mixed_linear,0.031098127025235955,0.025915354422095,0.06992145665622385,True,
20250904,0,mixed_hinge18,0.03119810026163643,0.02593207821409407,0.06393187269870926,True,
20250904,0,ridge,0.03025622825837028,0.024735315709102985,0.11959857887754555,True,
20250904,0,random_forest,0.02900904335293517,0.02312405755030094,0.19068428539062987,True,
20250904,1,mixed_linear,0.036504290873432,0.027902440449195216,-0.06795561067143852,True,
20250904,1,mixed_hinge18,0.03656301047552985,0.02785328647193985,-0.07139413055936061,True,
20250904,1,ridge,0.03440790155472479,0.026323433224201626,0.0511845606368011,True,
20250904,1,random_forest,0.034418238644405214,0.025047731938243372,0.05061437395641488,True,
20250904,2,mixed_linear,0.034809783839383754,0.029809794400285985,-0.06359450264947664,True,
20250904,2,mixed_hinge18,0.03515558982854541,0.030040796999192973,-0.08483130376033299,True,
20250904,2,ridge,0.03294002862251807,0.02753970423120038,0.047595638645738236,True,
20250904,2,random_forest,0.031123602942017728,0.025595926605974064,0.14973722961655778,True,
20250904,3,mixed_linear,0.032713341179570594,0.02573574145423754,0.06279261127292568,True,
20250904,3,mixed_hinge18,0.032651240704172226,0.025747353562341396,0.06634747788879447,True,
20250904,3,ridge,0.033351386068054115,0.026595573982685753,0.025877279347867432,True,
20250904,3,random_forest,0.03111566944627317,0.024059312889613764,0.15210085767332204,True,
20250904,4,mixed_linear,0.03327726343289551,0.02686718528098551,-0.1675398544850657,True,
20250904,4,mixed_hinge18,0.03329755645489118,0.026800285026264303,-0.1689642586377189,True,
20250904,4,ridge,0.031340224541712224,0.025887260433051014,-0.03557298455770819,True,
20250904,4,random_forest,0.02813262012798954,0.023301559077557404,0.16555662900154622,True,
20250905,0,mixed_linear,0.03173131526994276,0.026338787662129846,-0.04062311241220207,True,
20250905,0,mixed_hinge18,0.032089778086684534,0.026639612962861572,-0.06426736947668954,True,
20250905,0,ridge,0.029970264887085332,0.025104404490311375,0.07167834351734581,True,
20250905,0,random_forest,0.02781242773382076,0.02309635452997554,0.2005429825011853,True,
20250905,1,mixed_linear,0.03280991023290733,0.027024937783837202,-0.10300658750015956,True,
20250905,1,mixed_hinge18,0.03274382598277309,0.026782917512475215,-0.09856780937164111,True,
20250905,1,ridge,0.03219726122389054,0.02704142504382652,-0.062198989997664045,True,
20250905,1,random_forest,0.03040230831513062,0.024772089385264175,0.05293205003684742,True,
20250905,2,mixed_linear,0.03655961266734159,0.03047300489516296,-0.19346429926583264,True,
20250905,2,mixed_hinge18,0.03668357358956066,0.030399988183676795,-0.20157126407545767,True,
20250905,2,ridge,0.03386538034503511,0.027518923875145346,-0.024042958258178926,True,
20250905,2,random_forest,0.03146774904330865,0.024998189589996965,0.11582625148490644,True,
20250905,3,mixed_linear,0.031850660813145984,0.024562149461288693,0.05810779838465541,True,
20250905,3,mixed_hinge18,0.031838047280802195,0.02466181085389674,0.058853668954667704,True,
20250905,3,ridge,0.0318695533294008,0.02463665975941894,0.05699008271879491,True,
20250905,3,random_forest,0.03134523421493688,0.023178302730433427,0.08776370933283029,True,
20250905,4,mixed_linear,0.03576285663922155,0.028297393376640292,0.023061953477938157,True,
20250905,4,mixed_hinge18,0.0358800364590248,0.028388905919808173,0.016649436012631358,True,
20250905,4,ridge,0.03527302156107466,0.028119360559015764,0.049640440579416856,True,
20250905,4,random_forest,0.033559908764500865,0.0257288091342259,0.13971141011635047,True,
20250906,0,mixed_linear,0.03265648249549094,0.026360439181398625,-0.012217897283844703,True,
20250906,0,mixed_hinge18,0.033011815727823725,0.02671596066181744,-0.0343655034463175,True,
20250906,0,ridge,0.0317815246971595,0.025802106016526525,0.04129573265385911,True,
20250906,0,random_forest,0.02998210997744476,0.024423091807297365,0.14678282415401211,True,
20250906,1,mixed_linear,0.0357209724796836,0.029661844227486477,-0.0687112085940278,True,
20250906,1,mixed_hinge18,0.03578312869689813,0.029596986932870675,-0.07243366263375584,True,
20250906,1,ridge,0.0350423428431302,0.028863521686955083,-0.028490028339952067,True,
20250906,1,random_forest,0.03306583034440906,0.026172227503645867,0.08425894953201107,True,
20250906,2,mixed_linear,0.032598228623821245,0.025568032185412336,0.07969715402834687,True,
20250906,2,mixed_hinge18,0.03259007649268286,0.02563045068471353,0.08015739323177506,True,
20250906,2,ridge,0.03182887518127583,0.025250632541285067,0.12262481968168337,True,
20250906,2,random_forest,0.03130387525772258,0.024180406438669772,0.15132976426785305,True,
20250906,3,mixed_linear,0.029833119199397178,0.02412851609594261,-0.1538830466362966,True,
20250906,3,mixed_hinge18,0.029694323999359402,0.02385001087505917,-0.14317140234667702,True,
20250906,3,ridge,0.027781792456741082,0.021747725036843527,-0.0006564314626222867,True,
20250906,3,random_forest,0.02625451631468284,0.02028163874896644,0.10633960943148613,True,
20250906,4,mixed_linear,0.037620425093344644,0.030944449291297093,-0.05960730386820079,True,
20250906,4,mixed_hinge18,0.03783842951383399,0.031082193958582315,-0.07192339956510296,True,
20250906,4,ridge,0.03553318432498379,0.029557242041390538,0.054708389322037476,True,
20250906,4,random_forest,0.0335560001359797,0.026801684323026525,0.15697991651435828,True,
20250907,0,mixed_linear,0.03495621248312558,0.027668029785165343,-0.011414219688453242,True,
20250907,0,mixed_hinge18,0.0348410249972376,0.027632285308899034,-0.004759590702908545,True,
20250907,0,ridge,0.03353764669553428,0.026275823025452776,0.06900899560876872,True,
20250907,0,random_forest,0.03395115913342061,0.025340588134029403,0.04590959904505054,True,
20250907,1,mixed_linear,0.03691824798023304,0.02893281670585794,-0.09814118222018053,True,
20250907,1,mixed_hinge18,0.037147055175083626,0.029081473683623373,-0.11179520096993745,True,
20250907,1,ridge,0.03471073874341466,0.02783603960418763,0.02925820832649162,True,
20250907,1,random_forest,0.03400178197285433,0.026533282965776124,0.06850748420023178,True,
20250907,2,mixed_linear,0.03070286341999824,0.02593431184169819,-0.008875091468623308,True,
20250907,2,mixed_hinge18,0.030937136468892755,0.02598674119995095,-0.02432993445573839,True,
20250907,2,ridge,0.029903756647776836,0.02524951761307173,0.04295768995539184,True,
20250907,2,random_forest,0.027499206751133824,0.02318940578499909,0.19068056281948742,True,
20250907,3,mixed_linear,0.03427764879220941,0.027766830064038305,0.026268851341926025,True,
20250907,3,mixed_hinge18,0.03426522558858583,0.027733958933839568,0.02697453966279395,True,
20250907,3,ridge,0.036114387410183114,0.027838062285640067,-0.0808800935308791,True,
20250907,3,random_forest,0.032509156240046654,0.02468814573074063,0.12415267290927312,True,
20250907,4,mixed_linear,0.03218837351895792,0.02650603869708312,-0.14279817858453403,True,
20250907,4,mixed_hinge18,0.03236173366175374,0.02653485323815651,-0.1551410924605563,True,
