seed,fold,model,nll,success,brier_12,brier_14,brier_16,brier_18,brier_20,mean_brier
20252904,0,bmi_only,0.6145924220652972,True,0.2327528914649939,0.09525566887692472,0.07214343419932608,0.05674166082752375,0.05691757858436951,0.10276224679062758
20252904,0,bmi_age_height,0.6100401062448549,True,0.22976609979327073,0.09432774895387541,0.07082183214165809,0.05623139094827381,0.05653846552343202,0.10153710747210201
20252904,0,bmi_full,0.6021312837992788,True,0.22784745112034563,0.09327039629788371,0.07078489255609759,0.05633579189544392,0.05670981654146319,0.1009896696822468
20252904,0,weight_height_full,0.6006493720668025,True,0.22621994116864513,0.09241990509018475,0.07018187786009038,0.05612542609151136,0.056557321293167664,0.10030089430071987
20252904,1,bmi_only,0.7692638140589045,True,0.29477784991237227,0.06202254312324154,0.05692074962155018,0.03518556794029699,0.0349391321838747,0.09676916855626713
20252904,1,bmi_age_height,0.7859339247355296,True,0.30426619501501256,0.059287458468307234,0.054588118355835165,0.03461040807930107,0.03464560191582931,0.09747955636685707
20252904,1,bmi_full,0.7977948105920362,True,0.3170743067137582,0.06068895263845155,0.055238398165419346,0.03618069803937849,0.03589254563101552,0.10101498023760462
20252904,1,weight_height_full,0.7958949695128692,True,0.315813960395962,0.059975671692656406,0.05472434256838622,0.03591153028028386,0.035696896661630645,0.10042448031978382
20252904,2,bmi_only,0.6030574700841826,True,0.2812474768775634,0.07677271508637763,0.05687235101965097,0.004682276700436784,0.002343842444472999,0.08438373242570037
20252904,2,bmi_age_height,0.6151951824996078,True,0.28942083308243616,0.08080166393606186,0.059740476731772636,0.00506794084681015,0.002537381783538069,0.08751365927612378
20252904,2,bmi_full,0.614022638306716,True,0.28701115066272004,0.08152785257816199,0.060871283602486476,0.00579541760586155,0.0029536063835255725,0.08763186216655112
20252904,2,weight_height_full,0.6134434087197969,True,0.28830015096746164,0.08184705320036911,0.061098257286557225,0.006061134649481713,0.0031256903048161775,0.08808645728173717
20252904,3,bmi_only,0.7835890932678687,True,0.40303173539154924,0.0909543054824779,0.06419765478057182,0.05683877650724884,0.03902389706360825,0.1308092738450912
20252904,3,bmi_age_height,0.7864531175289536,True,0.4061966641271576,0.09161961916579378,0.06463893869966066,0.057138083219495574,0.0390595551288097,0.13173057206818345
20252904,3,bmi_full,1.1517710516574815,True,0.4241994748053793,0.09720857686499061,0.06812417145019961,0.05924510251657396,0.03917484668076957,0.1375904344635826
20252904,3,weight_height_full,1.1918864890252785,True,0.4218205406224829,0.09704160510887465,0.06799308993445095,0.059354211045996995,0.039247832294121425,0.1370914558011854
20252904,4,bmi_only,0.6656568419420865,True,0.23764001092309694,0.11779567393910481,0.11106947842761888,0.02412042089228333,0.00226506499583314,0.09857812983558742
20252904,4,bmi_age_height,0.6716394519552956,True,0.23931891863327126,0.11899901624515985,0.11172397216652491,0.023750298998953617,0.0022780889521473407,0.09921405899921139
20252904,4,bmi_full,0.6695806201162968,True,0.2399362047190642,0.11864131149827196,0.1109671994917337,0.02363135089310267,0.0021603332098491666,0.09906727996240433
20252904,4,weight_height_full,0.6685266907295377,True,0.23919069404273738,0.11851644867200706,0.11086429831639587,0.023668061126948314,0.002114976598725863,0.0988708957513629
20252905,0,bmi_only,0.5965852292204202,True,0.22883693955159537,0.07829244659263605,0.07099532840753599,0.022982879670327354,0.002850218909699188,0.08079156262635878
20252905,0,bmi_age_height,0.5951748808260734,True,0.22602154922797446,0.07803577214523719,0.0707294210880784,0.02281710277637803,0.0028415473549316785,0.08008907851851996
20252905,0,bmi_full,0.9894236449056487,True,0.24685635550417656,0.08640518900015583,0.07573678602810377,0.026395310807338063,0.0033039089142139285,0.08773951005079764
20252905,0,weight_height_full,0.9669092637609922,True,0.24586852815447996,0.0860823657225539,0.07544083986316479,0.026428349666210348,0.0033196898401874155,0.08742795464931928
20252905,1,bmi_only,0.6655045852711365,True,0.2243567906352401,0.0855729891889445,0.0660144524569159,0.033680756624266124,0.033564725907961654,0.08863794296266567
