model,rmse,rmse,rmse,mae,mae,mae,r2,r2,r2
,mean,std,count,mean,std,count,mean,std,count
mixed_hinge18,0.033886924042205384,0.0022468002060210194,100,0.027411833962455088,0.001821246371302457,100,-0.059494476278144436,0.09477539940356079,100
mixed_linear,0.03377797849268062,0.0022525479524304307,100,0.027369385895091393,0.0018038866137032033,100,-0.05236337114044213,0.09103650026703702,100
random_forest,0.030986656117571967,0.002465541112521917,100,0.024503164727495606,0.0015881399209671724,100,0.11763206041346859,0.05228381208382652,100
ridge,0.03253604799469192,0.002182855739187437,100,0.026358413625006665,0.001627867684799993,100,0.025110779605420838,0.06422947725220979,100
