model,nll,nll,nll,mean_brier,mean_brier,mean_brier
,mean,std,count,mean,std,count
bmi_age_height,0.7010666201614355,0.13466238617452195,500,0.10317708818700838,0.02504488255830637,500
bmi_full,0.7856738585946502,0.22012400268441717,500,0.10661289435432486,0.025417271161903576,500
bmi_only,0.6908544076848926,0.128193007708631,500,0.10216747665036405,0.024724049763667627,500
weight_height_full,0.7852135271370791,0.22158250794146442,500,0.10637245501297521,0.025339481050575565,500
