quantity,n,mean,sd,q025,median,q975
beta_const,500,-2.627020836022022,0.03058206397774487,-2.686221259209896,-2.6276511284621376,-2.5697621327340148
beta_ga_c,500,0.02353573835960928,0.005287708946291318,0.012937787631199215,0.023815626513935567,0.03380231877197088
beta_first_bmi_c,500,-0.037817292456162076,0.010612485616525606,-0.057268514521517405,-0.03796390473162743,-0.015276986105811408
beta_delta_bmi,500,0.012812262322526096,0.015603558695118007,-0.020701974990013153,0.013804519546135147,0.043216114765876355
beta_ga_hinge_18,500,0.03944043997660852,0.009400050852974138,0.020895547950713248,0.0395870150490122,0.05866706481523867
random_intercept_var,500,0.1808527062110768,0.015027235436289053,0.15119404985612622,0.18078648431048144,0.21243747589324374
residual_var,500,0.06692204294515877,0.00613644234167505,0.055818322283580454,0.06656404896012189,0.07975180922306112
icc,500,0.7292934601269444,0.025766935980848706,0.6739838525375766,0.7312138041849348,0.773242404544056
