model_type,metric,improvement_mean,q025,q975,positive_fraction
logistic,roc_auc,-0.03851076810285003,-0.06610312705505335,-0.02154301249069692,0.0
logistic,pr_auc,-0.015562924561952091,-0.0252330002597835,-0.00907382414082096,0.0
logistic,brier,-0.0008258426910895256,-0.009508628750985959,0.003450180636477237,0.38
rf,roc_auc,0.04005810958741357,0.005022428973825543,0.06985457346026475,0.98
rf,pr_auc,0.009888867894627203,-0.00011809742197223521,0.020805230811427676,0.97
rf,brier,0.021025712455621553,0.013918232980773115,0.027875968832474965,1.0
