seed_index,seed,model,roc_auc,pr_auc,brier
0,20330904,logistic_bmi,0.8073028331918418,0.9657720037169781,0.17409336253328253
0,20330904,logistic_full,0.7731446082948402,0.9534350007738113,0.17738184304419086
0,20330904,rf_bmi,0.7851707639335795,0.9617816561745195,0.13113486915266312
0,20330904,rf_full,0.8228283981836496,0.9693885509087168,0.11149601996792384
1,20330905,logistic_bmi,0.8025275458997643,0.9629446131027327,0.17524758429194112
1,20330905,logistic_full,0.7507088870963053,0.9459223244739039,0.17931440855258934
1,20330905,rf_bmi,0.79037500289533,0.9614545381275736,0.1338215824683954
1,20330905,rf_full,0.8189710759240652,0.9710568817416906,0.11630302081531864
2,20330906,logistic_bmi,0.8128344305368008,0.967508255282149,0.1751973142192232
2,20330906,logistic_full,0.7620493484756496,0.9500849017053432,0.18580303351921923
2,20330906,rf_bmi,0.7721965519915347,0.9600228055784779,0.13693800938274023
2,20330906,rf_full,0.7873228738976377,0.9626052126434048,0.12416720065308573
3,20330907,logistic_bmi,0.8107755753142835,0.967833389581938,0.17343195877374998
3,20330907,logistic_full,0.7520853915339616,0.9446392081005628,0.17461876857277853
3,20330907,rf_bmi,0.7705351674103902,0.9546313715625419,0.13496638873756883
3,20330907,rf_full,0.8115169807216486,0.963272522879173,0.11235687556376872
4,20330908,logistic_bmi,0.8162372819566193,0.9674799131463487,0.17317683329210712
4,20330908,logistic_full,0.752588765724151,0.9395838609840745,0.18118227242512105
4,20330908,rf_bmi,0.7766467971628825,0.9583391886744406,0.13301135823305635
4,20330908,rf_full,0.8143268286640526,0.9688268052354942,0.11480957457970263
5,20330909,logistic_bmi,0.813288015154401,0.9677089976144605,0.1739808417609397
5,20330909,logistic_full,0.7704297875383085,0.9520971199486589,0.1722058599936551
5,20330909,rf_bmi,0.7922296443328629,0.9626859484775431,0.1325299342984559
5,20330909,rf_full,0.7867666083572786,0.9619901481135256,0.11743973731709893
6,20330910,logistic_bmi,0.8138173717671793,0.9680550240114232,0.17383826795039664
6,20330910,logistic_full,0.7918983180913213,0.9597887756108521,0.1703228437653426
6,20330910,rf_bmi,0.7969168129436796,0.962733440693142,0.12973679892923337
6,20330910,rf_full,0.8343201215735703,0.9734737162859988,0.1112822859752358
7,20330911,logistic_bmi,0.8022800079357186,0.9611346087965531,0.1738800440881092
7,20330911,logistic_full,0.7782354309607774,0.9524285591542961,0.1711099530701224
7,20330911,rf_bmi,0.7674981646137551,0.9566672001731686,0.1327584486915411
7,20330911,rf_full,0.8069684454555452,0.965451017822357,0.11196315950071528
8,20330912,logistic_bmi,0.8102023507042968,0.966574396241919,0.1742859756364187
8,20330912,logistic_full,0.7801983727752572,0.9530444639186455,0.17540205083610488
8,20330912,rf_bmi,0.7840564201257043,0.96102950032416,0.1353771255849561
8,20330912,rf_full,0.8377708692731691,0.9740977759467553,0.11161386607108016
