target,variant,replicate,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
ANY,group_class_weighted,0,overall_qcfail_negative,low,0.2542372881355932,0.013404825737265397,0.9942864563043762,0.0254668930390492,0.8698412698412697,0.25,0.01282051282051282,607.0,78.0,4.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,0,overall_qcfail_negative,high,0.4285714285714286,0.013404825737265397,0.9974029346838073,0.025996533795493895,0.8725623582766437,0.5,0.01282051282051282,607.0,78.0,2.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,0,overall,three_way,,,,,,,,,,,0.8209750566893423,0.17902494331065766,0.17630385487528347,0.8170068027210885,0.003968253968253968,0.4285714285714286,0.013404825737265409,0.8703857896197613,0.8346738159070596,0.16532618409294006,0.11462205700123913,0.8144396831580315,119.0,486.0,2.0
ANY,group_class_weighted,1,overall_qcfail_negative,low,0.3157894736842105,0.07017543859649125,0.9836785938480854,0.11483253588516751,0.895124716553288,0.125,0.01818181818181818,590.0,55.0,8.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,1,overall_qcfail_negative,high,0.35294117647058826,0.07017543859649125,0.9861895794099184,0.11707317073170734,0.897392290249433,0.14285714285714285,0.01818181818181818,590.0,55.0,7.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,1,overall,three_way,,,,,,,,,,,0.8102418745275887,0.18975812547241114,0.18749055177626603,0.790967498110355,0.019274376417233556,0.35294117647058826,0.07017543859649122,0.898370681829041,0.8292397660818716,0.17076023391812867,0.07919001988790456,0.7868591755597404,120.0,463.0,7.0
ANY,group_class_weighted,2,overall_qcfail_negative,low,0.5956678700361011,0.1860202931228863,0.9858817597378042,0.28350515463917547,0.9054421768707485,0.4166666666666667,0.09259259259259259,597.0,54.0,12.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,2,overall_qcfail_negative,high,0.7674418604651163,0.1860202931228863,0.9936972141686625,0.2994555353901998,0.9124716553287983,0.625,0.09259259259259259,597.0,54.0,8.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,2,overall,three_way,,,,,,,,,,,0.793461829176115,0.2065381708238851,0.1995086923658352,0.7690854119425548,0.02437641723356009,0.7674418604651163,0.18602029312288618,0.9162653562653563,0.6403607666290866,0.35963923337091325,0.15662847790507367,0.7834782974074541,124.0,465.0,8.0
ANY,group_class_weighted,3,overall_qcfail_negative,low,0.4081632653061225,0.05639097744360899,0.9887828777720475,0.09909165978530136,0.8763038548752832,0.16666666666666666,0.014285714285714285,621.0,70.0,6.0,,,,,,,,,,,,,,,
