target,variant,seed,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
T13,group_class_weighted,20260824,overall,three_way,,,,,,,,,,,0.8337112622826911,0.1662887377173091,0.1615268329554044,0.8297430083144373,0.0039682539682539,0.0,0.0,0.9629697107720336,0.7324324324324323,0.2675675675675675,0.0659267480577136,0.8340039447731755,105.0,498.0,2.0
T18,group_class_weighted,20260824,overall_qcfail_negative,low,0.4225352112676055,0.0867052023121387,0.9899114173228346,0.1438848920863309,0.9190476190476188,0.1428571428571428,0.0217391304347826,605.0,46.0,7.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20260824,overall_qcfail_negative,high,0.5882352941176471,0.0867052023121387,0.9948326771653544,0.1511335012594458,0.9235827664399088,0.25,0.0217391304347826,605.0,46.0,4.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20260824,qc_pass,low,0.4081632653061224,0.0934579439252336,0.9892830746489284,0.1520912547528516,0.9236301369863008,0.1428571428571428,0.0256410256410256,500.0,39.0,7.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20260824,qc_pass,high,0.5882352941176471,0.0934579439252336,0.9948263118994826,0.1612903225806451,0.9287671232876707,0.25,0.0256410256410256,500.0,39.0,4.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20260824,overall,three_way,,,,,,,,,,,0.828835978835979,0.1711640211640212,0.1666288737717309,0.8172713529856389,0.0115646258503401,0.5882352941176471,0.0867052023121387,0.9271676300578034,0.7586705202312138,0.2413294797687861,0.1036194415718717,0.8222604986876639,108.0,493.0,4.0
T21,group_class_weighted,20260824,overall_qcfail_negative,low,0.0,0.0,0.9982578397212544,0.0,0.9744897959183672,0.0,0.0,605.0,13.0,1.0,,,,,,,,,,,,,,,
T21,group_class_weighted,20260824,overall_qcfail_negative,high,0.0,0.0,0.9982578397212544,0.0,0.9744897959183672,0.0,0.0,605.0,13.0,1.0,,,,,,,,,,,,,,,
T21,group_class_weighted,20260824,qc_pass,low,0.0,0.0,0.9982466393921684,0.0,0.9748858447488584,0.0,0.0,504.0,11.0,1.0,,,,,,,,,,,,,,,
T21,group_class_weighted,20260824,qc_pass,high,0.0,0.0,0.9982466393921684,0.0,0.9748858447488584,0.0,0.0,504.0,11.0,1.0,,,,,,,,,,,,,,,
T21,group_class_weighted,20260824,overall,three_way,,,,,,,,,,,0.841647770219199,0.1583522297808012,0.1583522297808012,0.83994708994709,0.0017006802721088,0.0,0.0,0.9763779527559056,0.8333333333333333,0.1666666666666666,0.024793388429752,0.8401084010840109,101.0,503.0,1.0
ANY,group_class_weighted,20260824,overall_qcfail_negative,low,0.3076923076923076,0.0711462450592885,0.9792520491803278,0.1155698234349919,0.875056689342403,0.1538461538461538,0.0298507462686567,605.0,67.0,13.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,20260824,overall_qcfail_negative,high,0.3947368421052631,0.0592885375494071,0.988217213114754,0.1030927835051546,0.8816326530612237,0.1428571428571428,0.0149253731343283,605.0,67.0,7.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,20260824,qc_pass,low,0.3076923076923077,0.0789473684210526,0.9793577981651376,0.12565445026178,0.8856164383561638,0.1666666666666666,0.0377358490566037,491.0,53.0,12.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,20260824,qc_pass,high,0.3703703703703704,0.0657894736842105,0.9870030581039754,0.1117318435754189,0.8910958904109583,0.1428571428571428,0.0188679245283018,491.0,53.0,7.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,20260824,overall,three_way,,,,,,,,,,,0.8123960695389268,0.1876039304610733,0.1800075585789871,0.7951625094482239,0.0172335600907029,0.3947368421052631,0.0592885375494071,0.8949144486692016,0.7282608695652176,0.2717391304347827,0.1522140221402214,0.803833674863388,119.0,479.0,7.0
T13,unweighted,20360827,overall_qcfail_negative,low,0.25,0.081081081081081,0.9893491124260356,0.1224489795918367,0.9512471655328796,0.25,0.0869565217391304,605.0,23.0,8.0,,,,,,,,,,,,,,,
T13,unweighted,20360827,overall_qcfail_negative,high,0.25,0.081081081081081,0.9893491124260356,0.1224489795918367,0.9512471655328796,0.25,0.0869565217391304,605.0,23.0,8.0,,,,,,,,,,,,,,,
T13,unweighted,20360827,qc_pass,low,0.2068965517241379,0.0980392156862745,0.986396971847646,0.1330376940133037,0.9553652968036528,0.25,0.1176470588235294,503.0,17.0,8.0,,,,,,,,,,,,,,,
T13,unweighted,20360827,qc_pass,high,0.2068965517241379,0.0980392156862745,0.986396971847646,0.1330376940133037,0.9553652968036528,0.25,0.1176470588235294,503.0,17.0,8.0,,,,,,,,,,,,,,,
T13,unweighted,20360827,overall,three_way,,,,,,,,,,,0.839040060468632,0.1609599395313681,0.1609599395313681,0.8254346182917613,0.0136054421768707,0.25,0.081081081081081,0.9652488439174032,0.6837837837837836,0.3162162162162162,0.0759904741285992,0.8316370808678503,102.0,495.0,8.0
T18,unweighted,20360827,overall_qcfail_negative,low,0.4011461318051576,0.0867052023121387,0.9889798931383578,0.1425903921235783,0.918189180434078,0.125,0.0217391304347826,605.0,46.0,8.0,,,,,,,,,,,,,,,
T18,unweighted,20360827,overall_qcfail_negative,high,0.625,0.0867052023121387,0.9955708661417324,0.1522842639593908,0.9242630385487524,0.25,0.0217391304347826,605.0,46.0,4.0,,,,,,,,,,,,,,,
T18,unweighted,20360827,qc_pass,low,0.3932584269662921,0.0899550224887556,0.988561543485552,0.1464179884957294,0.9201402478799742,0.125,0.0256410256410256,501.0,39.0,8.0,,,,,,,,,,,,,,,
T18,unweighted,20360827,qc_pass,high,0.6060606060606061,0.0899550224887556,0.9951810206351168,0.1566579634464751,0.9262557077625572,0.25,0.0256410256410256,501.0,39.0,4.0,,,,,,,,,,,,,,,
T18,unweighted,20360827,overall,three_way,,,,,,,,,,,0.830471871288198,0.1695281287118022,0.1634542705971277,0.8195875175467014,0.0108843537414966,0.625,0.0867052023121387,0.9258517562119576,0.7745664739884393,0.2254335260115606,0.0980368685659564,0.8234205099362579,108.0,493.0,4.0
