target,variant,coverage_w,bootstrap_coverage_w_q025,bootstrap_coverage_w_q975,chrono_coverage_w,retest_rate_w,bootstrap_retest_rate_w_q025,bootstrap_retest_rate_w_q975,chrono_retest_rate_w,qc_fail_rate_w,bootstrap_qc_fail_rate_w_q025,bootstrap_qc_fail_rate_w_q975,chrono_qc_fail_rate_w,positive_precision_w,bootstrap_positive_precision_w_q025,bootstrap_positive_precision_w_q975,chrono_positive_precision_w,positive_recall_all_w,bootstrap_positive_recall_all_w_q025,bootstrap_positive_recall_all_w_q975,chrono_positive_recall_all_w,negative_npv_w,bootstrap_negative_npv_w_q025,bootstrap_negative_npv_w_q975,chrono_negative_npv_w,false_negative_clear_rate_w,bootstrap_false_negative_clear_rate_w_q025,bootstrap_false_negative_clear_rate_w_q975,chrono_false_negative_clear_rate_w,followup_recall_w,bootstrap_followup_recall_w_q025,bootstrap_followup_recall_w_q975,chrono_followup_recall_w,followup_precision_w,bootstrap_followup_precision_w_q025,bootstrap_followup_precision_w_q975,chrono_followup_precision_w
ANY,unweighted,0.8118866753050428,0.7807464096749811,0.8492375283446711,,0.1881133246949573,0.1507624716553288,0.2192535903250188,,0.1797556959291653,0.1441883975812547,0.2143849206349206,,0.3348082259467005,0.0,1.0,,0.0628458498023715,0.0,0.0799425867110105,,0.8923444006535848,0.8524041357985328,0.9254156401628754,,0.7415019762845851,0.6614639582338161,0.8771377830963322,,0.258498023715415,0.1228622169036677,0.338536041766184,,0.1411965813934035,0.0715075159573076,0.2063689797554098,
ANY,group_class_weighted,0.813603552532124,0.7807549130763417,0.8507709750566894,,0.186396447467876,0.1492290249433106,0.2192450869236583,,0.1797556959291653,0.1445445956160241,0.2136706349206348,,0.3152014209097382,0.0,1.0,,0.0523221343873517,0.0,0.1895101058590292,,0.8907260206509315,0.8589805493660904,0.9214685304956972,,0.7564723320158105,0.6071798093514936,0.873487571087466,,0.2435276679841897,0.1265124289125341,0.3928201906485064,,0.1355760257411502,0.0702147475676553,0.2325134556454781,
T13,unweighted,0.8321838894287875,0.8012594482237339,0.865199357520786,0.8150000000000002,0.1678161105712125,0.1348006424792139,0.198740551776266,0.185,0.1641272540762337,0.1323469387755101,0.1913473167044595,0.185,0.3179066829629721,0.0,1.0,0.0,0.0685135135135134,0.0,0.2308069188820722,0.0,0.9648270956904684,0.9401031002561432,0.9855370068532168,0.9406952965235174,0.6894594594594594,0.4106358827934844,0.8618357487922701,0.7631578947368421,0.3105405405405405,0.1381642512077295,0.5893641172065155,0.2368421052631579,0.0732321877204529,0.0283063990043511,0.1317008366005213,0.0810810810810811
T13,group_class_weighted,0.832944336464745,0.7971239606953893,0.8675198412698412,0.806666666666667,0.1670556635352553,0.1324801587301587,0.2028760393046106,0.1933333333333333,0.1641272540762337,0.1297420634920635,0.1996513605442177,0.185,0.2895954252146202,0.0,1.0,0.631578947368421,0.0417567567567567,0.0,0.1328401723162611,0.5263157894736842,0.9637349277850292,0.9379684928304014,0.9844071943911836,0.9801031687546056,0.7141891891891892,0.4896614294253266,0.8961687763713079,0.2368421052631579,0.2858108108108108,0.1038312236286919,0.5103385705746734,0.7631578947368421,0.0689289458749135,0.024551448448137,0.1148143713156454,0.1963882618510158
T18,unweighted,0.8322511067919234,0.7987603930461075,0.8663142479213907,0.8150000000000002,0.1677488932080768,0.1336857520786092,0.2012396069538926,0.185,0.1644155598747435,0.1313633786848072,0.1978892668178382,0.185,0.2318389888102234,0.0,0.0,0.0,0.0303468208092485,0.0,0.0,0.0,0.9221860144744678,0.8792255908398422,0.9462133926805087,0.8963117606123869,0.817557803468208,0.7559708026356751,0.9639231851333075,0.861271676300578,0.1824421965317919,0.0360768148666924,0.2440291973643249,0.1387283236994219,0.0810596587878969,0.0171423056773375,0.1151923287827397,0.0661157024793388
T18,group_class_weighted,0.8325070186804883,0.7948337112622826,0.8642016250944822,0.8000000000000004,0.1674929813195119,0.1357983749055177,0.2051662887377173,0.1999999999999999,0.1644155598747435,0.1312547241118669,0.1992857142857142,0.185,0.2168332757690736,0.0,0.0,0.0,0.0292630057803467,0.0,0.0,0.0,0.9218797599610012,0.8831342740744953,0.9468475255011516,0.8954385964912281,0.8208092485549134,0.769610773749177,0.97523667790289,0.861271676300578,0.1791907514450866,0.0247633220971096,0.230389226250823,0.1387283236994219,0.0795315112195936,0.0104614135864135,0.1112484929707849,0.064
T21,unweighted,0.8330002159593997,0.8036177248677249,0.8675633030990174,0.8150000000000002,0.1669997840406003,0.1324366969009826,0.1963822751322751,0.185,0.1637085627901954,0.1303817082388511,0.1939295162509448,0.185,0.0099999999999999,0.0,0.0,0.0,0.0035714285714285,0.0,0.0,0.0,0.9777267379595664,0.9592538640888864,0.9899886003227945,0.9646142958244868,0.7738095238095237,0.5667410714285714,1.0,0.7692307692307693,0.2261904761904761,0.0,0.4332589285714283,0.2307692307692307,0.0308879884802908,0.0,0.0604220857742671,0.0387596899224806
T21,group_class_weighted,0.8337857682755644,0.7986479591836735,0.8693650793650792,0.8150000000000002,0.1662142317244357,0.1306349206349206,0.2013520408163265,0.185,0.1637085627901954,0.1271579743008314,0.1990702947845805,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773655964547612,0.9602553883260864,0.9913047452351206,0.9652777777777778,0.788095238095238,0.5409330011074198,1.0,0.7692307692307693,0.2119047619047618,0.0,0.45906699889258,0.2307692307692307,0.0293394201793633,0.0,0.0585757045984318,0.0416666666666666
