target,variant,seed,outer_fold,best_c,candidate_objectives,outer_train_records,outer_test_records,outer_train_women,outer_test_women,outer_train_qc_pass,outer_test_qc_pass
T21,group_class_weighted,20260824,0,10.0,"{""0.03"": 0.15359316360914274, ""0.1"": 0.16213610071385778, ""0.3"": 0.1718458294747287, ""1.0"": 0.18134398437705973, ""3.0"": 0.18662163600767726, ""10.0"": 0.18716688810243334}",454,151,111,36,373,115
T21,group_class_weighted,20260824,1,1.0,"{""0.03"": 0.16308450417491174, ""0.1"": 0.16112136033604788, ""0.3"": 0.162166170626523, ""1.0"": 0.16540888562932254, ""3.0"": 0.16350076686643517, ""10.0"": 0.1628257060301061}",454,151,111,36,379,131
T21,group_class_weighted,20260824,2,1.0,"{""0.03"": 0.1818402477215971, ""0.1"": 0.18511940401497856, ""0.3"": 0.18579688358785856, ""1.0"": 0.18593257517572429, ""3.0"": 0.18499904641441253, ""10.0"": 0.1827988304077664}",452,153,109,38,375,136
T21,group_class_weighted,20260824,3,0.1,"{""0.03"": 0.29508147427123277, ""0.1"": 0.29962807233060285, ""0.3"": 0.2980199932958661, ""1.0"": 0.29795379269141936, ""3.0"": 0.2967271736625599, ""10.0"": 0.2970776021118812}",455,150,110,37,381,122
T13,unweighted,20360827,0,0.3,"{""0.03"": 0.1348084593230972, ""0.1"": 0.13929649328294, ""0.3"": 0.13973156178349758, ""1.0"": 0.13804484271301512, ""3.0"": 0.1370871517130639, ""10.0"": 0.13671374799089075}",452,153,111,36,374,128
T13,unweighted,20360827,1,10.0,"{""0.03"": 0.29884917421515445, ""0.1"": 0.31554222965127116, ""0.3"": 0.3193281566948466, ""1.0"": 0.33944566840337076, ""3.0"": 0.3425438772844023, ""10.0"": 0.3430742969093977}",449,156,110,37,374,131
T13,unweighted,20360827,2,1.0,"{""0.03"": 0.16321022768054005, ""0.1"": 0.1833339941300109, ""0.3"": 0.19364542628007492, ""1.0"": 0.1963644475442843, ""3.0"": 0.19532202779049884, ""10.0"": 0.1935938725822174}",457,148,111,36,381,122
T13,unweighted,20360827,3,0.03,"{""0.03"": 0.20000886605282198, ""0.1"": 0.19504554341798536, ""0.3"": 0.19305059716126033, ""1.0"": 0.1894960199379216, ""3.0"": 0.18499015917386818, ""10.0"": 0.16261904154153078}",457,148,109,38,383,122
T18,unweighted,20360827,0,3.0,"{""0.03"": 0.22724509011197846, ""0.1"": 0.23226458896571842, ""0.3"": 0.23512292178265629, ""1.0"": 0.23549440167076763, ""3.0"": 0.23630944396931372, ""10.0"": 0.2354502704386579}",453,152,110,37,376,115
T18,unweighted,20360827,1,1.0,"{""0.03"": 0.3532182287190698, ""0.1"": 0.37915861776652215, ""0.3"": 0.38558757789708903, ""1.0"": 0.3898399291005263, ""3.0"": 0.38086333355517815, ""10.0"": 0.36949563326304313}",454,151,109,38,376,126
