target,variant,seed,outer_fold,best_c,candidate_objectives,outer_train_records,outer_test_records,outer_train_women,outer_test_women,outer_train_qc_pass,outer_test_qc_pass
T18,unweighted,20660836,0,0.03,"{""0.03"": 0.24547349531082127, ""0.1"": 0.23830538052620281, ""0.3"": 0.23591932460750215, ""1.0"": 0.23567991843292338, ""3.0"": 0.23508543224617837, ""10.0"": 0.23531038425962594}",452,153,110,37,375,117
T18,unweighted,20660836,1,0.1,"{""0.03"": 0.32005133810909003, ""0.1"": 0.32480711287392827, ""0.3"": 0.3197922122977336, ""1.0"": 0.3142806040476212, ""3.0"": 0.31299139202782156, ""10.0"": 0.31082429634102604}",454,151,110,37,378,138
T18,unweighted,20660836,2,3.0,"{""0.03"": 0.32266655956729073, ""0.1"": 0.3203927142831815, ""0.3"": 0.32495452789812224, ""1.0"": 0.32839780460010815, ""3.0"": 0.3288082190975551, ""10.0"": 0.32817610106827594}",456,149,110,37,380,119
T18,unweighted,20660836,3,1.0,"{""0.03"": 0.22105873660524789, ""0.1"": 0.23226400322887988, ""0.3"": 0.2378067615748935, ""1.0"": 0.23984209763090147, ""3.0"": 0.23955908108722684, ""10.0"": 0.23648173941930647}",453,152,111,36,378,129
T21,unweighted,20660836,0,10.0,"{""0.03"": 0.18474534824394678, ""0.1"": 0.19213217032215396, ""0.3"": 0.1969863272370255, ""1.0"": 0.20326637106160766, ""3.0"": 0.20710215272974652, ""10.0"": 0.20991356051683788}",455,150,111,36,376,120
T21,unweighted,20660836,1,10.0,"{""0.03"": 0.24126089000802328, ""0.1"": 0.25290594761030605, ""0.3"": 0.2624083041513898, ""1.0"": 0.26815227961501076, ""3.0"": 0.2767125086412943, ""10.0"": 0.278166929173168}",453,152,110,37,380,130
T21,unweighted,20660836,2,10.0,"{""0.03"": 0.09874995015192395, ""0.1"": 0.10497213803050677, ""0.3"": 0.1072317618183632, ""1.0"": 0.10716128593364659, ""3.0"": 0.10863098113563563, ""10.0"": 0.10971159318912004}",452,153,110,37,376,129
T21,unweighted,20660836,3,10.0,"{""0.03"": 0.06922259306775656, ""0.1"": 0.07787417090272197, ""0.3"": 0.08346341005311868, ""1.0"": 0.08938291192738862, ""3.0"": 0.09379927147819467, ""10.0"": 0.0985135599134783}",455,150,110,37,379,127
T13,group_class_weighted,20660836,0,0.03,"{""0.03"": 0.19634876539584895, ""0.1"": 0.1733393569853719, ""0.3"": 0.17071510150396513, ""1.0"": 0.16770760345105334, ""3.0"": 0.1664974601422917, ""10.0"": 0.16308125296401632}",451,154,111,36,372,119
T13,group_class_weighted,20660836,1,10.0,"{""0.03"": 0.25135859385367515, ""0.1"": 0.2659987157247591, ""0.3"": 0.27393456938294647, ""1.0"": 0.28185795308680606, ""3.0"": 0.2837971511037216, ""10.0"": 0.28399974723124916}",456,149,109,38,385,124
T13,group_class_weighted,20660836,2,0.03,"{""0.03"": 0.21468614570087968, ""0.1"": 0.20512711258886218, ""0.3"": 0.20002582106360445, ""1.0"": 0.19807627656730714, ""3.0"": 0.19870639359555547, ""10.0"": 0.19860805673262882}",457,148,111,36,378,129
T13,group_class_weighted,20660836,3,1.0,"{""0.03"": 0.205668863415201, ""0.1"": 0.20907467738612617, ""0.3"": 0.2111985011919299, ""1.0"": 0.21299759607730417, ""3.0"": 0.20750216364270893, ""10.0"": 0.1834997156028545}",451,154,110,37,375,128
T18,group_class_weighted,20660836,0,1.0,"{""0.03"": 0.22530035788353608, ""0.1"": 0.2276126450360426, ""0.3"": 0.22997937188401832, ""1.0"": 0.2307488861527769, ""3.0"": 0.22989810213846154, ""10.0"": 0.2299476179518989}",452,153,110,37,375,117
T18,group_class_weighted,20660836,1,0.1,"{""0.03"": 0.31582093628018926, ""0.1"": 0.31865457207867376, ""0.3"": 0.3182484030750474, ""1.0"": 0.31490403221099106, ""3.0"": 0.3111856761951375, ""10.0"": 0.3067494363446992}",454,151,110,37,378,138
T18,group_class_weighted,20660836,2,10.0,"{""0.03"": 0.318231364202155, ""0.1"": 0.3265403574829724, ""0.3"": 0.3305199617052294, ""1.0"": 0.33098419762935755, ""3.0"": 0.33280385078996366, ""10.0"": 0.3339072477175866}",456,149,110,37,380,119
T18,group_class_weighted,20660836,3,0.3,"{""0.03"": 0.28061673055867076, ""0.1"": 0.2956207978283935, ""0.3"": 0.29733505925631515, ""1.0"": 0.29372285376594154, ""3.0"": 0.2876455199884152, ""10.0"": 0.28156774883626273}",453,152,111,36,378,129
T21,group_class_weighted,20660836,0,10.0,"{""0.03"": 0.1848797918671358, ""0.1"": 0.1830647488393416, ""0.3"": 0.1836699179552441, ""1.0"": 0.18544677993996997, ""3.0"": 0.18903844426741157, ""10.0"": 0.1937094277683501}",455,150,111,36,376,120
T21,group_class_weighted,20660836,1,3.0,"{""0.03"": 0.2735169166622053, ""0.1"": 0.2899644540644409, ""0.3"": 0.29618065566507784, ""1.0"": 0.297126100960609, ""3.0"": 0.2994213144095872, ""10.0"": 0.2976570167165719}",453,152,110,37,380,130
T21,group_class_weighted,20660836,2,1.0,"{""0.03"": 0.150091986974281, ""0.1"": 0.15766651561547035, ""0.3"": 0.16344152420664362, ""1.0"": 0.16345674721776876, ""3.0"": 0.16164602145186258, ""10.0"": 0.15740028941762219}",452,153,110,37,376,129
T21,group_class_weighted,20660836,3,10.0,"{""0.03"": 0.07728171123567293, ""0.1"": 0.08130441189695388, ""0.3"": 0.08424537890229088, ""1.0"": 0.08804783382805484, ""3.0"": 0.09056678688635907, ""10.0"": 0.09110490386699796}",455,150,110,37,379,127
T13,unweighted,20760839,0,0.03,"{""0.03"": 0.1436419337359064, ""0.1"": 0.13682634377074013, ""0.3"": 0.13628252525100026, ""1.0"": 0.13533276166783118, ""3.0"": 0.1342873963183308, ""10.0"": 0.13295939132770576}",453,152,112,35,376,118
T13,unweighted,20760839,1,0.03,"{""0.03"": 0.1924842371098341, ""0.1"": 0.18386463372586465, ""0.3"": 0.1796119868060072, ""1.0"": 0.17722973370048, ""3.0"": 0.17602833383682032, ""10.0"": 0.1771070999855377}",456,149,109,38,379,123
T13,unweighted,20760839,2,0.03,"{""0.03"": 0.3658033449021819, ""0.1"": 0.3555009950109667, ""0.3"": 0.3484420230705074, ""1.0"": 0.3426967765223958, ""3.0"": 0.3352945205075453, ""10.0"": 0.30870591055356866}",454,151,110,37,379,125
T13,unweighted,20760839,3,1.0,"{""0.03"": 0.2017921239806178, ""0.1"": 0.22314566518351453, ""0.3"": 0.23194293379286102, ""1.0"": 0.2335700942653163, ""3.0"": 0.23271273713888904, ""10.0"": 0.23164872017984428}",452,153,110,37,378,136
T18,unweighted,20760839,0,0.03,"{""0.03"": 0.28041025015596, ""0.1"": 0.27651590010461585, ""0.3"": 0.26744703479231635, ""1.0"": 0.26694943705143076, ""3.0"": 0.2657982108995002, ""10.0"": 0.2647269985396665}",452,153,109,38,373,120
T18,unweighted,20760839,1,0.3,"{""0.03"": 0.2395878338843564, ""0.1"": 0.2511278106341966, ""0.3"": 0.2522140484323235, ""1.0"": 0.2506160148919833, ""3.0"": 0.24935858760375468, ""10.0"": 0.24511174527461776}",454,151,111,36,382,128
T18,unweighted,20760839,2,0.03,"{""0.03"": 0.31594785490710275, ""0.1"": 0.31440126379537614, ""0.3"": 0.3142129944820927, ""1.0"": 0.3117063130932499, ""3.0"": 0.3059944449506942, ""10.0"": 0.2995567787410169}",453,152,109,38,379,134
T18,unweighted,20760839,3,0.1,"{""0.03"": 0.34727101763688906, ""0.1"": 0.3508980874486658, ""0.3"": 0.35040007608840135, ""1.0"": 0.3499277365498352, ""3.0"": 0.35035123565529447, ""10.0"": 0.34966865101908573}",456,149,112,35,378,121
T21,unweighted,20760839,0,0.03,"{""0.03"": 0.11072848600894754, ""0.1"": 0.0946847212319784, ""0.3"": 0.09209032667295912, ""1.0"": 0.09005691704489376, ""3.0"": 0.09002892446351654, ""10.0"": 0.09100094953056118}",454,151,110,37,374,117
T21,unweighted,20760839,1,0.03,"{""0.03"": 0.08764025275027447, ""0.1"": 0.07629060628802169, ""0.3"": 0.0731175295623733, ""1.0"": 0.0732944606366485, ""3.0"": 0.07342608546235138, ""10.0"": 0.07513449910870793}",451,154,110,37,377,127
T21,unweighted,20760839,2,10.0,"{""0.03"": 0.16060068334760064, ""0.1"": 0.1765642041964169, ""0.3"": 0.18744003772700027, ""1.0"": 0.19702022861899315, ""3.0"": 0.20087089610044487, ""10.0"": 0.2064367948662379}",454,151,110,37,381,133
T21,unweighted,20760839,3,3.0,"{""0.03"": 0.271285083282946, ""0.1"": 0.28896608198356094, ""0.3"": 0.29304023523754347, ""1.0"": 0.29868750141861977, ""3.0"": 0.3024444741140494, ""10.0"": 0.3008385786048593}",456,149,111,36,380,126
T13,group_class_weighted,20760839,0,0.03,"{""0.03"": 0.16998366688388872, ""0.1"": 0.16080465439574648, ""0.3"": 0.15603240474066768, ""1.0"": 0.15381657073237454, ""3.0"": 0.15429469698397028, ""10.0"": 0.15428491086780827}",453,152,112,35,376,118
T13,group_class_weighted,20760839,1,10.0,"{""0.03"": 0.19870533583518674, ""0.1"": 0.1975691639337884, ""0.3"": 0.19929012420716735, ""1.0"": 0.20210812892685628, ""3.0"": 0.2066941248803227, ""10.0"": 0.2152672763016368}",456,149,109,38,379,123
T13,group_class_weighted,20760839,2,0.03,"{""0.03"": 0.3004291097334555, ""0.1"": 0.28909256060113325, ""0.3"": 0.28928437317613037, ""1.0"": 0.25734157225404597, ""3.0"": 0.2538468679262708, ""10.0"": 0.2455727974709849}",454,151,110,37,379,125
T13,group_class_weighted,20760839,3,1.0,"{""0.03"": 0.22400138224624516, ""0.1"": 0.22802004224763422, ""0.3"": 0.22700465614465049, ""1.0"": 0.23041847799663856, ""3.0"": 0.22704752178662518, ""10.0"": 0.22064146569796156}",452,153,110,37,378,136
T18,group_class_weighted,20760839,0,3.0,"{""0.03"": 0.29669562287139484, ""0.1"": 0.30180023774311693, ""0.3"": 0.30486274030505534, ""1.0"": 0.3068453675353039, ""3.0"": 0.3071746213374125, ""10.0"": 0.30704123073221246}",452,153,109,38,373,120
T18,group_class_weighted,20760839,1,1.0,"{""0.03"": 0.24289632932593724, ""0.1"": 0.2476027026698267, ""0.3"": 0.2523715384507239, ""1.0"": 0.2534623170525879, ""3.0"": 0.25222749811805306, ""10.0"": 0.251005542257274}",454,151,111,36,382,128
T18,group_class_weighted,20760839,2,0.1,"{""0.03"": 0.3219552625661546, ""0.1"": 0.32642464308707764, ""0.3"": 0.32437755358721576, ""1.0"": 0.31889308472324623, ""3.0"": 0.310918385162666, ""10.0"": 0.30526433013916165}",453,152,109,38,379,134
T18,group_class_weighted,20760839,3,3.0,"{""0.03"": 0.355601843134006, ""0.1"": 0.35524513659634094, ""0.3"": 0.3554730014226004, ""1.0"": 0.35492476291139363, ""3.0"": 0.3562968862862672, ""10.0"": 0.35620478989732884}",456,149,112,35,378,121
T21,group_class_weighted,20760839,0,10.0,"{""0.03"": 0.1121135604631995, ""0.1"": 0.11470141978950768, ""0.3"": 0.1171032326152145, ""1.0"": 0.11894032344842434, ""3.0"": 0.11994718253187578, ""10.0"": 0.12026228641562614}",454,151,110,37,374,117
T21,group_class_weighted,20760839,1,10.0,"{""0.03"": 0.08450312171755653, ""0.1"": 0.0843319764983808, ""0.3"": 0.08599173359205502, ""1.0"": 0.08832414239455189, ""3.0"": 0.09148865897177948, ""10.0"": 0.09464266814527392}",451,154,110,37,377,127
T21,group_class_weighted,20760839,2,10.0,"{""0.03"": 0.18544315969264435, ""0.1"": 0.1785082340328073, ""0.3"": 0.1765333032778899, ""1.0"": 0.17662106659282203, ""3.0"": 0.1809664708246552, ""10.0"": 0.18748546261174476}",454,151,110,37,381,133
T21,group_class_weighted,20760839,3,0.03,"{""0.03"": 0.2918606183711199, ""0.1"": 0.2864644761695362, ""0.3"": 0.2810431511644708, ""1.0"": 0.2738685210682225, ""3.0"": 0.2710653578825959, ""10.0"": 0.2726595019801366}",456,149,111,36,380,126
T13,unweighted,20860842,0,1.0,"{""0.03"": 0.22979376077505176, ""0.1"": 0.23988803421458435, ""0.3"": 0.23858388327646046, ""1.0"": 0.24169697406981008, ""3.0"": 0.23999146041387825, ""10.0"": 0.23942568933497443}",456,149,111,36,379,112
T13,unweighted,20860842,1,0.03,"{""0.03"": 0.22096350894198175, ""0.1"": 0.21030434761619082, ""0.3"": 0.20437102750508174, ""1.0"": 0.20240966043164796, ""3.0"": 0.2010639900263807, ""10.0"": 0.19903222541884213}",454,151,109,38,377,124
T13,unweighted,20860842,2,0.1,"{""0.03"": 0.1285326413816219, ""0.1"": 0.15631820052667103, ""0.3"": 0.155681805497427, ""1.0"": 0.1292795036283448, ""3.0"": 0.12858259259209445, ""10.0"": 0.12889849282088725}",452,153,111,36,376,129
T13,unweighted,20860842,3,3.0,"{""0.03"": 0.2709922944815587, ""0.1"": 0.2971682015566772, ""0.3"": 0.3300392388978157, ""1.0"": 0.346198382504818, ""3.0"": 0.35627388039834573, ""10.0"": 0.35226196085971306}",453,152,110,37,379,137
T18,unweighted,20860842,0,10.0,"{""0.03"": 0.3092614187594548, ""0.1"": 0.32239524960214805, ""0.3"": 0.32223558150018633, ""1.0"": 0.3231467248944809, ""3.0"": 0.3242186920603011, ""10.0"": 0.32642999919900806}",454,151,109,38,380,123
T18,unweighted,20860842,1,0.03,"{""0.03"": 0.31652044386003797, ""0.1"": 0.30477185768592435, ""0.3"": 0.29896842848000366, ""1.0"": 0.29708076914406417, ""3.0"": 0.2953497593591069, ""10.0"": 0.29463092112056954}",454,151,111,36,378,132
T18,unweighted,20860842,2,1.0,"{""0.03"": 0.37666217080045317, ""0.1"": 0.4007576540031894, ""0.3"": 0.4051962583396067, ""1.0"": 0.4139047363986662, ""3.0"": 0.40990653520256015, ""10.0"": 0.40963090674024205}",455,150,111,36,384,116
T18,unweighted,20860842,3,10.0,"{""0.03"": 0.26109986319520334, ""0.1"": 0.27294511944010663, ""0.3"": 0.2739061373997515, ""1.0"": 0.27756517099598654, ""3.0"": 0.2774802166635799, ""10.0"": 0.2783710678193298}",452,153,110,37,373,127
T21,unweighted,20860842,0,10.0,"{""0.03"": 0.391094809369691, ""0.1"": 0.39665933782701557, ""0.3"": 0.40060215869978666, ""1.0"": 0.40641137920391307, ""3.0"": 0.4108756520473551, ""10.0"": 0.41329937577357784}",454,151,110,37,376,128
T21,unweighted,20860842,1,10.0,"{""0.03"": 0.19498073320143194, ""0.1"": 0.21049304834154897, ""0.3"": 0.21829592875566917, ""1.0"": 0.22402070046587128, ""3.0"": 0.22560128787899794, ""10.0"": 0.2268418486327371}",456,149,112,35,382,116
T21,unweighted,20860842,2,0.3,"{""0.03"": 0.18867818270759293, ""0.1"": 0.19284912474284285, ""0.3"": 0.19382176945252066, ""1.0"": 0.19115309191733654, ""3.0"": 0.18851276907320869, ""10.0"": 0.18419877007013036}",453,152,110,37,380,131
T21,unweighted,20860842,3,3.0,"{""0.03"": 0.13658757253509393, ""0.1"": 0.14375780873659064, ""0.3"": 0.15010266322368668, ""1.0"": 0.15601753148565034, ""3.0"": 0.15942628971179731, ""10.0"": 0.15880784657647784}",452,153,109,38,374,125
T13,group_class_weighted,20860842,0,0.03,"{""0.03"": 0.2683134105944343, ""0.1"": 0.25716551862179277, ""0.3"": 0.25032296448581354, ""1.0"": 0.248204640198823, ""3.0"": 0.249637450642251, ""10.0"": 0.25083931145926897}",456,149,111,36,379,112
T13,group_class_weighted,20860842,1,0.03,"{""0.03"": 0.18954274526946865, ""0.1"": 0.18501339677038667, ""0.3"": 0.18302450020582636, ""1.0"": 0.17995607709916786, ""3.0"": 0.17786583858691996, ""10.0"": 0.17540351723731992}",454,151,109,38,377,124
T13,group_class_weighted,20860842,2,0.1,"{""0.03"": 0.1396366556957427, ""0.1"": 0.14504770527108088, ""0.3"": 0.13851446034078646, ""1.0"": 0.13872666844313075, ""3.0"": 0.1415052608582849, ""10.0"": 0.1409022678489948}",452,153,111,36,376,129
T13,group_class_weighted,20860842,3,1.0,"{""0.03"": 0.3784411947089129, ""0.1"": 0.4148975540481883, ""0.3"": 0.43731217984778936, ""1.0"": 0.4675925799674994, ""3.0"": 0.4668375956488358, ""10.0"": 0.4350865064303706}",453,152,110,37,379,137
T18,group_class_weighted,20860842,0,10.0,"{""0.03"": 0.3221644003498365, ""0.1"": 0.32264277344032877, ""0.3"": 0.3243122344344269, ""1.0"": 0.323333509158121, ""3.0"": 0.3261392445940698, ""10.0"": 0.32807411047242263}",454,151,109,38,380,123
T18,group_class_weighted,20860842,1,0.03,"{""0.03"": 0.2765627398727657, ""0.1"": 0.26763607316469035, ""0.3"": 0.2624662932204213, ""1.0"": 0.2613852270130956, ""3.0"": 0.26168388831710615, ""10.0"": 0.26165903125474665}",454,151,111,36,378,132
T18,group_class_weighted,20860842,2,0.03,"{""0.03"": 0.41490952284316435, ""0.1"": 0.4047399869367065, ""0.3"": 0.3998618192328075, ""1.0"": 0.39566234836306635, ""3.0"": 0.39260597259349916, ""10.0"": 0.3906727540476045}",455,150,111,36,384,116
T18,group_class_weighted,20860842,3,0.1,"{""0.03"": 0.28184579279472405, ""0.1"": 0.28282291137438087, ""0.3"": 0.28250217305513114, ""1.0"": 0.2789136347619332, ""3.0"": 0.27665968263098106, ""10.0"": 0.2745984557225617}",452,153,110,37,373,127
T21,group_class_weighted,20860842,0,10.0,"{""0.03"": 0.38353453443228736, ""0.1"": 0.38424218294923473, ""0.3"": 0.3842066355987155, ""1.0"": 0.39028076270423684, ""3.0"": 0.395312496691091, ""10.0"": 0.3971189951385989}",454,151,110,37,376,128
T21,group_class_weighted,20860842,1,10.0,"{""0.03"": 0.21986927402650924, ""0.1"": 0.2240221966919754, ""0.3"": 0.22529356612577034, ""1.0"": 0.22759795355566728, ""3.0"": 0.2272190863724548, ""10.0"": 0.22920997429051787}",456,149,112,35,382,116
T21,group_class_weighted,20860842,2,0.1,"{""0.03"": 0.185298282824516, ""0.1"": 0.18615626505995772, ""0.3"": 0.18195691338411565, ""1.0"": 0.1724007366760016, ""3.0"": 0.1662772186594283, ""10.0"": 0.16545154785706703}",453,152,110,37,380,131
T21,group_class_weighted,20860842,3,1.0,"{""0.03"": 0.15933751227355003, ""0.1"": 0.16014755247927398, ""0.3"": 0.1625382944309892, ""1.0"": 0.1639931067931328, ""3.0"": 0.16348235084807633, ""10.0"": 0.16336275323171295}",452,153,109,38,374,125
T13,unweighted,20960845,0,0.03,"{""0.03"": 0.33671524069060177, ""0.1"": 0.32664822736097865, ""0.3"": 0.32111694570666677, ""1.0"": 0.31671670403418395, ""3.0"": 0.31256820583606176, ""10.0"": 0.3106849132654398}",455,150,111,36,377,115
T13,unweighted,20960845,1,1.0,"{""0.03"": 0.16880715171063798, ""0.1"": 0.1767050839717485, ""0.3"": 0.18114834518341863, ""1.0"": 0.18309079552229787, ""3.0"": 0.18115678096776375, ""10.0"": 0.17558735314170137}",453,152,111,36,375,130
T13,unweighted,20960845,2,0.03,"{""0.03"": 0.221772620872523, ""0.1"": 0.21700678732919287, ""0.3"": 0.21371281734145176, ""1.0"": 0.2122823694201102, ""3.0"": 0.21298001131909478, ""10.0"": 0.21321316614236843}",454,151,110,37,379,132
T13,unweighted,20960845,3,10.0,"{""0.03"": 0.29188801533381903, ""0.1"": 0.36421006061392547, ""0.3"": 0.3792403784997783, ""1.0"": 0.3924510989122363, ""3.0"": 0.40951168959264045, ""10.0"": 0.41071030258619917}",453,152,109,38,380,124
T18,unweighted,20960845,0,10.0,"{""0.03"": 0.28702567382402466, ""0.1"": 0.2933339232930919, ""0.3"": 0.2982782945363838, ""1.0"": 0.2990002353326702, ""3.0"": 0.3067649829159556, ""10.0"": 0.308015923913571}",453,152,109,38,375,131
T18,unweighted,20960845,1,3.0,"{""0.03"": 0.37849602854446507, ""0.1"": 0.3844067314045639, ""0.3"": 0.3881378475118445, ""1.0"": 0.3882760890633249, ""3.0"": 0.3891600782892859, ""10.0"": 0.3877472923492079}",454,151,111,36,377,124
T18,unweighted,20960845,2,0.03,"{""0.03"": 0.22773847955618648, ""0.1"": 0.22729169977117958, ""0.3"": 0.22447972354954315, ""1.0"": 0.21951871631494324, ""3.0"": 0.21373492598039703, ""10.0"": 0.20611439325651393}",452,153,109,38,378,131
T18,unweighted,20960845,3,0.3,"{""0.03"": 0.15648644722922112, ""0.1"": 0.15684330439840527, ""0.3"": 0.1577013800191562, ""1.0"": 0.1576651954181316, ""3.0"": 0.15742621105802101, ""10.0"": 0.15621665930753786}",456,149,112,35,380,115
T21,unweighted,20960845,0,3.0,"{""0.03"": 0.13224446473744284, ""0.1"": 0.13355951378576475, ""0.3"": 0.13645376171702808, ""1.0"": 0.13977081213860618, ""3.0"": 0.14038282476901112, ""10.0"": 0.1374078583374217}",453,152,110,37,374,113
T21,unweighted,20960845,1,1.0,"{""0.03"": 0.1937707866373894, ""0.1"": 0.21189281707787366, ""0.3"": 0.22077651101910864, ""1.0"": 0.222045020911156, ""3.0"": 0.21940364284346414, ""10.0"": 0.20703594753459492}",455,150,111,36,381,128
T21,unweighted,20960845,2,10.0,"{""0.03"": 0.24832439003118606, ""0.1"": 0.25356744851063684, ""0.3"": 0.25635936707632695, ""1.0"": 0.261013239197075, ""3.0"": 0.26362575008996797, ""10.0"": 0.26591213786071793}",452,153,110,37,378,131
T21,unweighted,20960845,3,10.0,"{""0.03"": 0.21393196721172436, ""0.1"": 0.2475718477380703, ""0.3"": 0.25491467702229575, ""1.0"": 0.25260510976547673, ""3.0"": 0.25370183193638907, ""10.0"": 0.27008481427340086}",455,150,110,37,380,127
T13,group_class_weighted,20960845,0,0.03,"{""0.03"": 0.275930266522294, ""0.1"": 0.27246648882822, ""0.3"": 0.2725495399055402, ""1.0"": 0.27063911301627447, ""3.0"": 0.26780730555216337, ""10.0"": 0.26519604013946463}",455,150,111,36,377,115
T13,group_class_weighted,20960845,1,0.3,"{""0.03"": 0.2332935039635367, ""0.1"": 0.2548697234427335, ""0.3"": 0.25962175602467585, ""1.0"": 0.2495132797349138, ""3.0"": 0.2467525524402352, ""10.0"": 0.2397200739170929}",453,152,111,36,375,130
T13,group_class_weighted,20960845,2,0.03,"{""0.03"": 0.2077759875693047, ""0.1"": 0.20751531600124437, ""0.3"": 0.20718573568864898, ""1.0"": 0.20656566149975686, ""3.0"": 0.2062183266967741, ""10.0"": 0.20610353807925685}",454,151,110,37,379,132
T13,group_class_weighted,20960845,3,0.03,"{""0.03"": 0.445158773358187, ""0.1"": 0.43441780331039337, ""0.3"": 0.424877359652027, ""1.0"": 0.4217965771930302, ""3.0"": 0.42056170544379523, ""10.0"": 0.4169289109164875}",453,152,109,38,380,124
T18,group_class_weighted,20960845,0,3.0,"{""0.03"": 0.299430647469724, ""0.1"": 0.3086586447209556, ""0.3"": 0.3166241282184633, ""1.0"": 0.32135954878755313, ""3.0"": 0.32258197005454337, ""10.0"": 0.3222038511883858}",453,152,109,38,375,131
T18,group_class_weighted,20960845,1,0.03,"{""0.03"": 0.38939175705912743, ""0.1"": 0.3877169618394696, ""0.3"": 0.3867840160961476, ""1.0"": 0.3877710205552543, ""3.0"": 0.38772806065289006, ""10.0"": 0.3873945239479833}",454,151,111,36,377,124
T18,group_class_weighted,20960845,2,0.1,"{""0.03"": 0.2172290624748344, ""0.1"": 0.21753174223244934, ""0.3"": 0.21431201294297555, ""1.0"": 0.21143708843162837, ""3.0"": 0.20829793862436902, ""10.0"": 0.2066278082825282}",452,153,109,38,378,131
T18,group_class_weighted,20960845,3,0.3,"{""0.03"": 0.15701699548254416, ""0.1"": 0.1593612813748429, ""0.3"": 0.15956778378059983, ""1.0"": 0.159488403580411, ""3.0"": 0.15734466868313277, ""10.0"": 0.15618568841929997}",456,149,112,35,380,115
T21,group_class_weighted,20960845,0,0.3,"{""0.03"": 0.13947897613567337, ""0.1"": 0.14339021501960983, ""0.3"": 0.14438311892098227, ""1.0"": 0.14206037878256073, ""3.0"": 0.14194822933479, ""10.0"": 0.1417728372309759}",453,152,110,37,374,113
T21,group_class_weighted,20960845,1,10.0,"{""0.03"": 0.16613869018391578, ""0.1"": 0.16753999874446612, ""0.3"": 0.1708097278860515, ""1.0"": 0.17147250564517766, ""3.0"": 0.17166804508023556, ""10.0"": 0.1735152097600333}",455,150,111,36,381,128
T21,group_class_weighted,20960845,2,1.0,"{""0.03"": 0.26206861072855026, ""0.1"": 0.260694287588287, ""0.3"": 0.260970386851107, ""1.0"": 0.26286873117101545, ""3.0"": 0.26201090317208037, ""10.0"": 0.2625181243159208}",452,153,110,37,378,131
T21,group_class_weighted,20960845,3,0.03,"{""0.03"": 0.21613575396212625, ""0.1"": 0.2087482643843986, ""0.3"": 0.20593683339638325, ""1.0"": 0.2041952550259506, ""3.0"": 0.2045746585707184, ""10.0"": 0.20384537297263408}",455,150,110,37,380,127
T13,unweighted,21060848,0,0.1,"{""0.03"": 0.29619964882164085, ""0.1"": 0.300535832528981, ""0.3"": 0.2989794169316028, ""1.0"": 0.2978961978998723, ""3.0"": 0.2785801141605339, ""10.0"": 0.266728107590088}",456,149,111,36,380,124
T13,unweighted,21060848,1,10.0,"{""0.03"": 0.09155878529432832, ""0.1"": 0.09572350886447292, ""0.3"": 0.10639939901935647, ""1.0"": 0.11876855367701986, ""3.0"": 0.12216027160774698, ""10.0"": 0.1226286391858253}",454,151,109,38,386,120
T13,unweighted,21060848,2,0.3,"{""0.03"": 0.2639673698020355, ""0.1"": 0.26158517883102383, ""0.3"": 0.27349574028318024, ""1.0"": 0.2704589156529524, ""3.0"": 0.2665429521598217, ""10.0"": 0.26639296885166003}",450,155,110,37,372,118
T13,unweighted,21060848,3,0.1,"{""0.03"": 0.15062798119300588, ""0.1"": 0.15195307119382323, ""0.3"": 0.1508745235237856, ""1.0"": 0.1502483000672933, ""3.0"": 0.14801618751015233, ""10.0"": 0.1419088172365262}",455,150,111,36,380,136
T18,unweighted,21060848,0,10.0,"{""0.03"": 0.30184503701769844, ""0.1"": 0.3140806187459964, ""0.3"": 0.31265003302030886, ""1.0"": 0.3142206184133554, ""3.0"": 0.3143182036025278, ""10.0"": 0.31562551245945286}",451,154,110,37,375,121
T18,unweighted,21060848,1,3.0,"{""0.03"": 0.24466907399479487, ""0.1"": 0.2518221226289557, ""0.3"": 0.25371674274216505, ""1.0"": 0.2565674569630934, ""3.0"": 0.2572289873976784, ""10.0"": 0.25599926328375805}",454,151,110,37,378,118
T18,unweighted,21060848,2,0.03,"{""0.03"": 0.2378116728704538, ""0.1"": 0.223141848123445, ""0.3"": 0.22098619344042342, ""1.0"": 0.21604686813870028, ""3.0"": 0.21319033192045944, ""10.0"": 0.20790891177942644}",455,150,110,37,382,133
T18,unweighted,21060848,3,0.1,"{""0.03"": 0.27548009399837314, ""0.1"": 0.27932641477820214, ""0.3"": 0.2731254886433033, ""1.0"": 0.2703909169660899, ""3.0"": 0.26946440442456165, ""10.0"": 0.26923461400277965}",455,150,111,36,378,127
T21,unweighted,21060848,0,0.3,"{""0.03"": 0.16324139834647122, ""0.1"": 0.19247209724857284, ""0.3"": 0.19838701549220183, ""1.0"": 0.19450979203356622, ""3.0"": 0.19047016077577417, ""10.0"": 0.18796453081737668}",451,154,110,37,372,108
T21,unweighted,21060848,1,10.0,"{""0.03"": 0.22161935390736426, ""0.1"": 0.228624551162736, ""0.3"": 0.23344606537295015, ""1.0"": 0.23832999776566371, ""3.0"": 0.2410043086087269, ""10.0"": 0.24441637287900156}",455,150,111,36,381,131
T21,unweighted,21060848,2,1.0,"{""0.03"": 0.2058923538802626, ""0.1"": 0.24418015786191746, ""0.3"": 0.261815355215753, ""1.0"": 0.27222687217964703, ""3.0"": 0.2712813929202802, ""10.0"": 0.26712360126315793}",454,151,110,37,380,134
