target,variant,quality,fold_estimates,pooled_fallback_rate,low_threshold_mean,low_threshold_sd,low_threshold_q025,low_threshold_q975,low_threshold_logit_mean,high_threshold_mean,high_threshold_sd,high_threshold_q025,high_threshold_q975,high_threshold_logit_mean
T13,unweighted,good,80,0.0,0.19700364222302574,0.21875999334865406,0.04827126367202403,0.8485316471003015,-1.7230251576103104,0.20254219024348688,0.21911208355052889,0.04827126367202403,0.8485316471003015,-1.684356839775336
T13,unweighted,typ,80,0.0,0.20018778260097547,0.1587013688484498,0.0692336328886943,0.6782299172643729,-1.5705258661467558,0.2278842165246048,0.1572678822697262,0.07563014039329985,0.6782299172643729,-1.3765147361069634
T13,unweighted,marg,80,0.0,0.2251258851450662,0.11876375937849155,0.09509902617930717,0.4972328408385303,-1.3475638250457158,0.24434438291563376,0.12415387765141994,0.0958009248448623,0.5635117506245074,-1.2349823458502862
T18,unweighted,good,80,0.0,0.20031115105589287,0.07162205129008219,0.11624549731232346,0.3496332698310741,-1.437487903134407,0.21262037817910923,0.076862234738124,0.11624549731232346,0.3519935234830306,-1.3659192245058651
T18,unweighted,typ,80,0.0,0.2567600652017795,0.07607118201461864,0.14323902970776248,0.41270923372046964,-1.0996941358157089,0.31473057471494414,0.11408616345583487,0.1579665064382307,0.6236542420598054,-0.8239080311212845
T18,unweighted,marg,80,0.0,0.34130757449375754,0.12645441335834343,0.16669358978899254,0.6324450470151392,-0.7005566599645142,0.3554797611328324,0.13504875718343745,0.16669358978899254,0.6598816900590437,-0.6377560352328743
T21,unweighted,good,80,0.0,0.17989428072648103,0.15918837101074243,0.026841833141866563,0.53458789372996,-1.8264759460275002,0.21733539097088003,0.1885038649230534,0.02926838071767211,0.6943644130958407,-1.5870856328379361
T21,unweighted,typ,80,0.0,0.18533435315353458,0.14498040981369104,0.03218823744299749,0.5620488771773229,-1.728638510660782,0.24136323160666212,0.18906431511985777,0.03460188704204232,0.7861457880063218,-1.3811232986195296
T21,unweighted,marg,80,0.0,0.27404019921794287,0.21098374647406162,0.03902796007671772,0.8139793116693262,-1.2097288968655953,0.297131993495108,0.2175415963235926,0.039110104998827014,0.8139793116693262,-1.0907540456359925
T13,group_class_weighted,good,80,0.0,0.7997430364763101,0.10425848626726608,0.6007764843356755,0.9999835138113549,2.0294781408023703,0.8117800655979194,0.0939319543244023,0.6502420138266739,0.9999835138113549,2.0971563665351303
T13,group_class_weighted,typ,80,0.0,0.851426729746013,0.07435407493103882,0.7407700833931127,0.9778591823977398,1.9411660770119792,0.8834846256535431,0.07046602684921092,0.7671837471331489,0.9836359975449758,2.2761103271607395
T13,group_class_weighted,marg,80,0.0,0.8817839737754228,0.06241898568851626,0.747748329410627,0.9714937040045581,2.172383010089786,0.9007946979202757,0.06145807008129324,0.7687112624945449,0.975791977877785,2.437985487752101
T18,group_class_weighted,good,80,0.0,0.7745234426553387,0.07647206575376674,0.6457092113054855,0.9002889634574798,1.297556709269813,0.7874838181839567,0.07566911899523435,0.6466522453510298,0.9091397831261675,1.3789800556111942
T18,group_class_weighted,typ,80,0.0,0.8296554084551453,0.06033279771818897,0.718004770632887,0.9285326659075652,1.6482566631004985,0.8644522791033513,0.060361396298830285,0.7330340318002417,0.9610766304880938,1.9648812125952855
T18,group_class_weighted,marg,80,0.0,0.8803132499968005,0.05988416727170841,0.7646644317803624,0.9619004633657867,2.1405649566472,0.8877333209211337,0.05773968631025137,0.7687026216789515,0.9724603906498833,2.2257642223875673
T21,group_class_weighted,good,80,0.0,0.903288678157012,0.08052634638591537,0.7523560313459382,0.9969557492768584,2.965268081261496,0.9206896564712019,0.07063738161298133,0.7641844936666661,0.9970611744473332,3.1831881581840547
T21,group_class_weighted,typ,80,0.0,0.9361962654968844,0.05950054821843911,0.7952732960888493,0.9974416040693913,3.2617800466337434,0.9531471107590355,0.0534009329737064,0.8222742095494854,0.9995852527347834,3.8878043944420995
T21,group_class_weighted,marg,80,0.0,0.9691985125582165,0.04196316643807259,0.8640696987723868,0.9999728929089484,4.649393194587881,0.9751397739811065,0.0373514349002609,0.8926177109569284,0.9999728929089484,4.930832756468024
