rho,group,mode,q025_week,median_week,q95_week,q975_week,median_change_vs_ordinary,q95_change_vs_ordinary
0.8,1,ordinary,10.0,11.467242240905762,12.56640419960022,12.71530225276947,0.0,0.0
0.8,2,ordinary,11.407662940025329,12.688226222991943,13.714462184906006,13.916396737098692,0.0,0.0
0.8,3,ordinary,12.146108746528625,13.842026233673096,15.365063571929932,15.679870367050171,0.0,0.0
0.8,4,ordinary,12.617326784133912,16.251405715942383,19.674956703186034,20.11146602630615,0.0,0.0
0.8,1,measurement,10.0,11.77021598815918,12.842233085632325,12.99844183921814,0.30297374725341797,0.2758288860321052
0.8,2,measurement,11.569279766082763,12.870380401611328,13.918042707443236,14.114718580245972,0.18215417861938477,0.20358052253723002
0.8,3,measurement,11.991618418693543,13.893853664398193,15.49825983047485,15.845988059043885,0.051827430725097656,0.13319625854491868
0.8,4,measurement,12.482573914527894,15.871028423309326,19.774085330963132,20.67290930747986,-0.38037729263305664,0.09912862777709819
0.8,1,credible,10.0,10.0,10.0,10.241866135597228,-1.4672422409057617,-2.5664041996002194
0.8,2,credible,10.0,10.171369552612305,11.675258493423462,11.879899311065673,-2.5168566703796387,-2.0392036914825447
0.8,3,credible,10.0,12.213390350341797,14.084066343307494,14.522599697113035,-1.6286358833312988,-1.2809972286224376
0.8,4,credible,10.554054188728333,17.02301025390625,22.007668972015374,23.313335418701172,0.7716045379638672,2.33271226882934
0.9,1,ordinary,13.033383917808532,14.544190406799316,15.898238182067871,16.156260013580322,0.0,0.0
0.9,2,ordinary,14.681651878356934,16.14487648010254,17.79285011291504,17.96617102622986,0.0,0.0
0.9,3,ordinary,15.388866448402405,17.647314071655273,20.298601436614987,20.749529027938838,0.0,0.0
0.9,4,ordinary,16.133601808547972,22.060664176940918,28.88047628402709,30.358839368820185,0.0,0.0
0.9,1,measurement,13.082338571548462,14.843201637268066,16.197705078124997,16.571609592437746,0.29901123046875,0.29946689605712606
0.9,2,measurement,14.594279670715332,16.22910213470459,17.77415533065796,18.21604323387146,0.08422565460205078,-0.01869478225708221
0.9,3,measurement,14.951153826713561,17.55651569366455,20.276170635223387,20.641291284561156,-0.09079837799072266,-0.02243080139160014
0.9,4,measurement,15.3390527009964,21.12770652770996,28.385035419464103,29.816321706771852,-0.932957649230957,-0.49544086456298686
0.9,1,credible,10.0,11.30014419555664,13.280956172943116,13.555241155624389,-3.244046211242676,-2.6172820091247555
0.9,2,credible,11.687114000320435,14.09049940109253,15.925633811950682,16.431911945343018,-2.0543770790100098,-1.8672163009643583
0.9,3,credible,12.74292950630188,16.895015716552734,20.17817449569702,20.89141430854797,-0.7522983551025391,-0.12042694091796591
0.9,4,credible,14.382320213317872,26.56970500946045,40.96624011993406,44.60291481018066,4.509040832519531,12.085763835906967
