term,estimate_logit,std_error,z,p_value,ci_low,ci_high,odds_ratio_per_unit,bootstrap_q025,bootstrap_median,bootstrap_q975,bootstrap_sign_fraction
const,-2.6297904673578314,0.0301048375237282,-87.35441489378792,0.0,-2.688794864664769,-2.570786070050894,0.0720935666117767,-2.686221259209896,-2.6276511284621376,-2.5697621327340148,1.0
ga_c,0.0233797346000777,0.0052040841073647,4.492574316197399,7.036735077227749e-06,0.0131799171771256,0.0335795520230298,1.0236551830434064,0.012937787631199136,0.02381562651393555,0.033802318771970805,1.0
first_bmi_c,-0.0379782874233784,0.0092793046243971,-4.092794553109701,4.262053194965053e-05,-0.0561653902887728,-0.0197911845579839,0.9627338440966235,-0.057268514521517336,-0.037963904731627404,-0.015276986105811345,1.0
delta_bmi,0.0129437623500825,0.0143408519997866,0.9025797316836652,0.3667489876027938,-0.0151637910771184,0.0410513157772836,1.0130278954497,-0.020701974990013135,0.0138045195461351,0.04321611476587629,0.816
ga_hinge_18,0.0397687309146259,0.0090329028926191,4.402652324218082,1.0693545983187791e-05,0.0220645665692447,0.0574728952600071,1.0405700946685328,0.020895547950713207,0.039587015049012145,0.058667064815238604,1.0
ga_slope_after_18_total,0.0631484655147036,,,,,,1.0651849707274117,0.05011736136373673,0.0629795130256739,0.07513710497863256,1.0
