label,model,scope,metric,n,mean,sd,q025,median,q975,positive_fraction
T13,elastic_full,ever_positive_max_probability,roc_auc,100,0.7451808785529715,0.039110305182703795,0.6535852713178294,0.7469853574504737,0.8075150732127476,1.0
T13,elastic_full,ever_positive_max_probability,pr_auc,100,0.29927677298269306,0.05137303112886207,0.20416171393914204,0.29142900094702295,0.4075781544465707,1.0
T13,elastic_full,ever_positive_max_probability,brier,100,0.2444737642389179,0.01165586860137784,0.22473870421507613,0.24495840510296227,0.2644453247895728,1.0
T13,elastic_full,first_record,roc_auc,100,0.8250845070422536,0.08349531785058242,0.6575352112676056,0.8535211267605634,0.9426056338028168,1.0
T13,elastic_full,first_record,pr_auc,100,0.2617771374869237,0.11764196863014537,0.10438867033801158,0.2517822556792703,0.5556776195235713,1.0
T13,elastic_full,first_record,brier,100,0.10152598026915732,0.007750235633091582,0.0876304976135577,0.10144558427519747,0.11421126773140272,1.0
T13,elastic_full,last_record,roc_auc,100,0.8028450704225351,0.09479742554868363,0.5887676056338028,0.8295774647887324,0.9325352112676056,1.0
T13,elastic_full,last_record,pr_auc,100,0.2503318948836504,0.10091794441587575,0.0693602199904995,0.27621126408673347,0.4283430373973849,1.0
T13,elastic_full,last_record,brier,100,0.12282198032007367,0.00812692160839196,0.10931676131036087,0.12140245608793948,0.1393480144609165,1.0
T18,elastic_full,ever_positive_max_probability,roc_auc,100,0.7660085470085469,0.019089530080138098,0.7247435897435899,0.7666666666666667,0.7968660968660969,1.0
T18,elastic_full,ever_positive_max_probability,pr_auc,100,0.5276759744977515,0.03999720543629942,0.448610020401897,0.5285533360758922,0.6015190746379985,1.0
T18,elastic_full,ever_positive_max_probability,brier,100,0.25905124653757605,0.0073674348373379194,0.24624391439252,0.2592219933945344,0.2761371181750272,1.0
T18,elastic_full,first_record,roc_auc,100,0.8245693430656936,0.027888777545366145,0.7736861313868613,0.8281021897810219,0.8616970802919707,1.0
T18,elastic_full,first_record,pr_auc,100,0.3748763078215634,0.05849913023337541,0.25976954294014964,0.3835341035685216,0.4722537615163066,1.0
T18,elastic_full,first_record,brier,100,0.11479446853173388,0.005182948770452115,0.10526662741729456,0.11503423076629571,0.12511923806578013,1.0
T18,elastic_full,last_record,roc_auc,100,0.8488770053475938,0.01600466537541253,0.820504679144385,0.8502673796791443,0.8740140374331552,1.0
T18,elastic_full,last_record,pr_auc,100,0.5328467808594783,0.033185884773341674,0.4533005437184323,0.5334307365147388,0.5916507295141399,1.0
T18,elastic_full,last_record,brier,100,0.16631941923753282,0.005807392796759459,0.15646214038255454,0.1665306579310193,0.18251250793678933,1.0
T21,elastic_full,ever_positive_max_probability,roc_auc,100,0.48704320987654315,0.06286241632499497,0.3716049382716049,0.4990740740740741,0.5958641975308642,1.0
T21,elastic_full,ever_positive_max_probability,pr_auc,100,0.16410133725597603,0.051657470682084046,0.07111230734972927,0.16959792652836747,0.24852533415298902,1.0
T21,elastic_full,ever_positive_max_probability,brier,100,0.31596567348217947,0.025886651159550318,0.26696393463157636,0.3156525086939421,0.37218001138991624,1.0
T21,elastic_full,first_record,roc_auc,100,0.3519178082191781,0.36516807092422293,0.0,0.21575342465753428,1.0,0.8
T21,elastic_full,first_record,pr_auc,100,0.11120485850477976,0.27483402499088155,0.006802721088435374,0.008659469185784975,1.0,1.0
T21,elastic_full,first_record,brier,100,0.03725059306534012,0.00842664169175024,0.0228082021127285,0.03691187245851127,0.05500214197007955,1.0
T21,elastic_full,last_record,roc_auc,100,0.3095070422535212,0.08144851087882257,0.12038732394366197,0.32816901408450705,0.427781690140845,1.0
T21,elastic_full,last_record,pr_auc,100,0.17464357363457073,0.08508679917455704,0.022444867557620835,0.22231385001060244,0.22758194967218762,1.0
T21,elastic_full,last_record,brier,100,0.25468427572829255,0.025607285048383107,0.20243204161347728,0.25693615039346174,0.3006786412049261,1.0
