mode,quantity,n,mean,sd,q025,median,q975,positive_fraction
ordinary,beta_bmi_raw,500,0.039407476441262405,0.016270420001262356,0.007015695263418471,0.03900104880412205,0.07066130333363223,0.996
ordinary,time_ratio_per_bmi,500,1.040331687852305,0.016931117802799447,1.0070404899926357,1.0397715742130043,1.0732176737757066,1.0
ordinary,sigma,500,0.5354190643522743,0.07112721897476487,0.41714762281290946,0.5267778905047527,0.6977968247683584,1.0
measurement,beta_bmi_raw,500,0.034472957703798074,0.01864393663602168,0.0,0.03254443125889848,0.0712605783554548,0.972
measurement,time_ratio_per_bmi,500,1.0352538916953882,0.01935154879794111,1.0,1.0330797936413072,1.0738615217145868,1.0
measurement,sigma,500,0.5238114196988104,0.07761865730668312,0.3904513742258228,0.5184852475442201,0.6909192902421187,1.0
credible,beta_bmi_raw,500,0.08194542959512006,0.031195002991344,0.01999871741360812,0.08132028698860241,0.14697986365443966,0.994
credible,time_ratio_per_bmi,500,1.085924824298472,0.033988138899954744,1.0202003622100286,1.0847182716425001,1.1583308689495404,1.0
credible,sigma,500,0.38602333097257996,0.08674677537819712,0.25571525118100075,0.36905869141307734,0.5905053705728991,1.0
