case,mode,threshold,eta,error_multiplier,n_left,n_interval,n_right,n_uninformative,state_conflicts,uncertain_visits,chosen_distribution,aic,bic,intercept,beta_bmi_std,beta_bmi_raw,time_ratio_per_bmi,sigma,rho,feasible_k4,cutpoints,times,coverage,total_cost,individuals_after_25,tau_median,tau_q90,tau_max
credible_eta_0.025,credible,0.04,0.025,1.0,235,16,9,7,3,208,loglogistic,195.06251829895663,205.74456319200328,1.7125349135824444,0.2477549699106448,0.0829512495839178,1.086488840474099,0.3737705259364266,0.8,True,"[32.9759465231214, 34.3202115368548, 36.09730783]","[10.0, 11.113965017522302, 12.747295267682109, 17.287901100453066]","[0.9567567567567568, 0.8205128205128205, 0.8260869565217391, 0.8]",101.94980059312894,2,8.892896187069956,12.670245353887676,32.400939476099225
credible_eta_0.025,credible,0.04,0.025,1.0,235,16,9,7,3,208,loglogistic,195.06251829895663,205.74456319200328,1.7125349135824444,0.2477549699106448,0.0829512495839178,1.086488840474099,0.3737705259364266,0.9,True,"[30.68221255328655, 32.642336522060546, 34.50887419732065]","[11.251677683308657, 13.282728457078806, 15.280015710032137, 23.408722560364115]","[0.9043478260869565, 0.9016393442622951, 0.9019607843137255, 0.9]",76.31043341793317,4,12.04144669683383,17.156175092482805,43.872567206627465
credible_eta_0.050,credible,0.04,0.05,1.0,231,20,11,5,5,177,loglogistic,240.607221510969,251.3122550222523,1.697469650770108,0.2240701264327646,0.0746202809317655,1.0774749354175677,0.4258369573242908,0.8,True,"[32.44832318267055, 34.258432214678805, 36.09730783]","[10.0, 11.440840584371285, 13.052085449780941, 17.167795515615005]","[0.9349112426035503, 0.8148148148148148, 0.8333333333333334, 0.8]",82.7788552062015,2,9.440829144867305,12.981094580262834,30.20858945004056
credible_eta_0.050,credible,0.04,0.05,1.0,231,20,11,5,5,177,loglogistic,240.607221510969,251.3122550222523,1.697469650770108,0.2240701264327646,0.0746202809317655,1.0774749354175677,0.4258369573242908,0.9,True,"[30.68221255328655, 32.642336522060546, 34.50887419732065]","[12.545268310940603, 14.565044729155108, 16.52107834496971, 24.248610842727196]","[0.9043478260869565, 0.9016393442622951, 0.9019607843137255, 0.9]",71.90559588878375,4,13.334676065913255,18.33511533284083,42.66804838253613
credible_eta_0.100,credible,0.04,0.1,1.0,227,26,11,3,7,134,weibull,286.7097681581161,297.4376154675551,1.8684345780293956,0.1450648565557426,0.0483877461068723,1.049577546041565,1.0492642765346198,0.8,True,"[31.0253201733632, 33.6163850333305, 36.09730783]","[10.0, 11.337510193794145, 12.616451517787493, 15.296548139301642]","[0.8861788617886179, 0.8095238095238095, 0.8, 0.8]",41.701026004245094,0,10.379760691234878,12.760542202495234,22.066534206318263
credible_eta_0.100,credible,0.04,0.1,1.0,227,26,11,3,7,134,weibull,286.7097681581161,297.4376154675551,1.8684345780293956,0.1450648565557426,0.0483877461068723,1.049577546041565,1.0492642765346198,0.9,True,"[30.7981037518733, 33.6163850333305, 36.09730783]","[14.53704059172159, 16.6865460296539, 18.647008817464567, 24.337101231128234]","[0.907563025210084, 0.9090909090909091, 0.9, 0.9]",39.15217633148623,2,15.11441837662154,18.58117728320219,32.13203464295336
credible_error_x0.75,credible,0.04,0.025,0.75,230,22,11,4,6,158,weibull,259.4416630714932,270.1581251680265,1.7623636544364023,0.1680124899711084,0.0560226999954022,1.0576216914716563,1.1198054284294217,0.8,True,"[32.2768860333865, 33.8470987770759, 36.09730783]","[10.0, 10.816498606936198, 12.208811604386787, 15.066651189742672]","[0.9316770186335404, 0.803921568627451, 0.8, 0.8]",58.80780119229805,0,9.61697209834784,12.21436141745222,23.028611055364443
credible_error_x0.75,credible,0.04,0.025,0.75,230,22,11,4,6,158,weibull,259.4416630714932,270.1581251680265,1.7623636544364023,0.1680124899711084,0.0560226999954022,1.0576216914716563,1.1198054284294217,0.9,True,"[30.7981037518733, 33.6163850333305, 36.09730783]","[13.728720309506345, 16.105359923512303, 18.315772132696456, 24.930700922197644]","[0.907563025210084, 0.9090909090909091, 0.9, 0.9]",44.83529310604924,2,14.361986978743388,18.24092841667403,34.39092977846005
credible_error_x1.00,credible,0.04,0.025,1.0,235,16,9,7,3,208,loglogistic,195.06251829895663,205.74456319200328,1.7125349135824444,0.2477549699106448,0.0829512495839178,1.086488840474099,0.3737705259364266,0.8,True,"[32.9759465231214, 34.3202115368548, 36.09730783]","[10.0, 11.113965017522302, 12.747295267682109, 17.287901100453066]","[0.9567567567567568, 0.8205128205128205, 0.8260869565217391, 0.8]",101.94980059312894,2,8.892896187069956,12.670245353887676,32.400939476099225
credible_error_x1.00,credible,0.04,0.025,1.0,235,16,9,7,3,208,loglogistic,195.06251829895663,205.74456319200328,1.7125349135824444,0.2477549699106448,0.0829512495839178,1.086488840474099,0.3737705259364266,0.9,True,"[30.68221255328655, 32.642336522060546, 34.50887419732065]","[11.251677683308657, 13.282728457078806, 15.280015710032137, 23.408722560364115]","[0.9043478260869565, 0.9016393442622951, 0.9019607843137255, 0.9]",76.31043341793317,4,12.04144669683383,17.156175092482805,43.872567206627465
credible_error_x1.25,credible,0.04,0.025,1.25,232,11,7,17,1,268,loglogistic,142.35572259513853,152.92010534872526,1.604972224159235,0.302366742454239,0.1041428856878519,1.1097590122673424,0.3597815608263473,0.8,True,"[33.6163850333305, 34.50887419732065, 36.09730783]","[10.0, 10.547439269021538, 12.219988968605511, 17.914307942925106]","[1.0, 0.8, 0.8, 0.8]",154.46349926380196,2,7.775830108462561,12.12732957272557,39.4195594618045
credible_error_x1.25,credible,0.04,0.025,1.25,232,11,7,17,1,268,loglogistic,142.35572259513853,152.92010534872526,1.604972224159235,0.302366742454239,0.1041428856878519,1.1097590122673424,0.3597815608263473,0.9,True,"[31.0253201733632, 32.741668448490245, 34.50887419732065]","[10.0, 11.88658882587184, 14.120686446237839, 23.983292902795746]","[0.991869918699187, 0.9107142857142857, 0.9166666666666666, 0.9]",98.92795498284582,4,10.410115291519592,16.235809845296355,52.774064378244745
credible_error_x1.50,credible,0.04,0.025,1.5,232,6,6,23,0,308,loglogistic,99.38629484046189,109.87779951634148,1.4640504501766585,0.3017299938244119,0.1046931608324816,1.110369853118177,0.3542288133949066,0.8,True,"[31.198310055, 34.50887419732065, 36.09730783]","[10.0, 10.0, 10.622535842662916, 15.60397436568585]","[1.0, 1.0, 0.8, 0.8]",192.023058514704,2,6.743211914778951,10.541565369441246,34.479164947719205
credible_error_x1.50,credible,0.04,0.025,1.5,232,6,6,23,0,308,loglogistic,99.38629484046189,109.87779951634148,1.4640504501766585,0.3017299938244119,0.1046931608324816,1.110369853118177,0.3542288133949066,0.9,True,"[32.423729663906755, 33.6163850333305, 35.2208681140727]","[10.0, 11.226803529789882, 13.251541999530208, 22.69932065561525]","[0.9583333333333334, 0.9230769230769231, 0.9, 0.9]",92.31714569397089,3,8.98710888887879,14.049416959115078,45.95258367954213
