label,model,metric,n,mean,sd,q025,median,q975,positive_fraction
T13,elastic_full,roc_auc,100,0.7727379443010214,0.053077859963238695,0.6547974172397247,0.7766292065522835,0.8482531105069567,1.0
T13,elastic_full,pr_auc,100,0.16622011895666436,0.05016233079593557,0.09058259206259486,0.15645900274056845,0.2721923204193432,1.0
T13,elastic_full,brier,100,0.11677775445890036,0.0064084901032767354,0.10476742886597609,0.11660077755924204,0.1285201045826478,1.0
T13,elastic_full,logloss,100,0.40539522784384885,0.03950609514886235,0.35471967585106745,0.40000365519144776,0.493848377277178,1.0
T13,random_forest,roc_auc,100,0.7638624370016679,0.03613553937699541,0.6840056778460623,0.7698680442911212,0.8161166335397105,1.0
T13,random_forest,pr_auc,100,0.1951620759607593,0.05054710707143277,0.10595976187268158,0.19092355472512068,0.2909996498442202,1.0
T13,random_forest,brier,100,0.04440541980273711,0.0021070960109724145,0.040916292684735615,0.04411273266082125,0.04854085368762727,1.0
T13,random_forest,logloss,100,0.19210332974471783,0.02420633449653344,0.16823229656223096,0.18151266886166173,0.2639464224615205,1.0
T13,z_only,roc_auc,100,0.3853745131098973,0.06300702630681763,0.2594443569943565,0.39456925818464245,0.4821507131814819,1.0
T13,z_only,pr_auc,100,0.04280536246092991,0.011272159485069898,0.027608406071596384,0.0406627487554794,0.07197336483112765,1.0
T13,z_only,brier,100,0.25138439687396863,0.0030706543288763987,0.2460010004727199,0.2511653291611634,0.2564892407122627,1.0
T13,z_only,logloss,100,0.6989253984877202,0.008255621884459698,0.6852532124838616,0.6982329823239353,0.7166342372647043,1.0
T18,elastic_full,roc_auc,100,0.8276277521058604,0.013951207625215662,0.7973546679023326,0.8285322603280083,0.8509309400134594,1.0
T18,elastic_full,pr_auc,100,0.4550951962071197,0.0426384860001928,0.36505830136586853,0.45889039317784364,0.5335804071193532,1.0
T18,elastic_full,brier,100,0.13650853260584095,0.00394106544678552,0.12971453802188893,0.13668268795464922,0.1450940062255405,1.0
T18,elastic_full,logloss,100,0.42876260049313136,0.011206740074883712,0.409397214691022,0.42900252761341395,0.45505305595793794,1.0
T18,random_forest,roc_auc,100,0.7763158667215011,0.020345125419967292,0.7396278643090272,0.7765384152215802,0.8161068518764795,1.0
T18,random_forest,pr_auc,100,0.31809622374974295,0.037570899650565925,0.25410219065709727,0.3136048241226219,0.3938605589839619,1.0
T18,random_forest,brier,100,0.07430365983152921,0.0025170752990166913,0.0699098178864815,0.0743072630654585,0.07861483195044694,1.0
T18,random_forest,logloss,100,0.27534581441426303,0.016439015243218006,0.2528732137563064,0.2736200026063226,0.31705255751479294,1.0
T18,z_only,roc_auc,100,0.5903217497130956,0.014203400876855869,0.5646885895212788,0.593013246052426,0.6060834943274791,1.0
T18,z_only,pr_auc,100,0.10321859769977967,0.00761391250386022,0.09119398228706772,0.10209125270401986,0.12128782671557069,1.0
T18,z_only,brier,100,0.2434996087989222,0.0014783726910679285,0.2413139110782473,0.2433509679082455,0.24716909962174902,1.0
T18,z_only,logloss,100,0.6770704886190532,0.003118854909148139,0.6724258714141174,0.6767272577263626,0.6848613377446848,1.0
T21,elastic_full,roc_auc,100,0.526369457810224,0.07319442032155148,0.3829984152003811,0.5246319472426986,0.6542411792436678,1.0
T21,elastic_full,pr_auc,100,0.08774757168529362,0.040946840987648885,0.01980582089390514,0.0988797009836305,0.18157662400575347,1.0
T21,elastic_full,brier,100,0.13565503306220905,0.012309117869588515,0.11191282535170895,0.13664048178242166,0.15760244845900842,1.0
T21,elastic_full,logloss,100,0.45992411322855115,0.04837557293879667,0.38156312097703626,0.4574653820856583,0.5426531187080411,1.0
T21,firth,roc_auc,100,0.467778436190581,0.062118242459300074,0.3406635615918833,0.4720912639155541,0.5752934973834674,1.0
T21,firth,pr_auc,100,0.10171079037066871,0.03991446604616907,0.026332114653187237,0.102997178194674,0.15330623919268443,1.0
T21,firth,brier,100,0.023937669002354077,0.0010208779392271443,0.022599957302116357,0.02382506666207785,0.026259970914769542,1.0
T21,firth,logloss,100,0.12046975215217522,0.0052932355149738815,0.11406436939320555,0.11951634554913615,0.13284900000901692,1.0
T21,random_forest,roc_auc,100,0.4861671005607041,0.07070207266971078,0.34258261599258344,0.4928400899655254,0.6018380811480611,1.0
T21,random_forest,pr_auc,100,0.02850001375560957,0.006496479978059662,0.019161169566723788,0.02803486476678415,0.04593405195962337,1.0
T21,random_forest,brier,100,0.029473817702990658,0.0010514453474461812,0.027618844737942343,0.0294378051151556,0.031337531768712686,1.0
T21,random_forest,logloss,100,0.1962276792671775,0.03998767556102557,0.1363986045940377,0.19379819044922947,0.26567228127379255,1.0
T21,z_only,roc_auc,100,0.4489085372437782,0.06406955162897454,0.3277155083868617,0.4501986431428938,0.5793647534507412,1.0
T21,z_only,pr_auc,100,0.027313322580805145,0.010096210862314114,0.018515596723225256,0.024484961961224398,0.047800960473630194,1.0
T21,z_only,brier,100,0.2674875362779235,0.05603285694158828,0.18260298462196378,0.24905914499021908,0.3960954075332142,1.0
T21,z_only,logloss,100,0.838810396511074,0.40101790081515026,0.5416627187357885,0.6920171223581097,1.9869839903079436,1.0
