candidate,metric,improvement_mean,improvement_q025,improvement_q975,positive_fraction,relative_improvement_percent
bmi_age_height,nll,-0.010212212476542843,-0.02987927476983676,0.0001372264911857662,0.03,-1.4782003795509921
bmi_age_height,mean_brier,-0.0010096115366443315,-0.004158835497613554,0.0006669642720805431,0.18,-0.9881926908104119
bmi_full,nll,-0.09481945090975767,-0.12127861780391833,-0.07234241628806387,0.0,-13.72495418065075
bmi_full,mean_brier,-0.004445417703960809,-0.009457094557523802,-0.00183592149860052,0.0,-4.351108444396498
weight_height_full,nll,-0.09435911945218653,-0.1251538809650763,-0.0735700691523173,0.0,-13.658321985437036
weight_height_full,mean_brier,-0.004204978362611153,-0.009181887630488682,-0.0015065372611761248,0.0,-4.1157700086901094
