model_type,metric,improvement_mean,q025,q975,positive_fraction
logistic,roc_auc,-0.03851076810285,-0.0661031270550533,-0.0215430124906969,0.0
logistic,pr_auc,-0.015562924561952,-0.0252330002597835,-0.0090738241408209,0.0
logistic,brier,-0.0008258426910895,-0.0095086287509859,0.0034501806364772,0.38
rf,roc_auc,0.0400581095874135,0.0050224289738255,0.0698545734602647,0.98
rf,pr_auc,0.0098888678946272,-0.0001180974219722,0.0208052308114276,0.97
rf,brier,0.0210257124556215,0.0139182329807731,0.0278759688324749,1.0
