mode,rho,quantity,n,mean,sd,q025,median,q975,positive_fraction
ordinary,0.8,optimized_cut_1,500,30.818482764882226,0.35992863700558847,29.78295940879965,30.933527008280777,31.087787360548248,1.0
ordinary,0.8,optimized_cut_2,500,33.20920906719043,0.5953343974108815,31.793205530424977,33.43571488,33.82618036210485,1.0
ordinary,0.8,optimized_cut_3,500,35.820740335755254,0.6685999984941701,34.71132068819409,35.818592644999995,36.8111298,1.0
ordinary,0.8,optimized_time_1,500,11.393375298387488,0.6997057487262294,10.0,11.394487274423767,12.701993217416627,1.0
ordinary,0.8,optimized_time_2,500,12.53551887497768,0.6758328168583725,11.155250597976568,12.586754176737347,13.782613100523063,1.0
ordinary,0.8,optimized_time_3,500,13.742794014161976,0.939399594674599,12.057458724977153,13.721923994054524,15.608218760892047,1.0
ordinary,0.8,optimized_time_4,500,16.760554984403317,2.540690615141261,12.616677315075028,16.367057613682974,23.022233698438612,1.0
ordinary,0.9,optimized_cut_1,500,30.597430126446426,0.44655784441990803,29.25932838376715,30.72266034328655,31.002557270375,1.0
ordinary,0.9,optimized_cut_2,500,32.94321225882042,0.8386455766657067,30.7981037518733,33.2006487347475,33.6521916860684,1.0
ordinary,0.9,optimized_cut_3,500,35.31373401443477,1.0748396339775403,32.40411177792764,35.614437525,36.696902405,1.0
ordinary,0.9,optimized_time_1,500,14.39046564273403,0.888385891133799,12.678130955457931,14.405719078200272,16.022328040304274,1.0
ordinary,0.9,optimized_time_2,500,15.729777041422956,0.877828543568988,14.028920719948767,15.717586116549677,17.309871888491823,1.0
ordinary,0.9,optimized_time_3,500,17.157785000538976,1.0536353617223806,15.182019106630511,17.128959255349017,19.20188159472791,1.0
ordinary,0.9,optimized_time_4,500,21.471098282772196,2.5219090877019017,15.89894701279588,21.971474094563902,24.880874184660893,1.0
measurement,0.8,optimized_cut_1,500,30.757295171250615,0.5242839004080206,28.757815906599237,30.90865332054825,31.086879597548247,1.0
measurement,0.8,optimized_cut_2,500,33.11482088248919,0.8570052312217926,29.377933413184003,33.309693089983696,33.87253647034175,1.0
measurement,0.8,optimized_cut_3,500,35.66084940316228,1.1720438433837195,29.91644458817637,35.78833718,36.999319045,1.0
measurement,0.8,optimized_time_1,500,11.689646142055285,0.7367267001369494,10.0,11.720842641636786,12.933798348022412,1.0
measurement,0.8,optimized_time_2,500,12.715796503155028,0.676303778535429,11.380603434916546,12.737599301580126,14.025959792809406,1.0
measurement,0.8,optimized_time_3,500,13.770573427395954,1.0105736111955783,11.893343160146165,13.767982762732263,15.863019500602727,1.0
measurement,0.8,optimized_time_4,500,16.2734336449662,2.4784359887325933,12.451434112237294,16.005671540142373,21.38237607785117,1.0
measurement,0.9,optimized_cut_1,500,30.57301383100978,0.5293220012954164,28.665180664289792,30.7309928534174,30.97970272281495,1.0
measurement,0.9,optimized_cut_2,500,32.90169223937266,0.99411587334632,29.377933413184003,33.22741658548945,33.6521916860684,1.0
measurement,0.9,optimized_cut_3,500,35.23669194641974,1.393546753097829,29.91644458817637,35.614437525,36.812516348625,1.0
measurement,0.9,optimized_time_1,500,14.698006223052529,0.945141105014772,12.694632711350401,14.741804386819185,16.348468764815042,1.0
measurement,0.9,optimized_time_2,500,15.893046558044784,0.904502804345086,14.077319545594545,15.887034244432911,17.67707482761447,1.0
measurement,0.9,optimized_time_3,500,17.128892129261263,1.1296592200026279,14.875636998501665,17.173431509458727,19.255586426726214,1.0
measurement,0.9,optimized_time_4,500,20.907349090753083,2.8290202462285476,15.297348779479709,21.184686115831774,24.868026626148747,1.0
credible,0.8,optimized_cut_1,500,31.997267479853466,1.4767612748184462,28.58853331868684,32.395212404999995,33.63632297528131,1.0
credible,0.8,optimized_cut_2,500,33.8874269847487,0.8325753799924956,31.35296999324313,34.10245052764635,34.82428092,1.0
credible,0.8,optimized_cut_3,500,35.789511548066976,0.7848015565775488,34.0890367920871,35.78833718,36.94563939,1.0
credible,0.8,optimized_time_1,500,10.013638271300307,0.08858091873352164,10.0,10.0,10.181605340374238,1.0
credible,0.8,optimized_time_2,500,10.816189681857884,0.6245436282392642,10.0,10.834381186220101,12.003448171380088,1.0
credible,0.8,optimized_time_3,500,12.241416617784308,1.2267948150775878,10.0,12.244452436764124,14.58401640564966,1.0
credible,0.8,optimized_time_4,500,17.49393793721147,3.48711727370082,10.249483493373692,17.425087440158194,24.11756903160452,1.0
credible,0.9,optimized_cut_1,496,30.50077090832559,0.7005398789923825,28.96752417675127,30.70173971,31.6778054175,1.0
credible,0.9,optimized_cut_2,496,32.41889743381748,1.1461543912575647,29.85994414189578,32.740825097025194,33.6521916860684,1.0
credible,0.9,optimized_cut_3,496,34.31714895849547,1.586912643704316,30.56680345733633,34.8260293475,36.32668681,1.0
credible,0.9,optimized_time_1,496,11.0629578838615,1.0649039394521982,10.0,10.806494049159163,13.42556402576922,1.0
credible,0.9,optimized_time_2,496,12.687174977625954,1.3408070073550609,10.0,12.683268971792327,15.26960834318032,1.0
credible,0.9,optimized_time_3,496,14.548537671459302,1.6984621845759207,10.804501724108958,14.689620958384658,17.469878648181073,1.0
credible,0.9,optimized_time_4,496,22.350349118462873,2.7079228472946695,13.686819009344271,23.176379467061977,24.940328664928725,1.0
