target,metric,mean,sd,q025,median,q975,replicates
ANY,roc_auc_w,0.7673189769967174,0.04226352806696965,0.6819818744511261,0.7702355299573271,0.8411194413197942,500
ANY,pr_auc_w,0.44319863729579595,0.07803783333763796,0.2966973496289315,0.44445088460150406,0.5933115814967217,500
ANY,precision_w,0.4294868326155636,0.07684049351482669,0.2922472615463227,0.42730892792676295,0.57768599882581,500
ANY,recall_w,0.45619549902032275,0.07808671493235163,0.29638366317271586,0.45341467579154326,0.6082772974703811,500
ANY,specificity_w,0.9212265979299048,0.014373950742493896,0.8924775670420662,0.9223025876865724,0.9482149077777166,500
ANY,f1_w,0.43979399452756435,0.07004337207766664,0.30168730677016664,0.43964894008313693,0.5729135442170038,500
ANY,balanced_accuracy_w,0.6887110484751138,0.03977732693216108,0.6064831866322022,0.6875482244441369,0.7650252878285213,500
ANY,mcc_w,0.366937024094512,0.07507446456061453,0.21427042910181016,0.363478076979496,0.5124333933397344,500
ANY,accuracy_w,0.8678258179462262,0.016327718774983062,0.8344290573372205,0.8678409459021703,0.8993695335276968,500
T13,roc_auc_w,0.8383237924174957,0.04269564618605629,0.7343123810391975,0.8414316891532945,0.9110485344746291,500
T13,pr_auc_w,0.20522777509136114,0.062037931982350164,0.09439792513830624,0.19775727377958613,0.3373203276280887,500
T13,precision_w,0.2458846488095965,0.08082331717341165,0.0977727537852385,0.24253432768940242,0.41177594400205497,500
T13,recall_w,0.4161451722121262,0.1253720675805443,0.16859944715019082,0.41508404001421834,0.6599562879475812,500
T13,specificity_w,0.9432781229635973,0.01394862317404066,0.911754091703004,0.9444103271224193,0.9667998417115352,500
T13,f1_w,0.30301977498065846,0.08659032504555945,0.13361307741079254,0.3027590894460741,0.4650904977375566,500
T13,balanced_accuracy_w,0.6797116475878617,0.061934974969098854,0.556374446022603,0.6782773450921272,0.8044440882218032,500
T13,mcc_w,0.2778056910733314,0.09089128133063473,0.09074317010029609,0.2803719186599244,0.4428049604971634,500
T13,accuracy_w,0.9206667638483965,0.014987405773902764,0.887328717201166,0.9216067379332685,0.9488807904114025,500
T18,roc_auc_w,0.8186057217017267,0.04346048390561044,0.7303359014484422,0.8206247015009327,0.8950129397160916,500
T18,pr_auc_w,0.4708334569701428,0.09407527382797239,0.28397195435369676,0.47704500395718685,0.6405244650403177,500
T18,precision_w,0.4433222946669505,0.09824504518927482,0.25539291815499304,0.4435315157241196,0.6308591958416147,500
T18,recall_w,0.37591486017287856,0.08612669793708033,0.21009567446390598,0.37303590328095737,0.532137300252313,500
T18,specificity_w,0.9604077516750147,0.008802253397930258,0.9439253807216405,0.9605239109104551,0.9769390271100074,500
T18,f1_w,0.40329467496981247,0.08341271496041774,0.2338971776109475,0.40681464124319244,0.5583330724928007,500
T18,balanced_accuracy_w,0.6681613059239466,0.043445507993071036,0.5811064601675594,0.667935028874149,0.7471314539294652,500
T18,mcc_w,0.3614131877920991,0.08645347694896462,0.17862233080258375,0.3633064560257195,0.5231998408005832,500
T18,accuracy_w,0.914950566893424,0.013128278844982931,0.8895039682539683,0.9148526077097505,0.9373015873015872,500
T21,roc_auc_w,0.4091689455082122,0.10854608390977762,0.20913004725343504,0.4096434356315961,0.6182153102521701,500
T21,pr_auc_w,0.1837095681889659,0.11069658005155,0.011506572594969624,0.17278977780765165,0.3931768343834962,500
T21,precision_w,0.026697364783864287,0.011019070183061218,0.00833443317588218,0.026022028441490923,0.05011648587613614,500
T21,recall_w,0.4730169665027175,0.15464238838224276,0.18093750000000003,0.4724747474747475,0.7804878048780489,500
T21,specificity_w,0.5870000407265057,0.039144847212210974,0.5140189626860016,0.5866747198942835,0.66413653739482,500
T21,f1_w,0.05029881745633542,0.020214560402106167,0.015953589737239645,0.04932048881070488,0.09195603802336359,500
T21,balanced_accuracy_w,0.5300085036146116,0.07672567981837715,0.38204586959082376,0.5306485804004716,0.6885673985487528,500
T21,mcc_w,0.017782959620350806,0.045434056974759995,-0.07124792974681272,0.017844129041810097,0.10855314121442158,500
T21,accuracy_w,0.5842602418745275,0.03784702500231737,0.5134911186696902,0.5846371882086168,0.6594737339380196,500
