target,variant,model,n_features,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
ANY,z_only,elastic,9,0.5137944767686287,0.12900288343948113,0.11577637690776389,0.9851778656126481,0.02479142271662779,0.928082191780822,0.20720266017457414,0.5049846441646381,0.020910253871387483,0.1349854227405248,0.2444982624191373,0.6823810954628431,0.11186440677966102,0.9850746268656716,0.2009132420091324,0.1322314049586777,590,605,67,20260824,0.25509438121987515,0.12445081748646777,0.20835228260736938
ANY,z_only,elastic,9,0.46921708477582097,0.11264873011130541,0.11420278250425446,0.6442687747035577,0.35231264637002346,0.8842762674504037,0.1940146233633745,0.49829071053679036,-0.002280238534264249,0.38581146744412054,0.24833272496933304,0.690429751346817,0.10966057441253264,0.6268656716417911,0.18666666666666668,0.3950413223140496,383,605,67,20273171,0.43038759384754627,0.13684103596374642,0.22166665333657737
ANY,z_only,elastic,9,0.5065648534429166,0.1282297218040484,0.11051008721698573,0.8853754940711465,0.07635026346604262,0.837111334002006,0.196494305988503,0.48086287876859446,-0.044774439406001905,0.16917719468739878,0.2451198841906336,0.6837018751834388,0.1057347670250896,0.8805970149253731,0.1888,0.16198347107438016,558,605,67,20285518,0.3310685303606756,0.0644579815444519,0.20980524503574144
ANY,z_only,elastic,9,0.47450384611824425,0.11225978093814037,0.11549779720696077,0.958498023715415,0.04861314402810335,0.9003727549983056,0.2061542665431972,0.5035555838717591,0.010623472074322841,0.15301263362487852,0.24573036605125864,0.6853039694347777,0.11091854419410745,0.9552238805970149,0.19875776397515527,0.14710743801652892,577,605,67,20297865,0.26171127539991984,0.1256326570291243,0.21009305527172562
ANY,z_only,elastic,9,0.41951060102732896,0.11427636992963891,0.09491161076693075,0.6689723320158106,0.1731618364558944,0.801428248842723,0.16623792708309068,0.4210670842358524,-0.1279233921496061,0.23005075045891374,0.2514143917790469,0.6967728608041406,0.09053497942386832,0.6567164179104478,0.15913200723327306,0.23140495867768596,486,605,67,20310212,0.30295639296182214,0.14406903747469266,0.21786792993960008
ANY,z_only,elastic,9,0.4771549345982482,0.11471244690257273,0.10545063670529581,0.6324110671936762,0.304663104996097,0.8647670815517505,0.18076056622171488,0.4685370860948864,-0.04329058480492938,0.34226865349314334,0.24326958263325774,0.6798291237374561,0.09951456310679611,0.6119402985074627,0.17118997912317327,0.343801652892562,412,605,67,20322559,0.4059729673828532,0.09641556158862098,0.2212507269055315
ANY,z_only,elastic,9,0.5322241910983114,0.1414649015522776,0.12019312502125097,0.4990118577075101,0.5265661592505854,0.890222400940332,0.19372516783121033,0.5127890084790476,0.016322024986895528,0.5234045999352123,0.24257459332121387,0.6785297542250156,0.11188811188811189,0.47761194029850745,0.1813031161473088,0.5223140495867769,286,605,67,20334906,0.46243049728544683,0.10389906044605508,0.21495531870535692
ANY,z_only,elastic,9,0.4880178586856246,0.11843148036199438,0.11769757508644321,0.7351778656126485,0.28569598946135866,0.8927448402035331,0.20291040850914704,0.5104369275370034,0.014763924389726322,0.3372691933916424,0.24746406702904467,0.6879630205345244,0.11342592592592593,0.7313432835820896,0.1963927855711423,0.3371900826446281,432,605,67,20347253,0.35932109420901953,0.1773887674711779,0.22456350707022
ANY,z_only,elastic,9,0.4627666793366412,0.12028430036211452,0.10508039380979321,0.6393280632411071,0.29428912958626113,0.8629267333106813,0.1804945766607117,0.466808596413684,-0.04608445194705114,0.3338786308174064,0.2523713609355588,0.6988228711069089,0.0995260663507109,0.6268656716417911,0.17177914110429449,0.3305785123966942,422,605,67,20359600,0.4425688758405631,0.06089501876448865,0.218017122039887
ANY,z_only,elastic,9,0.5103988163698387,0.13845181934155465,0.11586084905660445,0.7766798418972335,0.2318135245901646,0.8889980353634576,0.2016418676244238,0.5042466832436989,0.006424039702515554,0.29433106575963724,0.24474672629658825,0.6831004846489659,0.10897435897435898,0.7611940298507462,0.19065420560747665,0.28429752066115704,468,605,67,20371947,0.32819688162271576,0.18625740332377408,0.21564927608049686
