target,track,feature_set,model,n_features,seeds,roc_auc_w_mean,roc_auc_w_sd,roc_auc_w_q025,roc_auc_w_q975,pr_auc_w_mean,pr_auc_w_sd,pr_auc_w_q025,pr_auc_w_q975,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,balanced_accuracy_w_mean,balanced_accuracy_w_sd,balanced_accuracy_w_q025,balanced_accuracy_w_q975,mcc_w_mean,mcc_w_sd,mcc_w_q025,mcc_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,f1_raw_mean,f1_raw_sd,f1_raw_q025,f1_raw_q975,accuracy_raw_mean,accuracy_raw_sd,accuracy_raw_q025,accuracy_raw_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,mean_threshold_mean,mean_threshold_sd,mean_threshold_q025,mean_threshold_q975,selection_score
ANY,woman,woman_compact,lda,187,2,0.5761253309796999,0.015914583336502024,0.5654346866725508,0.5868159752868489,0.42608684056778545,0.019274659060851886,0.41313906054714766,0.4390346205884232,0.30523349436392916,0.013550033327085207,0.29613123993558776,0.31433574879227055,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.24757281553398058,0.04805580066316342,0.2152912621359223,0.2798543689320388,0.43752068851373715,0.013926796915127292,0.4281653426017875,0.44687603442568685,0.5101500441306267,0.02402790033158174,0.4940092674315975,0.5262908208296558,0.020561543609233443,0.05054869972679748,-0.013394618329898581,0.05451770554836547,0.40476190476190477,0.03367175148507369,0.3821428571428571,0.42738095238095236,0.30523349436392916,0.013550033327085207,0.29613123993558776,0.31433574879227055,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.43752068851373715,0.013926796915127292,0.4281653426017875,0.44687603442568685,0.40476190476190477,0.03367175148507369,0.3821428571428571,0.42738095238095236,111.5,4.949747468305833,108.175,114.825,0.06772957861728364,0.06771664721308676,0.0222408231958724,0.11321833403869487,0.47664767334173386
ANY,record,engineered,elastic,64,2,0.7708087635628509,0.011455671133045396,0.7631133999586924,0.7785041271670093,0.42940182157745255,0.04345817610923335,0.4002087291038563,0.45859491405104874,0.36847496131105967,0.0025778911758069993,0.36674325919606426,0.37020666342605507,0.5039525691699608,0.041923326947819056,0.4757905138339924,0.5321146245059292,0.8881001170960181,0.008072940417527904,0.8826771077283366,0.8935231264636996,0.4253928781198848,0.016692688557128053,0.4141795405086535,0.43660621573111613,0.6960263431329893,0.016925193265145518,0.6846568201488459,0.7073958661171327,0.3434410807027344,0.019015390003042275,0.3306674650455792,0.3562146963598895,0.8440233236151604,0.0023364072459031043,0.8424538386783286,0.8455928085519924,0.36434062684801893,0.0091158650679283,0.35821703134240096,0.3704642223536369,0.5,0.010553832555023127,0.492910447761194,0.507089552238806,0.42141500474833804,0.0023503074398413394,0.4198361823361823,0.42299382716049383,0.8479338842975207,0.004675086156605289,0.844793388429752,0.8510743801652894,92.0,4.242640687119285,89.15,94.85,0.6391290181571133,0.020484539581112036,0.6253684991521892,0.6528895371620375,0.464159888138348
ANY,woman,woman_compact,extra_trees,187,2,0.543909973521624,0.010609722224334813,0.5367828773168579,0.5510370697263901,0.3580009269102702,0.01658951669727181,0.3468568951446842,0.3691449586758561,0.29399057344854673,0.006387846020145532,0.2896995286724273,0.2982816182246661,0.8295454545454546,0.11249426064331436,0.7539772727272728,0.9051136363636363,0.15048543689320387,0.08924648694587492,0.09053398058252428,0.21043689320388348,0.4335798606172664,0.02242708180978524,0.418514436068838,0.44864528516569474,0.4900154457193292,0.011623886848719695,0.4822070829655781,0.4978238084730803,-0.02282740904966411,0.024229678391679745,-0.03910373045155372,-0.006551087647774498,0.35374149659863946,0.02886150127292034,0.33435374149659863,0.3731292517006803,0.29399057344854673,0.006387846020145532,0.2896995286724273,0.2982816182246661,0.8295454545454546,0.11249426064331436,0.7539772727272728,0.9051136363636363,0.4335798606172664,0.02242708180978524,0.418514436068838,0.44864528516569474,0.35374149659863946,0.02886150127292034,0.33435374149659863,0.3731292517006803,124.0,14.142135623730951,114.5,133.5,0.18708360734215285,0.009534111375255809,0.18067905427642322,0.19348816040788247,0.4637731828558471
ANY,record,engineered,lda,64,2,0.7779133293481733,0.0010845047798851955,0.7771848116982916,0.7786418469980549,0.4188253582327326,0.03049049554170004,0.39834332388142196,0.43930739258404317,0.3708018764450219,0.06141573134433102,0.32954577034516963,0.41205798254487414,0.48764822134387376,0.08175048754824714,0.4327322134387354,0.5425642292490122,0.8879811914519902,0.047001590603972784,0.8564078051814982,0.9195545777224821,0.41553078268767446,0.008995040154211462,0.4094883514920907,0.42157321388325825,0.6878147063979319,0.017374448472137153,0.6761433955806087,0.699486017215255,0.3349147635215938,0.014925414340936536,0.32488859491372335,0.3449409321294642,0.8420472951085198,0.03222867642142777,0.8203976352445741,0.8636969549724655,0.3603467086919626,0.07157645318108465,0.3122651230452176,0.4084282943387077,0.4850746268656716,0.052769162775115445,0.4496268656716418,0.5205223880597014,0.4087301587301587,0.028059792904228054,0.3898809523809524,0.42757936507936506,0.8429752066115703,0.03506314617453951,0.8194214876033058,0.8665289256198347,93.0,28.284271247461902,74.0,112.0,0.1685559770169464,0.041361183208938515,0.1407715425482538,0.19634041148563902,0.4551645584723949
ANY,woman,woman_compact,lightgbm,187,2,0.5577007943512798,0.060069750828954334,0.517348852603707,0.5980527360988527,0.36855024715579965,0.08257012141387787,0.31308364901940755,0.42401684529219175,0.2959081064356436,0.012415937448123955,0.28756768254950493,0.3042485303217822,0.7727272727272727,0.16070608663330627,0.6647727272727273,0.8806818181818181,0.21844660194174756,0.1167069444676826,0.14004854368932038,0.2968446601941747,0.42674418604651165,0.037821990621605996,0.4013372093023256,0.45215116279069767,0.49558693733451015,0.02199957108281186,0.480808693733451,0.5103651809355693,-0.004511352775175103,0.04940390243622275,-0.03769849548342022,0.028675789933070014,0.3843537414965986,0.03367175148507369,0.36173469387755103,0.40697278911564627,0.2959081064356436,0.012415937448123955,0.28756768254950493,0.3042485303217822,0.7727272727272727,0.16070608663330627,0.6647727272727273,0.8806818181818181,0.42674418604651165,0.037821990621605996,0.4013372093023256,0.45215116279069767,0.3843537414965986,0.03367175148507369,0.36173469387755103,0.40697278911564627,114.5,19.091883092036785,101.675,127.325,0.15929408934616995,0.02771883725651089,0.14067392044501903,0.17791425824732085,0.4541437131066901
ANY,woman,woman_compact,xgboost,187,2,0.5535083848190644,0.07660843547277023,0.5020465578111208,0.6049702118270078,0.33866885482368414,0.06291712130263126,0.29640418785414835,0.38093352179321993,0.3096230158730159,0.029322483584918353,0.2899255952380952,0.3293204365079365,0.7159090909090909,0.1767766952966369,0.5971590909090909,0.834659090909091,0.3252427184466019,0.0755162581849711,0.2745145631067961,0.37597087378640776,0.43120933792575583,0.061022801055325836,0.39021718331419825,0.4722014925373134,0.5205759046778464,0.050630218555832905,0.4865649823477493,0.5545868270079435,0.046307991927210565,0.10596472514956319,-0.02487396500662302,0.11748994886104415,0.4421768707482993,0.0,0.4421768707482993,0.4421768707482993,0.3096230158730159,0.029322483584918353,0.2899255952380952,0.3293204365079365,0.7159090909090909,0.1767766952966369,0.5971590909090909,0.834659090909091,0.43120933792575583,0.061022801055325836,0.39021718331419825,0.4722014925373134,0.4421768707482993,0.0,0.4421768707482993,0.4421768707482993,101.0,15.556349186104045,90.55,111.45,0.2794679650137214,0.022681391108298345,0.26423170782727046,0.2947042222001723,0.4498205231442928
ANY,woman,woman_compact,elastic,187,2,0.5521844660194175,0.07816868874105475,0.49967453662842015,0.6046943954104148,0.40470182790114073,0.05285560350511233,0.3691960000220769,0.44020765578020443,0.2891481365487003,0.02447081093677217,0.272709834011901,0.30558643908549954,0.75,0.16070608663330627,0.6420454545454546,0.8579545454545454,0.2184466019417476,0.07551625818497108,0.16771844660194177,0.2691747572815534,0.41666666666666663,0.050507627227610555,0.3827380952380952,0.4505952380952381,0.4842233009708738,0.042594914224167606,0.455610105913504,0.5128364960282437,-0.027816050743324577,0.09047523570840481,-0.08859292080724566,0.03296081932059651,0.37755102040816324,0.004810250212153351,0.3743197278911565,0.38078231292517006,0.2891481365487003,0.02447081093677217,0.272709834011901,0.30558643908549954,0.75,0.16070608663330627,0.6420454545454546,0.8579545454545454,0.41666666666666663,0.050507627227610555,0.3827380952380952,0.4505952380952381,0.37755102040816324,0.004810250212153351,0.3743197278911565,0.38078231292517006,113.5,14.849242404917497,103.525,123.475,0.17018340748601263,0.06157472213162329,0.12882049909551183,0.21154631587651343,0.4445099426498781
ANY,record,engineered,extra_trees,64,2,0.7644335619906946,0.012799124285848637,0.7558357317937101,0.7730313921876789,0.38798527052613274,0.0020265924036451236,0.38662390415638004,0.38934663689588545,0.3124785657721326,0.01652846838384251,0.30137554329913224,0.323581588245133,0.5345849802371545,0.07126965581129248,0.4867094861660081,0.5824604743083008,0.8464578454332546,0.03211063800689779,0.8248874780444959,0.8680282128220134,0.3928174564478407,0.006334169131006843,0.3885624691994092,0.3970724436962723,0.6905214128352044,0.019579508902197226,0.6773688494940107,0.703673976176398,0.3058574615249148,0.009920158686273647,0.2991935806212796,0.31252134242855,0.8106737933268546,0.020248862797826617,0.7970715905409784,0.824275996112731,0.29627153891859775,0.023843321350170282,0.2802547534165181,0.3122883244206774,0.5149253731343284,0.07387682788516166,0.4652985074626866,0.5645522388059702,0.3739391061784082,0.0006295092716361968,0.3735162324173541,0.37436197993946224,0.8090909090909091,0.026881745400480293,0.7910330578512397,0.8271487603305785,117.5,26.16295090390226,99.925,135.075,0.27684482034539715,0.02615902812666658,0.25927245547666233,0.29441718521413196,0.4300324412177023
ANY,record,engineered,xgboost,64,2,0.7583056460886616,0.0021385282506473312,0.7568690866522594,0.7597422055250638,0.34587067250546544,0.00024098413688408322,0.3457087910639837,0.3460325539469471,0.31230919566486515,0.020304530212126876,0.29866959821315325,0.3259487931165771,0.5355731225296445,0.023756551937097466,0.5196146245059291,0.5515316205533599,0.846357216042154,0.021282030427617716,0.8320609814110064,0.8606534506733016,0.39399723915123885,0.00975421811680334,0.38744482906445277,0.40054964923802494,0.6909651692858991,0.0012372607547397963,0.6901340375896152,0.691796300982183,0.30634733188532226,0.010658469727129232,0.2991874894752539,0.31350717429539066,0.8106980887593134,0.016114338210713928,0.7998732588273406,0.8215229186912862,0.3034843205574913,0.015275477502984658,0.2932229965156794,0.31374564459930315,0.5149253731343284,0.03166149766506931,0.4936567164179104,0.5361940298507463,0.3813341493268054,0.003375417927328687,0.3790667074663403,0.3836015911872705,0.8148760330578513,0.014025258469815787,0.8054545454545454,0.824297520661157,114.0,12.727922061357855,105.45,122.55,0.41639672113844184,0.006509828269454266,0.4120237346104354,0.42076970766644833,0.4261457518725846
ANY,record,engineered,histgb,64,2,0.7424113458559736,0.010409897601394238,0.7354184821298403,0.7494042095821069,0.31741782925564455,0.02458354509887526,0.3009037973828755,0.33393186112841355,0.26484111821332657,0.03435307181451453,0.2417643926804265,0.2879178437462267,0.581521739130435,0.0677760452323075,0.5359930830039529,0.6270503952569173,0.7905353483606552,0.012562219784326178,0.782096659104215,0.7989740376170954,0.3639289623555628,0.04570869269378682,0.3332240821207616,0.39463384259036405,0.686028543745545,0.04016913250831688,0.6590448710540837,0.7130122164370063,0.27320007542706926,0.060164411510277384,0.2327845452303049,0.3136156056238336,0.7665532879818595,0.01889741154774545,0.7538589245221899,0.7792476514415291,0.2534722222222222,0.04419417382415922,0.2237847222222222,0.2831597222222222,0.5597014925373134,0.07387682788516166,0.5100746268656716,0.6093283582089553,0.34885825075398535,0.05623951391944709,0.3110792761740629,0.3866372253339078,0.7677685950413223,0.026881745400480293,0.7497107438016529,0.7858264462809917,148.5,6.363961030678928,144.225,152.775,0.24016641264647404,0.004995745213200203,0.23681051359500663,0.24352231169794142,0.38424357210768056
