target,track,feature_set,model,seeds,roc_auc_w_mean,roc_auc_w_sd,roc_auc_w_q025,roc_auc_w_q975,pr_auc_w_mean,pr_auc_w_sd,pr_auc_w_q025,pr_auc_w_q975,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,balanced_accuracy_w_mean,balanced_accuracy_w_sd,balanced_accuracy_w_q025,balanced_accuracy_w_q975,mcc_w_mean,mcc_w_sd,mcc_w_q025,mcc_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,f1_raw_mean,f1_raw_sd,f1_raw_q025,f1_raw_q975,accuracy_raw_mean,accuracy_raw_sd,accuracy_raw_q025,accuracy_raw_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,mean_threshold_mean,mean_threshold_sd,mean_threshold_q025,mean_threshold_q975,selection_score
ANY,record,engineered,elastic,100,0.7498813684459401,0.020817955699987005,0.7076023181786364,0.7819429461725688,0.3990793096640582,0.03916665341271509,0.33079172537707874,0.47040381343266596,0.37677117671646987,0.05727846366706367,0.26724752799398926,0.5139174834682282,0.47683794466403184,0.06652265706563229,0.34970355731225317,0.6107954545454547,0.8937592091139729,0.030322116574096045,0.8350423558255263,0.9461870608899294,0.4161922840114339,0.04182133950253693,0.32496247746121726,0.4872637202895126,0.6852985768890023,0.027967081966438732,0.6341720282039991,0.7382721660550557,0.3356243626039386,0.04925096137242788,0.2296460040597973,0.4181756793524608,0.8459219846668827,0.02353103916720203,0.8076907191448008,0.8878121963070943,0.3688717733356417,0.05654429184695401,0.27059023066485755,0.491517857142857,0.46731343283582083,0.056752708045147524,0.3582089552238806,0.5828358208955221,0.40763715257189487,0.036392234283333366,0.3312346153846154,0.4657746478873239,0.8486776859504134,0.023252771641120558,0.8097520661157025,0.8876859504132231,87.17,18.51401598462062,56.95,127.52499999999999,0.6567509845721845,0.045447987870578126,0.5748984970870331,0.7449899999004918,0.4456448801022055
T13,record,longitudinal,extra_trees,100,0.8417959700867397,0.022514164930407494,0.7929702988279915,0.8815447191062578,0.22316758923824764,0.04674942532273964,0.14322515724704343,0.314277853748962,0.21692761475302733,0.05427759109208612,0.11869563734629048,0.3158418274217567,0.41624324324324313,0.13564277841743422,0.19290540540540535,0.6756756756756754,0.9319313609467451,0.026684060593650423,0.8565414201183426,0.9658875739644969,0.2790366847769893,0.06677163172153056,0.14465790294897798,0.3942373581264514,0.6740873020949943,0.06062998581783503,0.5661841116264191,0.774525479198556,0.25489601254538913,0.07499417542967898,0.10149236553496063,0.3922170020963302,0.910298185941043,0.022556841309108223,0.8461196145124716,0.9372959183673472,0.21132532723291078,0.050423640793080586,0.12758152173913043,0.293655303030303,0.4173913043478261,0.10756992820527113,0.21739130434782608,0.6521739130434783,0.2743725806528417,0.05416851127033143,0.17206572769953052,0.3610705115544144,0.9150082644628099,0.02361408222547591,0.8503719008264463,0.9421487603305785,47.62,17.40357562239566,25.425,93.52499999999999,0.1994736410836868,0.03462537435049628,0.13405372213396743,0.27225580201615607,0.28466053577043143
T18,record,engineered,elastic,100,0.8247251568490719,0.013373403017936531,0.7964426840267397,0.8478079304280428,0.47711791586486446,0.0448888659897035,0.36181095897270665,0.5330558695867983,0.4236621416842526,0.05544540888151979,0.3231569986416558,0.5314948354313459,0.5248988439306359,0.05828131117033388,0.4195447976878613,0.6286127167630059,0.9370451349831268,0.01733355040949675,0.9031412577334077,0.9656504850956128,0.4647668685872054,0.03619611966535071,0.38851561983307703,0.5256039783768747,0.7309719894568815,0.02497293764453545,0.6821650264329764,0.779113638330884,0.41877828014374996,0.03982786199189318,0.33415096232453867,0.4851388387523166,0.904708940719145,0.013751939580275298,0.8734163427275674,0.9261544379656625,0.39486863544868456,0.05324834684306498,0.29930555555555555,0.5,0.47391304347826085,0.06062753815464316,0.35815217391304344,0.5869565217391305,0.42640873106980254,0.03585403282916884,0.35403991559697556,0.48387222607489594,0.9027933884297521,0.013603136289396453,0.8717768595041322,0.9239669421487603,56.41,11.65072070428662,35.9,77.0,0.712915997060849,0.04258136812455891,0.6248372729955363,0.7833182538009374,0.5034296302573542
T21,record,engineered,lda,100,0.4197190269448874,0.08499986922928184,0.2592269295445644,0.4964688185572348,0.1296330126043593,0.07628174996217368,0.016163715900708565,0.19643529761397813,0.02695152159028262,0.028997519049796097,0.006649457924625723,0.09269987799956014,0.40428571428571414,0.21745505096792092,0.07142857142857141,0.761904761904762,0.5699893811183009,0.21193364022068265,0.24670441347270666,0.9574224323875888,0.04539985282602154,0.026889242913496002,0.012166249027909812,0.11751245600896051,0.4871375477020077,0.04938241548537287,0.4052990708478512,0.5671515679442509,-0.00625522995717159,0.045732093400717856,-0.06914656561840356,0.09384023841852537,0.5660440557175251,0.20226956245970365,0.25897108843537414,0.9385949141561386,0.02382611948766171,0.02694303234942777,0.006597010372178158,0.07714285714285682,0.396923076923077,0.2150068837830871,0.07692307692307693,0.7692307692307693,0.04032714362771733,0.02389135367968664,0.012151622680564796,0.10134803921568598,0.5654710743801653,0.203486833816769,0.2602892561983471,0.9394214876033056,260.21,128.16390192864665,27.650000000000002,454.0,0.46299553580614566,0.21154835574138708,0.006689233138063635,0.7520963160413612,0.05164084335808347
