target,records,positive_records,raw_prevalence,woman_balanced_prevalence,all_negative_accuracy,all_negative_positive_recall,all_positive_precision_raw,all_positive_recall_raw,all_positive_f1_raw,selected_nested_accuracy_w,selected_nested_precision_w,selected_nested_recall_w,selected_nested_f1_w
ANY,605,67,0.11074380165289256,0.11473922902494331,0.8892561983471075,0.0,0.11074380165289256,1.0,0.19940476190476192,0.8610535219378758,0.4194910394965752,0.4542160737812914,0.4282713183047462
T13,605,23,0.03801652892561983,0.0419501133786848,0.9619834710743802,0.0,0.03801652892561983,1.0,0.0732484076433121,0.8953352769679301,0.1815708125910322,0.3909909909909909,0.2464076801695582
T18,605,46,0.07603305785123966,0.07845804988662132,0.9239669421487603,0.0,0.07603305785123966,1.0,0.141321044546851,0.9052316164561064,0.4157412543433583,0.4446050096339114,0.4270990794080099
T21,605,13,0.021487603305785124,0.023809523809523808,0.9785123966942149,0.0,0.021487603305785124,1.0,0.042071197411003236,0.5305744520030236,0.0230650081180579,0.4523809523809523,0.0438787743884808
