target,variant,model,n_features,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
T21,z_only,elastic,9,0.3192418508247299,0.01744912518147209,0.020536071476196925,0.5238095238095237,0.3906587025053928,0.9711280676428129,0.03952264853073289,0.4572341131574583,-0.026701703435234477,0.3938289601554908,0.23851308642917965,0.6670846935787383,0.019178082191780823,0.5384615384615384,0.037037037037037035,0.39834710743801655,365,605,13,20260824,0.42448861637261204,0.1409287878570271,0.057654694483472005
T21,z_only,elastic,9,0.33944274573941263,0.018218912042725736,0.021117608836907203,0.619047619047619,0.3001161440185835,0.9699699699699699,0.04084197298146425,0.4595818815331013,-0.026841136176046793,0.3077097505668935,0.2414596687942679,0.6726017206263198,0.018779342723004695,0.6153846153846154,0.03644646924829157,0.30082644628099175,426,605,13,20273171,0.29255038110404036,0.2674230584223067,0.05917444400100645
T21,z_only,elastic,9,0.3512595436935924,0.018305812812093553,0.02407825432656146,0.761904761904762,0.24680603948896684,0.9770114942528736,0.046681254558716516,0.5043554006968645,0.003081003642412143,0.2590702947845805,0.2407287923793281,0.6786165084470679,0.022026431718061675,0.7692307692307693,0.042826552462526764,0.2611570247933884,454,605,13,20285518,0.1506621592800663,0.24277562942885014,0.04868987999387639
T21,z_only,elastic,9,0.38165490741399327,0.0195478549311825,0.021990104452996293,0.7619047619047619,0.1735191637630668,0.9676165803108807,0.04274646005877664,0.46771196283391436,-0.02590674617248513,0.18752834467120183,0.24051891942596543,0.6721094608779294,0.020080321285140562,0.7692307692307693,0.03913894324853229,0.1884297520661157,498,605,13,20297865,0.1953632026672994,0.21316237822395376,0.04965763039465604
T21,z_only,elastic,9,0.33062547899531686,0.017794237907176005,0.021977159452140953,0.761904761904762,0.17302140368342525,0.9675264427537577,0.042722001830943206,0.4674630827940936,-0.026135050257725927,0.18704243602202786,0.23551245016658517,0.6677641740569271,0.0199203187250996,0.7692307692307693,0.038834951456310676,0.18181818181818182,502,605,13,20310212,0.19073617095702966,0.21290746873450722,0.0567537204940695
T21,z_only,elastic,9,0.3983725352316707,0.022569312040038172,0.021840419336051357,0.5952380952380951,0.34978706929926473,0.9725511302475779,0.04213483146067435,0.47251258226868,-0.017559146871086402,0.3556311413454271,0.2467454844328107,0.6937946509494336,0.02040816326530612,0.6153846153846154,0.03950617283950617,0.35702479338842974,392,605,13,20322559,0.2577461718871446,0.2547403254679504,0.048205872764038996
T21,z_only,elastic,9,0.3895308413725552,0.02099208982815874,0.020152003684937927,0.5952380952380951,0.29409324705491996,0.9675218340611352,0.03898418355981308,0.44466567114650757,-0.03693399289706666,0.30126336248785235,0.23557991992241997,0.6622443781755225,0.018604651162790697,0.6153846153846154,0.03611738148984198,0.29421487603305785,430,605,13,20334906,0.418182287569902,0.12152523251120492,0.053955263104627775
T21,z_only,elastic,9,0.38955072543922864,0.020527988196934837,0.01978490259740265,0.3095238095238095,0.6259775454897402,0.973801493615996,0.03719244707228696,0.4677506775067748,-0.020338848387156414,0.618442932728647,0.23413952062529927,0.6596992507796743,0.017857142857142856,0.3076923076923077,0.03375527426160337,0.6214876033057851,224,605,13,20347253,0.503727116454363,0.2728220169572472,0.06772166404408764
T21,z_only,elastic,9,0.3416565929507711,0.01814189964023416,0.018081501074557887,0.5952380952380951,0.21159780985565022,0.9554240335630805,0.03509686735389696,0.40341795254687274,-0.07153865683492817,0.22073210236475543,0.24017306950257405,0.6759065201184351,0.016736401673640166,0.6153846153846154,0.032586558044806514,0.21487603305785125,478,605,13,20359600,0.22038883041367943,0.17904044016116744,0.05026873029679695
T21,z_only,elastic,9,0.3596698454836851,0.018975474241355622,0.02424813031815689,0.9285714285714286,0.08863447818151697,0.980723333945291,0.047262088187940574,0.5086029533764728,0.009248705344127105,0.10863297700032397,0.24221369975862178,0.6775532705062212,0.021897810218978103,0.9230769230769231,0.0427807486631016,0.11239669421487604,548,605,13,20371947,0.1724478923598306,0.17056019288221425,0.048519627523227964
T21,core,elastic,29,0.5036798691602086,0.09513086594452802,0.06313890559230306,0.07142857142857141,0.9741496598639455,0.9772791584133695,0.06702840727736993,0.5227891156462585,0.042920669492059145,0.9526563006154846,0.14513428703478706,0.4519160656877533,0.05555555555555555,0.07692307692307693,0.06451612903225806,0.9520661157024793,18,605,13,20260824,0.9037958586094654,0.15542350434947172,0.1964871385951255
T21,core,elastic,29,0.5487604720556449,0.10224076826114618,0.02840199750312121,0.6190476190476191,0.48349095735855324,0.9811447811447811,0.054312145628170896,0.5512692882030862,0.031287586864773655,0.48671849692257857,0.1495231015133119,0.49040633208470563,0.02476780185758514,0.6153846153846154,0.047619047619047616,0.47107438016528924,323,605,13,20273171,0.15987974279159803,0.09827366451101634,0.06610369702152573
T21,core,elastic,29,0.5343320138740754,0.09726798112744153,0.02821206065593047,0.38095238095238093,0.6799457994579942,0.9782766111513395,0.052533654372332386,0.5304490902051876,0.019878337615174504,0.6728269085411944,0.13586374744829943,0.42995961838073726,0.025380710659898477,0.38461538461538464,0.047619047619047616,0.6694214876033058,197,605,13,20285518,0.5688444568805997,0.44366683721489625,0.16986840801370878
T21,core,elastic,29,0.4775863113344455,0.09505847928328168,0.025011910433539848,0.21428571428571425,0.7962667994026872,0.9764985960200219,0.04479522184300352,0.5052762568442007,0.003992447874126508,0.7824101068999029,0.13582632658177363,0.439663485855249,0.023809523809523808,0.23076923076923078,0.04316546762589928,0.7801652892561983,126,605,13,20297865,0.570504916259136,0.4073444416101383,0.19193835252190036
T21,core,elastic,29,0.6286034274336921,0.1069832945529097,0.029559376001087358,0.6904761904761906,0.4471102262043032,0.9833955745861057,0.056691769918918875,0.5687932083402469,0.042218778162859974,0.4529046539250622,0.14243713362398153,0.43302183547783746,0.026627218934911243,0.6923076923076923,0.05128205128205128,0.44958677685950416,338,605,13,20310212,0.2975669455902761,0.4084999440493024,0.07978593803786668
T21,core,elastic,29,0.5633748660129958,0.10019450946367214,0.02518589589829701,0.23809523809523805,0.7752336707040535,0.976590259875984,0.04555314533622569,0.5066644543996458,0.004865615924908607,0.7624446604038442,0.14785401368644352,0.4658498625511623,0.02097902097902098,0.23076923076923078,0.038461538461538464,0.7520661157024794,143,605,13,20322559,0.46420813955270857,0.18439073681087945,0.07756264800913765
T21,core,elastic,29,0.5963347476040366,0.10318513297372334,0.03444316877152698,0.14285714285714282,0.9023228803716603,0.9773556422191468,0.05550416281221091,0.5225900116144016,0.02308832074081852,0.8842403628117915,0.14925739881416364,0.4696825341730861,0.03225806451612903,0.15384615384615385,0.05333333333333334,0.8826446280991735,62,605,13,20334906,0.7729528059332927,0.30589663823877516,0.1519655080866657
T21,core,elastic,29,0.534065620053675,0.09784581509183257,0.021978021978022035,0.28571428571428564,0.6898954703832748,0.9753694581280787,0.040816326530612346,0.48780487804878025,-0.008043357953509038,0.6802721088435375,0.1486205759847264,0.46702406538125685,0.021505376344086023,0.3076923076923077,0.04020100502512563,0.684297520661157,186,605,13,20347253,0.6186946897835368,0.38306248951025473,0.12015709015781348
T21,core,elastic,29,0.49781657146017605,0.030000578884659106,0.0,0.0,0.904103755323267,0.9737313930700912,0.0,0.4520518776616335,-0.05019024564063706,0.8825774754346185,0.13647131972833165,0.45622221787954326,0.0,0.0,0.0,0.8809917355371901,59,605,13,20359600,0.7701604541763041,0.3495755083750896,0.1542454756606387
T21,core,elastic,29,0.520675215498512,0.09652397863650447,0.019993335554815132,0.28571428571428564,0.6584204413472703,0.9742223749785185,0.037371535347243974,0.472067363530778,-0.01797612054394064,0.6495464852607711,0.14475891734224725,0.44936413205384346,0.019138755980861243,0.3076923076923077,0.036036036036036036,0.6462809917355372,209,605,13,20371947,0.5144491864448211,0.40155277870866574,0.09295840693501731
T21,engineered,elastic,64,0.41571236314890075,0.0908437451949546,0.09962049335863377,0.07142857142857141,0.9842541894806702,0.9775071680453482,0.08320126782884309,0.5278413804546208,0.06553381668609443,0.9625202461937158,0.12346481574818802,0.39660332605605403,0.09090909090909091,0.07692307692307693,0.08333333333333333,0.9636363636363636,11,605,13,20260824,0.9094675825665648,0.06834223468537533,0.18134436970766948
T21,engineered,elastic,64,0.42935889028472585,0.10494643687064814,0.019832765472099854,0.6190476190476191,0.25379680327415577,0.9646828817086757,0.03843419376183494,0.4364222111608874,-0.0443725346098458,0.2624932512687615,0.12467663113453692,0.4123794260648472,0.017817371937639197,0.6153846153846154,0.03463203463203463,0.2628099173553719,449,605,13,20273171,0.034040535076136386,0.04079189473374693,0.057779082450177
T21,engineered,elastic,64,0.45950089675824024,0.0619807807750502,0.025175705444246365,0.38095238095238093,0.6402245451025935,0.9769598865717491,0.04723014857817585,0.5105884630274873,0.006724973918635793,0.6340513983371128,0.11513884247923045,0.38584505276457093,0.0228310502283105,0.38461538461538464,0.04310344827586207,0.6330578512396694,219,605,13,20285518,0.5314821714730336,0.47181264126516476,0.161697793222899
T21,engineered,elastic,64,0.4570259230289108,0.09544351431564173,0.019222644697929937,0.3095238095238095,0.614816658370665,0.973338586813764,0.036197295147175935,0.4621702339472373,-0.023723695818033144,0.6075477810171688,0.11836251431618311,0.3972556647475123,0.01694915254237288,0.3076923076923077,0.0321285140562249,0.6016528925619835,236,605,13,20297865,0.503874521423503,0.4926186209035353,0.15497283143956353
T21,engineered,elastic,64,0.5432951190542048,0.06512888376281184,0.024096385542168797,0.761904761904762,0.2473867595818821,0.9770642201834863,0.04671532846715351,0.504645760743322,0.003283868608432541,0.25963718820861686,0.12305006739076947,0.4244187532125013,0.021834061135371178,0.7692307692307693,0.04246284501061571,0.2545454545454545,458,605,13,20310212,0.22155550195292073,0.3861906539286079,0.0904097442097977
T21,engineered,elastic,64,0.4670095680548657,0.09391740000219496,0.02652929451727924,0.6428571428571428,0.42465571594491475,0.9798996898809296,0.05095575746137896,0.5337564294010287,0.02083360544689556,0.42985098801425337,0.12684314176905231,0.4079127342087314,0.0223463687150838,0.6153846153846154,0.0431266846361186,0.4132231404958678,358,605,13,20322559,0.23788571934681466,0.32793508919502984,0.06486835207508411
T21,engineered,elastic,64,0.49070847851335764,0.09884562071586808,0.019181585677749396,0.14285714285714282,0.8218350754936116,0.9751929437706724,0.03382187147688844,0.4823461091753772,-0.014093363186598493,0.805668934240363,0.1254291001897202,0.40779590355723594,0.01818181818181818,0.15384615384615385,0.032520325203252036,0.8033057851239669,110,605,13,20334906,0.7362821557173783,0.4034422967488201,0.18548051424487627
T21,engineered,elastic,64,0.45581101972341553,0.09345941757310144,0.025943396226415172,0.5238095238095237,0.5203252032520324,0.9781659388646289,0.04943820224719115,0.5220673635307781,0.013467159412722684,0.5204081632653061,0.13100673806692503,0.42513784827331813,0.02413793103448276,0.5384615384615384,0.0462046204620462,0.5223140495867769,290,605,13,20347253,0.49738269686105036,0.49716757307903614,0.14688107008214718
T21,engineered,elastic,64,0.35245206096375975,0.019256591923645216,0.008809710258418185,0.07142857142857141,0.8039876113046839,0.9726020981641061,0.015684907633321744,0.43770809136662764,-0.048122633581378485,0.7865457294028724,0.11905156036834562,0.41604628206071187,0.008403361344537815,0.07692307692307693,0.015151515151515152,0.7851239669421488,119,605,13,20359600,0.7473537961427995,0.4246642506385448,0.23974649031857836
