target,replicate,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive
T21,0,0.4140768953268957,0.02847079482909468,0.0,0.0,0.9627039627039629,0.971764705882353,0.0,0.48135198135198143,-0.03245095657259347,0.9365079365079366,0.10195521836997198,0.35138841253141406,0.0,0.0,0.0,0.9413793103448276,20,580,14
T21,1,0.42923185283394066,0.0386185152076749,0.13824884792626724,0.29999999999999993,0.9566125290023199,0.9833055091819699,0.18927444794952678,0.6283062645011599,0.17661362062082386,0.9417233560090703,0.1001484602129446,0.34512619586972376,0.13793103448275862,0.3076923076923077,0.19047619047619047,0.9438943894389439,29,606,13
T21,2,0.5484259003656885,0.03212291271363471,0.08620689655172413,0.20930232558139533,0.9445671121441025,0.9795131356953484,0.12211668928086838,0.5769347188627489,0.100559954301697,0.9266439909297053,0.10254369561338939,0.33760453920616307,0.08823529411764706,0.23076923076923078,0.1276595744680851,0.931323283082077,34,597,13
T21,3,0.39398091625300585,0.03121438485121452,0.21367521367521375,0.2830188679245283,0.9677381648158971,0.9775652379265557,0.24350649350649356,0.6253785163702127,0.21898604563669694,0.9471655328798186,0.09824811249299144,0.3477086266156198,0.20833333333333334,0.29411764705882354,0.24390243902439024,0.9468267581475128,24,583,17
T21,4,0.3031047211511327,0.013721289172778012,0.0,0.0,0.9665898617511519,0.9835873388042204,0.0,0.48329493087557596,-0.02341685887523095,0.9512471655328797,0.10212068811497221,0.3431113552304644,0.0,0.0,0.0,0.9524590163934427,20,610,9
T21,5,0.3333967720043678,0.014974761614605033,0.039999999999999994,0.11538461538461538,0.9585730724971231,0.9863824748371819,0.0594059405940594,0.5369788439408693,0.044172240599231805,0.9461451247165535,0.10321454472226682,0.3517746194128327,0.038461538461538464,0.125,0.058823529411764705,0.9477977161500816,26,613,8
T21,6,0.47425825079163514,0.028064985450820822,0.0967741935483871,0.1395348837209302,0.9674607786170831,0.9782608695652175,0.11428571428571427,0.5534978311690066,0.08960148590517335,0.947278911564626,0.1035887927485762,0.34587665126950207,0.09523809523809523,0.15384615384615385,0.11764705882352941,0.9515347334410339,21,619,13
T21,7,0.305330035770176,0.026085292747246892,0.0,0.0,0.9636150234741783,0.9647473560517039,0.0,0.48180751173708913,-0.03581433543334245,0.9308390022675738,0.1083295434121732,0.38010062556724405,0.0,0.0,0.0,0.9375,20,608,18
T21,8,0.41058058908759426,0.04013795393792228,0.08474576271186446,0.2222222222222222,0.9626943005181349,0.9875974486180015,0.12269938650306754,0.5924582613701785,0.11566094882452409,0.9513605442176871,0.08958662820111671,0.31396420512241596,0.08333333333333333,0.25,0.125,0.9541734860883797,24,611,8
T21,9,0.45056192660550565,0.01416945959451406,0.0,0.0,0.9580275229357796,0.9881712798675183,0.0,0.4790137614678898,-0.022281846522667993,0.9471655328798185,0.10325097853110221,0.3385195800962248,0.0,0.0,0.0,0.9499192245557351,25,619,6
T21,10,0.2937361765515454,0.018539919161973124,0.09646302250803858,0.17647058823529416,0.9675144508670519,0.9835468327653073,0.12474012474012473,0.571992519551173,0.1073322977491226,0.9522675736961451,0.10590543886099374,0.3621130075458391,0.09090909090909091,0.18181818181818182,0.12121212121212122,0.9518272425249169,22,602,11
T21,11,0.5645034396691323,0.041614589603690404,0.08174386920980925,0.11111111111111113,0.9605847953216373,0.9716077132379037,0.09419152276295133,0.5358479532163742,0.06184731249787808,0.9345804988662131,0.10148609662336193,0.33385852826165124,0.08695652173913043,0.125,0.10256410256410256,0.9409780775716695,23,593,16
T21,12,0.1548435769656723,0.021210588537354955,0.04477611940298508,0.06818181818181816,0.9627906976744185,0.9758397171479081,0.05405405405405406,0.5154862579281183,0.025269038851173778,0.9404761904761905,0.10237327643584447,0.3735675578862749,0.043478260869565216,0.07142857142857142,0.05405405405405406,0.9434571890145396,23,619,14
T21,13,0.3795914534768022,0.023207004634088816,0.11936339522546424,0.24324324324324328,0.9615518239722061,0.9834182162738362,0.16014234875444844,0.6023975336077246,0.14508331067187352,0.9464852607709751,0.10397818033353147,0.3526216805783609,0.11538461538461539,0.25,0.15789473684210525,0.948220064724919,26,618,12
T21,14,0.376044257880631,0.03582224230212466,0.1880877742946709,0.18461538461538468,0.9695114773396115,0.9688271968003763,0.18633540372670815,0.5770634309774981,0.15551466840346154,0.9405895691609977,0.11163190412792239,0.3831320583154432,0.18181818181818182,0.2,0.19047619047619047,0.944078947368421,22,608,20
T21,15,0.3576727169826597,0.029330738494948556,0.14018691588785043,0.1551724137931034,0.967643610785463,0.9711730791857865,0.1472995090016366,0.5614080122892832,0.11694781696138339,0.9409297052154193,0.11113897605645885,0.38097715347149286,0.13636363636363635,0.15789473684210525,0.14634146341463414,0.9421487603305785,22,605,19
T21,16,0.37873793714945514,0.015966641737035315,0.0,0.0,0.9573903002309468,0.9810673293101408,0.0,0.4786951501154734,-0.02840273602879255,0.9400226757369613,0.09972898753235457,0.3346598597401698,0.0,0.0,0.0,0.9402730375426621,25,586,10
T21,17,0.38162432319866846,0.02550824773503084,0.0,0.0,0.945539358600583,0.9706692206392913,0.0,0.4727696793002915,-0.039967149719851,0.9192743764172334,0.10910284657604429,0.36994232093222934,0.0,0.0,0.0,0.9258649093904449,31,607,14
T21,18,0.3324442962716021,0.02273466158098408,0.043352601156069356,0.060000000000000005,0.9613768961493581,0.9722681142317677,0.050335570469798654,0.5106884480746791,0.018273544008332112,0.9358276643990929,0.1191600277840245,0.395011667515593,0.043478260869565216,0.06666666666666667,0.05263157894736842,0.9414634146341463,23,615,15
T21,19,0.5171130449596113,0.022718133674364392,0.08064516129032255,0.20689655172413798,0.9605763688760806,0.9863873106060606,0.11605415860735008,0.5837364603001093,0.10595340411491695,0.9481859410430838,0.10516352374728836,0.34239475631850846,0.07692307692307693,0.2222222222222222,0.11428571428571428,0.9493464052287581,26,612,9
T21,20,0.40394113910065177,0.024986909356197677,0.06818181818181815,0.15000000000000002,0.9524361948955917,0.9797136038186157,0.09374999999999997,0.5512180974477958,0.07004444862116421,0.9342403628117916,0.10080014983793403,0.34363024311881835,0.06666666666666667,0.16666666666666666,0.09523809523809523,0.9359190556492412,30,593,12
T21,21,0.33300692154722356,0.026165967403615476,0.08333333333333333,0.11320754716981131,0.9614260666277031,0.9722222222222223,0.09599999999999999,0.5373168068987573,0.06439186188983728,0.9359410430839002,0.10544786083914745,0.36427064491590017,0.08333333333333333,0.11764705882352941,0.0975609756097561,0.9380234505862647,24,597,17
T21,22,0.4260863063007303,0.031762251716928175,0.021676300578034668,0.05555555555555557,0.9208187134502919,0.9686269685039368,0.031185031185031176,0.4881871345029237,-0.015135797177289875,0.8943310657596371,0.11516025831295552,0.38068846941451595,0.022222222222222223,0.0625,0.03278688524590164,0.9045307443365695,45,618,16
T21,23,0.2214994984168791,0.015722699913747033,0.03731343283582089,0.10714285714285714,0.9554147465437788,0.9851508671893561,0.05535055350553505,0.531278801843318,0.03748750162484852,0.9419501133786848,0.10563560851574187,0.36158229214261767,0.03571428571428571,0.1111111111111111,0.05405405405405406,0.9429037520391517,28,613,9
T21,24,0.302848508230455,0.015933682191773553,0.04261363636363637,0.08333333333333333,0.9609953703703705,0.9805148795465282,0.05639097744360902,0.522164351851852,0.03201963661393492,0.9430839002267573,0.1044841876850028,0.3540881666603396,0.043478260869565216,0.09090909090909091,0.058823529411764705,0.9463986599664992,23,597,11
T21,25,0.43132607551455593,0.02560663660346805,0.06711409395973154,0.13333333333333333,0.951483420593368,0.976710856323898,0.08928571428571427,0.5424083769633506,0.06096794259327367,0.9306122448979592,0.0997633029689215,0.3389845865430636,0.06896551724137931,0.14285714285714285,0.09302325581395349,0.9375,29,624,14
T21,26,0.4582584666476664,0.03709968082970696,0.09174311926605502,0.12765957446808512,0.9654047757716948,0.9758624749793948,0.10676156583629892,0.5465321751198899,0.07932005232617582,0.9430839002267574,0.10153992820367529,0.34429483147935086,0.08695652173913043,0.14285714285714285,0.10810810810810811,0.946078431372549,23,612,14
T21,27,0.5414630592121235,0.03072992718996643,0.050335570469798654,0.08823529411764706,0.9672832369942197,0.9818117812720019,0.0641025641025641,0.5277592655559333,0.04224658267648577,0.9503401360544218,0.0906342232831333,0.3067498050939175,0.047619047619047616,0.1,0.06451612903225806,0.9499136442141624,21,579,10
T21,28,0.35781440272902343,0.02394247784531607,0.0,0.0,0.9513702623906705,0.9708437462810899,0.0,0.47568513119533523,-0.03765449465895778,0.9249433106575963,0.10859632838051994,0.3661328841138722,0.0,0.0,0.0,0.9310924369747899,26,595,15
T21,29,0.4134803516782454,0.020623513817407565,0.08695652173913045,0.17647058823529413,0.9635838150289018,0.9834808259587021,0.11650485436893204,0.570027201632098,0.09932301193244367,0.9484126984126985,0.09963461283133901,0.3383897605800809,0.08333333333333333,0.18181818181818182,0.11428571428571428,0.9489291598023064,24,607,11
T21,30,0.5044246945307032,0.042591589535258725,0.10112359550561802,0.13636363636363635,0.9528857479387515,0.9659701492537314,0.11612903225806454,0.5446246921511939,0.07738265574606283,0.9223356009070296,0.11278037416870124,0.3697640698869826,0.1,0.15,0.12,0.9265442404006677,30,599,20
T21,31,0.5265801965557401,0.03144890890572995,0.0351288056206089,0.06976744186046512,0.9521208599651366,0.9761706183724533,0.046728971962616814,0.5109441509128009,0.015726576322126994,0.9306122448979592,0.10239094954915413,0.33698972230896174,0.03571428571428571,0.07692307692307693,0.04878048780487805,0.9346733668341709,28,597,13
T21,32,0.6540919016536635,0.035402990080445666,0.03318584070796462,0.08571428571428574,0.9494505494505495,0.9808795411089867,0.04784688995215313,0.5175824175824176,0.022239757937611744,0.932312925170068,0.1015841835252104,0.32601272340469695,0.034482758620689655,0.1,0.05128205128205128,0.9372881355932203,29,590,10
T21,33,0.28618342388949974,0.025210679673300505,0.09868421052631578,0.11320754716981134,0.9679719462302747,0.9724048849224988,0.1054481546572935,0.540589746700043,0.07596694514593086,0.9422902494331067,0.10933741284382598,0.3839964703764635,0.09523809523809523,0.11764705882352941,0.10526315789473684,0.9452495974235104,21,621,17
T21,34,0.4460001662095916,0.02517464138570993,0.05309734513274337,0.1333333333333333,0.9377545084351364,0.9763779527559054,0.0759493670886076,0.5355439208842349,0.0457748327401277,0.9172335600907029,0.10741849879009718,0.35592079818002204,0.05405405405405406,0.14285714285714285,0.0784313725490196,0.9240710823909531,37,619,14
T21,35,0.28236836806604493,0.018040024356109987,0.0,0.0,0.9454651162790697,0.9736558495988503,0.0,0.47273255813953485,-0.03790349824031095,0.9218820861678003,0.1140506826929826,0.3817272599097232,0.0,0.0,0.0,0.9210084033613445,33,595,14
T21,36,0.4378286270691331,0.015241789664486579,0.08356545961002786,0.23076923076923075,0.9621403912543153,0.9881810660678406,0.12269938650306748,0.596454811011773,0.11764605879509929,0.951360544217687,0.10545448330937605,0.35031864430621196,0.08,0.25,0.12121212121212122,0.9515050167224081,25,598,8
T21,37,0.4780302941601194,0.018483872399381568,0.08522727272727271,0.2857142857142857,0.9630522088353412,0.9911431270666036,0.13129102844638948,0.6243832472748134,0.13783467141497638,0.9549886621315191,0.10063999929677368,0.33083974402246774,0.08333333333333333,0.2857142857142857,0.12903225806451613,0.9565916398713826,24,622,7
T21,38,0.39937139513499914,0.028977030923381424,0.07653061224489796,0.10909090909090909,0.9576360444704504,0.9709302325581395,0.08995502248875561,0.5333634767806797,0.05627537282999858,0.9311791383219955,0.10229032171144013,0.35513818382236106,0.08,0.11764705882352941,0.09523809523809523,0.9364548494983278,25,598,17
T21,39,0.36311104032843305,0.020878768743255532,0.05033557046979864,0.15384615384615388,0.9343768115942028,0.9799367704280155,0.07585335018963336,0.5441114827201784,0.05167896752864308,0.9171201814058956,0.11436724545713692,0.38027405767001976,0.05,0.16666666666666666,0.07692307692307693,0.9222042139384117,40,617,12
T21,40,0.507484929890843,0.021577558820857465,0.033259423503325926,0.13043478260869565,0.9499138426191842,0.9880511411160234,0.05300353356890458,0.5401743126139399,0.04137963955853833,0.9392290249433107,0.09788467885593147,0.32354240801884837,0.03225806451612903,0.14285714285714285,0.05263157894736842,0.9421221864951769,31,622,7
T21,41,0.5362795432415707,0.019051774474777558,0.05999999999999998,0.11538461538461539,0.972957422324511,0.9865810968494749,0.07894736842105261,0.5441710188545632,0.06414880368650228,0.9603174603174603,0.0958382455862079,0.31698361833051497,0.058823529411764705,0.125,0.08,0.9613445378151261,17,595,8
