target,model,feature_set,nested_precision_w_mean,nested_recall_w_mean,nested_f1_w_mean,nested_f1_w_sd,nested_pr_auc_w_mean,nested_roc_auc_w_mean,stability100_precision_w_mean,stability100_precision_w_sd,stability100_recall_w_mean,stability100_recall_w_sd,stability100_f1_w_mean,stability100_f1_w_sd,stability100_pr_auc_w_mean,stability100_roc_auc_w_mean,bootstrap_f1_w_mean,bootstrap_precision_w_mean,bootstrap_recall_w_mean,bootstrap_roc_auc_w_mean,bootstrap_f1_w_q025,bootstrap_precision_w_q025,bootstrap_recall_w_q025,bootstrap_roc_auc_w_q025,bootstrap_f1_w_q975,bootstrap_precision_w_q975,bootstrap_recall_w_q975,bootstrap_roc_auc_w_q975,decision
T21,elastic,engineered,0.0274003959660746,0.2857142857142856,0.0487145852553805,0.0120050797566472,0.1115088889414338,0.4421881954485258,0.02011204430444,0.0117217108418946,0.3035714285714285,0.1835368647154849,0.0362163242524331,0.0161355968208744,0.0658022508489947,0.4100487804878067,0.0937074812323961,0.0706028616195953,0.1500853369914918,0.4200933490801635,0.0,0.0,0.0,0.2508588260907159,0.2154804835015167,0.1655821917808218,0.3974999999999998,0.6092494676214294,均不晋级；弹性网仅保留复检排序分数
T21,lda,engineered,0.0230650081180579,0.4523809523809523,0.0438787743884808,0.0002811122737126,0.1894538890705283,0.4570307074952854,0.0269515215902826,0.028997519049796,0.4042857142857141,0.2174550509679209,0.0453998528260215,0.026889242913496,0.1296330126043593,0.4197190269448874,0.0502988174563354,0.0266973647838642,0.4730169665027175,0.4091689455082122,0.0159535897372396,0.0083344331758821,0.1809375,0.209130047253435,0.0919560380233635,0.0501164858761361,0.7804878048780489,0.6182153102521701,均不晋级；弹性网仅保留复检排序分数
T21,lightgbm,engineered,0.0177935943060498,0.0238095238095238,0.020366598778004,0.0352759838608732,0.0222873535803112,0.4438516973443164,,,,,,,,,,,,,,,,,,,,,均不晋级；弹性网仅保留复检排序分数
