target,previous_roc_auc_mean,previous_roc_auc_sd,previous_pr_auc_mean,previous_pr_auc_sd,previous_recall_mean,previous_recall_sd,model,feature_set,new_grouped_nested_roc_auc_w_mean,new_grouped_nested_pr_auc_w_mean,new_grouped_nested_precision_w_mean,new_grouped_nested_recall_w_mean,new_grouped_nested_f1_w_mean,comparison_note
ANY,,,,,,,elastic,engineered,0.7567502285545097,0.3794526865404116,0.4194910394965752,0.4542160737812914,0.4282713183047462,旧版指标与新版孕妇均衡指标口径不完全相同，只作趨势核对
T13,0.7484515588707896,0.06550684701020247,0.14453151249390692,0.054437464306396385,0.2605405405405405,0.1028276547671218,extra_trees,longitudinal,0.8096794782948633,0.1669533108133699,0.1815708125910322,0.3909909909909909,0.2464076801695582,旧版指标与新版孕妇均衡指标口径不完全相同，只作趨势核对
T18,0.8227303872285114,0.011256851081214913,0.40768884589969356,0.061513798434736436,0.433092485549133,0.0449338930580634,elastic,engineered,0.7961063071370056,0.4255823220723842,0.4157412543433583,0.4446050096339114,0.4270990794080099,旧版指标与新版孕妇均衡指标口径不完全相同，只作趨势核对
T21,0.4075999141429699,0.07818702516709179,0.028098543856213735,0.016494688167184017,0.00833333333333333,0.025938638839442973,lda,engineered,0.4570307074952854,0.1894538890705283,0.0230650081180579,0.4523809523809523,0.0438787743884808,旧版指标与新版孕妇均衡指标口径不完全相同，只作趨势核对
