target,paired_seeds,delta_precision_w_mean,delta_precision_w_sd,delta_precision_w_q025,delta_precision_w_q975,challenger_win_rate_precision_w,delta_recall_w_mean,delta_recall_w_sd,delta_recall_w_q025,delta_recall_w_q975,challenger_win_rate_recall_w,delta_f1_w_mean,delta_f1_w_sd,delta_f1_w_q025,delta_f1_w_q975,challenger_win_rate_f1_w,delta_pr_auc_w_mean,delta_pr_auc_w_sd,delta_pr_auc_w_q025,delta_pr_auc_w_q975,challenger_win_rate_pr_auc_w,delta_roc_auc_w_mean,delta_roc_auc_w_sd,delta_roc_auc_w_q025,delta_roc_auc_w_q975,challenger_win_rate_roc_auc_w,delta_specificity_w_mean,delta_specificity_w_sd,delta_specificity_w_q025,delta_specificity_w_q975,challenger_win_rate_specificity_w,delta_accuracy_w_mean,delta_accuracy_w_sd,delta_accuracy_w_q025,delta_accuracy_w_q975,challenger_win_rate_accuracy_w
ANY,100,0.021192212223625,0.0582851978882722,-0.0931667762044395,0.144525861361447,0.62,0.0078162055335968,0.0678687293438072,-0.1384881422924902,0.1457509881422926,0.61,0.0158348971617681,0.0379058709202788,-0.0629111471012268,0.0852601416969435,0.69,0.0566729786875244,0.0310092874794256,0.0027316231822115,0.1112450660208569,0.97,0.040152071391352,0.0113286618099195,0.018804318055504,0.0612977856724863,1.0,0.0077546228532396,0.0353137217953007,-0.0514499780444967,0.0881147540983607,0.55,0.0077616888025051,0.02638244691462,-0.0368788467768059,0.0689548914804016,0.58
T13,100,0.0171712739985084,0.0746733290908538,-0.1212296136386316,0.1362344621327212,0.57,0.0274864864864864,0.1623890736570173,-0.3005405405405404,0.2962837837837835,0.56,0.0226110041669839,0.0924493876802463,-0.189896159730804,0.1710430938022536,0.58,-0.0013064570594161,0.0383210791405544,-0.0754713144663008,0.0680159141722739,0.51,-0.0128932361609283,0.0229055757571412,-0.056942071805533,0.0345461624134698,0.29,0.003770921386306,0.0277645069309443,-0.0427451394759091,0.0647193575655115,0.55,0.0047657920310981,0.0241509896984054,-0.0342035147392289,0.0598189990281826,0.55
T18,100,0.0239291557931543,0.0711617788780711,-0.1046797414674548,0.1610557579009545,0.6,-0.0289017341040462,0.0735127180583419,-0.1800216763005781,0.1129335260115606,0.33,0.0001352273313466,0.0436726709599599,-0.088880672636092,0.0766057179294996,0.53,0.024760746763838,0.0258454315594378,-0.0194451369497711,0.0794892302947026,0.82,0.0212616551430889,0.0091365766047997,0.0051202303960333,0.0396620361969969,1.0,0.0084517365016873,0.019858103971708,-0.0230354506467942,0.0474712633577056,0.62,0.0055210560414642,0.0153897878240537,-0.0207563977972141,0.033884029802397,0.59
T21,100,0.0156548512061114,0.0559946345439941,-0.0130624154273562,0.1858386938648583,0.73,-0.058095238095238,0.121373149411672,-0.3095238095238094,0.226785714285714,0.23,0.012744212216881,0.0375955296835503,-0.0230924735598532,0.1103413407150659,0.71,0.0147393634325608,0.026395301760098,0.0003959884619067,0.0876119929501369,1.0,0.0455488120916195,0.0144665942569352,0.0195846007779808,0.0742934769726703,0.99,0.1159388308168795,0.1516185995503541,-0.2026866600298658,0.4629965156794423,0.81,0.1117951625094482,0.1454612990948356,-0.1924894719792678,0.4446031746031746,0.8
