target,source,track,feature_set,model,n_features,seeds,precision_w_mean,recall_w_mean,specificity_w_mean,f1_w_mean,f1_w_sd,pr_auc_w_mean,roc_auc_w_mean,accuracy_w_mean,precision_raw_mean,recall_raw_mean,f1_raw_mean,chrono_precision_w,chrono_recall_w,chrono_f1_w,chrono_pr_auc_w,chrono_roc_auc_w,chrono_precision_raw,chrono_recall_raw,chrono_f1_raw,locked
ANY,core_challenger_100seed,record,core,elastic,29,100,0.3979633889400948,0.4846541501976286,0.9015138319672128,0.4320271811732018,0.0384716207177684,0.4557522883515826,0.7900334398372919,0.8536836734693878,0.3881618867190884,0.4755223880597015,0.4225891444132324,0.3392405063291139,0.575107296137339,0.4267515923566879,0.4529078719994428,0.8113286096556939,0.25,0.4615384615384615,0.3243243243243243,True
ANY,nested_finalist_3seed_reference,record,engineered,elastic,64,3,0.4194910394965752,0.4542160737812914,0.9137839903721048,0.4282713183047462,0.0304587981928666,0.3794526865404116,0.7567502285545097,0.8610535219378758,0.3975288992001295,0.427860696517413,0.4046760358012626,,,,,,,,,False
ANY,incumbent_100seed,record,engineered,elastic,64,100,0.3767711767164698,0.4768379446640318,0.8937592091139729,0.4161922840114339,0.0418213395025369,0.3990793096640582,0.7498813684459401,0.8459219846668827,0.3688717733356417,0.4673134328358208,0.4076371525718948,0.2997987927565392,0.6394849785407726,0.4082191780821918,0.4856045551448537,0.8047552662067154,0.2258064516129032,0.5384615384615384,0.3181818181818182,False
ANY,nested_finalist_3seed_reference,record,engineered,lda,64,3,0.3593122086075881,0.3945981554677208,0.9094518442622944,0.375678355324265,0.0814758616181728,0.3759642799745726,0.7534061704992858,0.8503779289493577,0.3508341933264534,0.3781094527363184,0.3637600875010947,,,,,,,,,False
ANY,nested_finalist_3seed_reference,record,engineered,lightgbm,64,3,0.2622727272305359,0.4795783926218711,0.8255025370804053,0.3387917452181267,0.0454273500648281,0.3588905681707328,0.7485043194905993,0.7858114674441206,0.2635334609630815,0.4875621890547263,0.34185280809466,,,,,,,,,False
ANY,official_QC_QI_logistic_20seed,record,official_QC_QI,logistic,9,20,0.2873955664385322,0.0752964426877469,0.9747237265807962,0.1177892654733946,0.0532840086184017,0.176764918287715,0.5342413460531586,0.8715241334629085,0.2349852104598938,0.0589552238805969,,,,,,,,,,False
T13,core_challenger_100seed,record,core,extra_trees,29,100,0.2340988887515357,0.4437297297297295,0.9357022823330514,0.3016476889439732,0.0742358674647224,0.2218611321788314,0.8289027339258113,0.9150639779721412,0.2059801951582102,0.4004347826086956,0.2677153745547175,0.3837209302325581,0.8684210526315789,0.532258064516129,0.6713664878476157,0.9317443965786352,0.2857142857142857,0.8,0.4210526315789473,True
T13,incumbent_100seed,record,longitudinal,extra_trees,157,100,0.2169276147530273,0.4162432432432431,0.9319313609467452,0.2790366847769893,0.0667716317215305,0.2231675892382476,0.8417959700867397,0.910298185941043,0.2113253272329107,0.4173913043478261,0.2743725806528417,0.3095238095238095,0.3421052631578947,0.325,0.3660589360818853,0.8920209777111818,0.3333333333333333,0.6,0.4285714285714285,False
T13,nested_finalist_3seed_reference,record,longitudinal,extra_trees,157,3,0.1815708125910322,0.3909909909909909,0.9174189912651448,0.2464076801695582,0.0726321168708201,0.1669533108133699,0.8096794782948633,0.8953352769679301,0.1930272108843537,0.4492753623188406,0.2684265436674629,,,,,,,,,False
T13,nested_finalist_3seed_reference,record,engineered,lightgbm,64,3,0.1411095649950578,0.5603603603603603,0.8419216680755136,0.2227997473259355,0.0351734071584361,0.1807144189987203,0.7867038145499688,0.8301101392938129,0.1190518163880074,0.4927536231884057,0.1890894847416586,,,,,,,,,False
T13,nested_finalist_3seed_reference,record,longitudinal,elastic,157,3,0.1595291909522837,0.1981981981981981,0.950431107354184,0.1744203824120466,0.0382623461332085,0.1671011908896077,0.7187857358626593,0.9188748515279128,0.182652029466994,0.2318840579710145,0.2014001911700121,,,,,,,,,False
T13,official_QC_QI_logistic_20seed,record,official_QC_QI,logistic,9,20,0.2534112054109897,0.0721621621621621,0.988894336432798,0.1071436995153423,0.0403171698210026,0.1222039836105529,0.4125885456885468,0.9504373177842564,0.2606937506937506,0.0804347826086956,,,,,,,,,,False
T18,incumbent_100seed,record,engineered,elastic,64,100,0.4236621416842526,0.5248988439306359,0.9370451349831268,0.4647668685872054,0.0361961196653507,0.4771179158648644,0.8247251568490719,0.904708940719145,0.3948686354486845,0.4739130434782608,0.4264087310698025,0.36,0.3121387283236994,0.3343653250773994,0.3582514812286602,0.8178284796657562,0.3636363636363636,0.4444444444444444,0.4,True
T18,core_challenger_100seed,record,core,elastic,29,100,0.4475912974774068,0.4959971098265897,0.9454968714848142,0.4649020959185519,0.0408587631724908,0.5018786626287026,0.8459868119921607,0.910229996760609,0.4140119354547616,0.4456521739130435,0.4231923698432133,0.2222222222222222,0.1387283236994219,0.1708185053380783,0.3132490792875572,0.7987394793779824,0.25,0.2222222222222222,0.2352941176470588,False
T18,nested_finalist_3seed_reference,record,engineered,elastic,64,3,0.4157412543433583,0.4446050096339114,0.944448350206224,0.4270990794080099,0.0629042187870529,0.4255823220723842,0.7961063071370056,0.9052316164561064,0.4161375661375661,0.4347826086956521,0.4227847624074039,,,,,,,,,False
T18,nested_finalist_3seed_reference,record,longitudinal,elastic,157,3,0.3255763722174097,0.4489402697495183,0.9175454630671162,0.3657421654690351,0.038699162882743,0.3423026124511505,0.7771810936476152,0.8807796134326749,0.3266137566137566,0.4420289855072464,0.3632383876286315,,,,,,,,,False
T18,nested_finalist_3seed_reference,record,longitudinal,lightgbm,157,3,0.3085048947425401,0.3872832369942197,0.9250738188976374,0.341904827260396,0.0047140750609891,0.3313027804341253,0.7461992704759454,0.8828798185941045,0.3162931839402427,0.3985507246376811,0.3514446111235234,,,,,,,,,False
T18,official_QC_QI_logistic_20seed,record,official_QC_QI,logistic,9,20,0.2396200255206503,0.0390173410404623,0.990922033183352,0.0660996056501071,0.0636654415316574,0.1597242954485406,0.5729830492365756,0.916237447359896,0.2039520202020202,0.0293478260869565,,,,,,,,,,False
T21,core_challenger_100seed,record,core,lda,29,100,0.0426063727963939,0.3461904761904761,0.6859282119351804,0.0581440650429025,0.0468755463654236,0.1443723760369201,0.4652678390365068,0.6778392182269732,0.0375499048332355,0.3392307692307693,0.0519506625671977,1.0,0.2307692307692307,0.375,0.4576200191099085,0.7847040567501665,1.0,0.25,0.4,True
T21,nested_finalist_3seed_reference,record,engineered,elastic,64,3,0.0274003959660746,0.2857142857142856,0.7317239090758251,0.0487145852553805,0.0120050797566472,0.1115088889414338,0.4421881954485258,0.7211046323291223,0.0245971640474298,0.2820512820512821,0.0441890166028097,,,,,,,,,False
T21,incumbent_100seed,record,engineered,lda,64,100,0.0269515215902826,0.4042857142857141,0.5699893811183009,0.0453998528260215,0.026889242913496,0.1296330126043593,0.4197190269448874,0.5660440557175251,0.0238261194876617,0.396923076923077,0.0403271436277173,0.0422195416164053,0.5384615384615385,0.0782997762863535,0.271943963143544,0.5405009975615165,0.0363636363636363,0.5,0.0677966101694915,False
T21,nested_finalist_3seed_reference,record,engineered,lda,64,3,0.0230650081180579,0.4523809523809523,0.532481610530391,0.0438787743884808,0.0002811122737126,0.1894538890705283,0.4570307074952854,0.5305744520030236,0.0200319098745206,0.4358974358974359,0.0382903176006624,,,,,,,,,False
