target,track,feature_set,model,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,threshold,train_women,test_women,train_date_max,test_date_min,tuning_objective,params,inner_precision,inner_recall,inner_f1
ANY,record,core,elastic,0.8113286096556939,0.4529078719994428,0.3392405063291139,0.575107296137339,0.8334396936821953,0.9295373665480428,0.4267515923566879,0.7042734949097671,0.331373491537962,0.8,0.1781217421440029,0.5388007574612538,0.25,0.4615384615384615,0.3243243243243243,0.7767857142857143,24,112,13,0.6005717359903193,117,30,2023-11-27,2023-12-01,0.4676247742649236,"{""C"": 0.1518490620869737, ""l1_ratio"": 0.11311340930530578}",0.3246667401123722,0.5404364569961494,0.4056434962147285
T13,record,core,extra_trees,0.9317443965786352,0.6713664878476157,0.3837209302325581,0.8684210526315789,0.905693950177936,0.990272373540856,0.532258064516129,0.8870575014047575,0.5380648914408882,0.9033333333333334,0.0499081306157246,0.1968975539897035,0.2857142857142857,0.8,0.4210526315789473,0.9017857142857144,14,112,5,0.3173271709716992,117,30,2023-11-27,2023-12-01,0.2557614956874451,"{""max_depth"": 12, ""max_features"": 0.8582057298161343, ""min_samples_leaf"": 2, ""min_samples_split"": 22, ""n_estimators"": 250}",0.1510512725931391,0.4570312499999998,0.2270584973662324
T21,record,core,lda,0.7847040567501665,0.4576200191099085,1.0,0.2307692307692307,1.0,0.9719887955182072,0.375,0.6153846153846154,0.4736086007010927,0.9722222222222222,0.0268572434241947,0.1502955735397906,1.0,0.25,0.4,0.9732142857142856,1,112,4,0.8773190945371411,117,30,2023-11-27,2023-12-01,0.0563752648713777,"{""shrinkage"": 0.0050324415543175965}",0.4255319148936169,0.1379310344827586,0.2083333333333333
T18,record,engineered,elastic,0.8178284796657562,0.3582514812286602,0.36,0.3121387283236994,0.9409956976029502,0.927878787878788,0.3343653250773994,0.6265672129633248,0.2699482018946535,0.8805555555555556,0.1487082659135929,0.4621979232383388,0.3636363636363636,0.4444444444444444,0.4,0.8928571428571429,11,112,9,0.6320354107980715,117,30,2023-11-27,2023-12-01,0.4795603119266134,"{""C"": 0.05789037676857669, ""l1_ratio"": 0.5381173546626065}",0.3847780126849894,0.4508670520231213,0.4152091254752851
