target,track,feature_set,model,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,threshold,train_women,test_women,train_date_max,test_date_min,tuning_objective,params,inner_precision,inner_recall,inner_f1
ANY,record,core,elastic,0.8113286096556939,0.4529078719994428,0.33924050632911396,0.575107296137339,0.8334396936821953,0.9295373665480428,0.4267515923566879,0.7042734949097671,0.331373491537962,0.8,0.17812174214400298,0.5388007574612538,0.25,0.46153846153846156,0.32432432432432434,0.7767857142857143,24,112,13,0.6005717359903193,117,30,2023-11-27,2023-12-01,0.4676247742649236,"{""C"": 0.1518490620869737, ""l1_ratio"": 0.11311340930530578}",0.32466674011237223,0.5404364569961494,0.4056434962147285
T13,record,core,extra_trees,0.9317443965786353,0.6713664878476157,0.3837209302325581,0.8684210526315789,0.905693950177936,0.990272373540856,0.532258064516129,0.8870575014047575,0.5380648914408882,0.9033333333333334,0.04990813061572462,0.19689755398970354,0.2857142857142857,0.8,0.42105263157894735,0.9017857142857143,14,112,5,0.31732717097169927,117,30,2023-11-27,2023-12-01,0.25576149568744516,"{""max_depth"": 12, ""max_features"": 0.8582057298161343, ""min_samples_leaf"": 2, ""min_samples_split"": 22, ""n_estimators"": 250}",0.15105127259313914,0.45703124999999983,0.2270584973662324
T18,record,core,elastic,0.7987394793779824,0.3132490792875572,0.2222222222222222,0.13872832369942198,0.9483712354025814,0.9119385342789598,0.1708185053380783,0.5435497795510017,0.10809876382292409,0.8705555555555556,0.18202550478108456,0.5506168177386136,0.25,0.2222222222222222,0.23529411764705882,0.8839285714285714,8,112,9,0.5573397661405763,117,30,2023-11-27,2023-12-01,0.5237308862292049,"{""C"": 0.007565697610972652, ""l1_ratio"": 0.1420143166028887}",0.4783974862529458,0.5028901734104047,0.49033816425120774
T21,record,core,lda,0.7847040567501665,0.45762001910990857,1.0,0.23076923076923078,1.0,0.9719887955182073,0.375,0.6153846153846154,0.47360860070109273,0.9722222222222222,0.026857243424194766,0.15029557353979064,1.0,0.25,0.4,0.9732142857142857,1,112,4,0.8773190945371411,117,30,2023-11-27,2023-12-01,0.05637526487137772,"{""shrinkage"": 0.0050324415543175965}",0.42553191489361697,0.13793103448275862,0.2083333333333333
