target,paired_seeds,delta_precision_w_mean,delta_precision_w_sd,delta_precision_w_q025,delta_precision_w_q975,challenger_win_rate_precision_w,delta_recall_w_mean,delta_recall_w_sd,delta_recall_w_q025,delta_recall_w_q975,challenger_win_rate_recall_w,delta_f1_w_mean,delta_f1_w_sd,delta_f1_w_q025,delta_f1_w_q975,challenger_win_rate_f1_w,delta_pr_auc_w_mean,delta_pr_auc_w_sd,delta_pr_auc_w_q025,delta_pr_auc_w_q975,challenger_win_rate_pr_auc_w,delta_roc_auc_w_mean,delta_roc_auc_w_sd,delta_roc_auc_w_q025,delta_roc_auc_w_q975,challenger_win_rate_roc_auc_w,delta_specificity_w_mean,delta_specificity_w_sd,delta_specificity_w_q025,delta_specificity_w_q975,challenger_win_rate_specificity_w,delta_accuracy_w_mean,delta_accuracy_w_sd,delta_accuracy_w_q025,delta_accuracy_w_q975,challenger_win_rate_accuracy_w
ANY,100,0.021192212223625058,0.058285197888272244,-0.09316677620443956,0.14452586136144707,0.62,0.007816205533596868,0.06786872934380722,-0.1384881422924902,0.14575098814229262,0.61,0.015834897161768103,0.037905870920278806,-0.06291114710122689,0.08526014169694358,0.69,0.05667297868752445,0.031009287479425607,0.0027316231822115725,0.11124506602085692,0.97,0.04015207139135207,0.011328661809919593,0.018804318055504074,0.06129778567248632,1.0,0.007754622853239659,0.03531372179530071,-0.051449978044496705,0.08811475409836071,0.55,0.007761688802505126,0.026382446914620047,-0.03687884677680598,0.06895489148040161,0.58
T13,100,0.01717127399850848,0.07467332909085381,-0.12122961363863165,0.1362344621327212,0.57,0.02748648648648648,0.16238907365701735,-0.3005405405405404,0.2962837837837835,0.56,0.02261100416698397,0.0924493876802463,-0.189896159730804,0.17104309380225363,0.58,-0.001306457059416166,0.03832107914055446,-0.07547131446630088,0.06801591417227397,0.51,-0.01289323616092835,0.022905575757141264,-0.056942071805533054,0.03454616241346981,0.29,0.003770921386306011,0.02776450693094431,-0.042745139475909126,0.06471935756551152,0.55,0.004765792031098167,0.024150989698405415,-0.03420351473922896,0.05981899902818262,0.55
T18,100,0.023929155793154376,0.07116177887807111,-0.10467974146745485,0.16105575790095458,0.6,-0.028901734104046256,0.07351271805834193,-0.18002167630057814,0.11293352601156068,0.33,0.00013522733134669728,0.04367267095995994,-0.08888067263609209,0.0766057179294996,0.53,0.02476074676383802,0.02584543155943788,-0.019445136949771104,0.07948923029470265,0.82,0.021261655143088934,0.00913657660479977,0.005120230396033309,0.03966203619699692,1.0,0.008451736501687339,0.019858103971708094,-0.02303545064679425,0.047471263357705636,0.62,0.005521056041464205,0.015389787824053765,-0.02075639779721412,0.03388402980239701,0.59
T21,100,0.015654851206111417,0.055994634543994164,-0.013062415427356207,0.18583869386485832,0.73,-0.05809523809523807,0.12137314941167203,-0.3095238095238094,0.22678571428571404,0.23,0.01274421221688103,0.037595529683550316,-0.023092473559853267,0.1103413407150659,0.71,0.01473936343256085,0.02639530176009808,0.0003959884619067863,0.08761199295013691,1.0,0.04554881209161952,0.01446659425693525,0.019584600777980857,0.07429347697267034,0.99,0.1159388308168795,0.15161859955035412,-0.2026866600298658,0.4629965156794423,0.81,0.11179516250944825,0.1454612990948356,-0.19248947197926786,0.44460317460317467,0.8
