target,metric,replicates,mean,sd,q025,median,q975
ANY,roc_auc_w,500,0.8053402611184904,0.034536500374054216,0.7361226787817698,0.8079157358728943,0.8695728222083594
ANY,pr_auc_w,500,0.4906098758052176,0.07363929834869261,0.3438810188090133,0.49542578664520265,0.6297247695737028
ANY,precision_w,500,0.4396812045429713,0.07148138257495132,0.30073842838520726,0.4379872080609276,0.5834366772932429
ANY,recall_w,500,0.5386395393657547,0.07211696949080044,0.3992062634989204,0.5401656593631479,0.6799730615068462
ANY,specificity_w,500,0.9110394075084781,0.015012813934425107,0.8787388905729688,0.9114993043137036,0.9392074198071731
ANY,f1_w,500,0.48173772649314744,0.0647489474544776,0.3485486327271161,0.4834047559693259,0.6045764158611618
ANY,balanced_accuracy_w,500,0.7248394734371163,0.03620914311942023,0.65454199560251,0.7276835060834104,0.7937613365535202
ANY,mcc_w,500,0.411697252107642,0.06764581073752654,0.2819569018530793,0.414313923861962,0.5373720067609489
ANY,accuracy_w,500,0.8685669258179461,0.015643507344940626,0.8367772108843538,0.869080012957564,0.8985394395853581
T13,roc_auc_w,500,0.8333991618114187,0.05818580451031884,0.7100189947237676,0.8382557741503897,0.9344574500514963
T13,pr_auc_w,500,0.25664910472962643,0.09030952718650713,0.10253852825346113,0.24986921730276498,0.4489180132159952
T13,precision_w,500,0.30347912176973363,0.09535959651397974,0.117835532189267,0.3001652712316327,0.48470555433120294
T13,recall_w,500,0.5664738173072194,0.1409795933749733,0.2771176470588235,0.5749176839061998,0.8340798614627428
T13,specificity_w,500,0.9426930472090489,0.011667228372654083,0.9156359315632837,0.9431091728702021,0.9649664549330949
T13,f1_w,500,0.39012228400047183,0.1068811793305658,0.17823837145284735,0.3906969457957572,0.5753998668756387
T13,balanced_accuracy_w,500,0.7545834322581343,0.07071023398472993,0.6115663092089887,0.7598929308799357,0.8840672738007357
T13,mcc_w,500,0.37763962309034993,0.10942928119461046,0.1548357584678744,0.3830160525611799,0.5618116852779268
T13,accuracy_w,500,0.9270092970521542,0.01284899498207873,0.9004624230644639,0.9271218011013931,0.9504903628117913
T18,roc_auc_w,500,0.8533822279041331,0.03678193648371312,0.7769270746384548,0.854738688458739,0.9204859832986877
T18,pr_auc_w,500,0.5354786126013388,0.10253740737142797,0.327266051417996,0.538291955774698,0.7126853780344339
T18,precision_w,500,0.4883591884762824,0.10293688392834735,0.27057145017659046,0.4937876544733002,0.6771531990458791
T18,recall_w,500,0.43776169991375735,0.0892895244369717,0.25782206119162643,0.441847024102312,0.6016315312158136
T18,specificity_w,500,0.9612585954643896,0.008822300103820757,0.9420768321753118,0.9614309759862615,0.9789325717198025
T18,f1_w,500,0.4586169251010497,0.08817266761209205,0.2699010482863576,0.4609322437095349,0.6150209761446355
T18,balanced_accuracy_w,500,0.6995101476890734,0.0449440711404445,0.609589023979495,0.7010005220487896,0.7800580692337716
T18,mcc_w,500,0.4184668871445101,0.09056050351059056,0.2321469777652407,0.4205486575617343,0.5822209979139831
T18,accuracy_w,500,0.9206478458049887,0.01176374711111612,0.8961317622287008,0.9210803368966634,0.9425745059928735
T21,roc_auc_w,500,0.4501028464177627,0.10561932343197822,0.2399044904525249,0.4507462194442666,0.6741908810913493
T21,pr_auc_w,500,0.19538652088395742,0.1130121011514238,0.012654170635467128,0.19385900539245676,0.40886236854577396
T21,precision_w,500,0.15037999526611998,0.09532226605749496,0.0,0.1521739130434782,0.3458899456521738
T21,recall_w,500,0.17316451879608558,0.11281847305655768,0.0,0.17165178571428574,0.3909722222222221
T21,specificity_w,500,0.9773286806773476,0.0060607122112538055,0.9652057669765406,0.9773716255977203,0.9879101899827288
T21,f1_w,500,0.15604245851622545,0.0953165795860468,0.0,0.15819713993871298,0.33529962546816466
T21,balanced_accuracy_w,500,0.5752465997367165,0.055729973180267664,0.4879200911202429,0.5728803716608595,0.6813928851060898
T21,mcc_w,500,0.13794724233250952,0.09728569480464336,-0.02278155833712428,0.139748295261917,0.31792062149585004
T21,accuracy_w,500,0.9582766439909296,0.008150291301138273,0.9427437641723356,0.9580498866213153,0.9744897959183673
