target,seed,precision_w_challenger,recall_w_challenger,f1_w_challenger,pr_auc_w_challenger,roc_auc_w_challenger,specificity_w_challenger,accuracy_w_challenger,precision_w_incumbent,recall_w_incumbent,f1_w_incumbent,pr_auc_w_incumbent,roc_auc_w_incumbent,specificity_w_incumbent,accuracy_w_incumbent,delta_precision_w,delta_recall_w,delta_f1_w,delta_pr_auc_w,delta_roc_auc_w,delta_specificity_w,delta_accuracy_w
ANY,20260824,0.39458160367052714,0.5098814229249014,0.44488237467668473,0.5153381582904191,0.8164826410744757,0.898602166276346,0.854000647878199,0.3819665183301553,0.5088932806324113,0.4363878465076873,0.4617121210392802,0.7796493128997697,0.8932779566744725,0.8491739552964044,0.012615085340371812,0.0009881422924900019,0.008494528168997428,0.05362603725113885,0.03683332817470597,0.00532420960187352,0.004826692581794578
ANY,20268743,0.3838308224946204,0.5790513833992098,0.4616510044454455,0.527385874342664,0.8027745773396835,0.8795191744730674,0.8450437317784257,0.3416465540359353,0.5395256916996051,0.4183679054238964,0.4794866776641779,0.7626402278821205,0.8652480971896949,0.8278749595076127,0.042184268458685115,0.03952569169960474,0.04328309902154909,0.04789919667848613,0.040134349457563,0.014271077283372513,0.017168772270813037
ANY,20276662,0.3675582398619504,0.42094861660079075,0.39244587747581794,0.4120603287680514,0.7646436012868992,0.9061219262295076,0.8504535147392291,0.3783515392254222,0.3764822134387353,0.3774145616641904,0.3523972493639264,0.7427413895278518,0.9198258196721306,0.8574829931972789,-0.010793299363471787,0.04446640316205547,0.015031315811627532,0.05966307940412496,0.021902211759047385,-0.013703893442623016,-0.007029478458049798
ANY,20284581,0.39318290926548244,0.3468379446640318,0.36855921398034963,0.41576587132424825,0.7769599806710575,0.930620608899297,0.8636378360868158,0.2588793524527254,0.5237154150197632,0.3464861078683172,0.3672589809418713,0.7420653381610374,0.8056754976580789,0.7733236151603501,0.13430355681275702,-0.17687747035573137,0.022073106112032448,0.04850689038237693,0.03489464251002017,0.1249451112412181,0.09031422092646568
ANY,20292500,0.41337467978967257,0.4328063241106721,0.4228673884559688,0.49395657727298986,0.7745030638871406,0.92039300351288,0.8644476838354391,0.3441899558730831,0.4624505928853756,0.3946512468377308,0.3387121197884172,0.7117011275023682,0.8857947892271657,0.8372206025267251,0.06918472391658947,-0.029644268774703497,0.02821614161823799,0.15524445748457266,0.06280193638477238,0.0345982142857143,0.027227081308713985
ANY,20300419,0.5064729574223247,0.4970355731225299,0.5017098888572246,0.48228043562974926,0.8066953329657691,0.9372255562060886,0.8867184969225786,0.5508731082654248,0.3339920948616602,0.4158537657087618,0.4198402136828165,0.7801946388652332,0.9647065281030442,0.892338840298024,-0.04440015084310012,0.16304347826086968,0.08585612314846275,0.06244022194693277,0.026500694100535904,-0.02748097189695564,-0.005620343375445369
ANY,20308338,0.34587378640776767,0.563241106719368,0.42857142857142916,0.47737368608613745,0.8058507162199585,0.8619364754098353,0.8276643990929706,0.3349791112799095,0.622529644268775,0.4355770655341011,0.4518531417763791,0.7686481605009985,0.8398163056206083,0.8148850016196956,0.010894675127858189,-0.059288537549406994,-0.007005636962671924,0.025520544309758364,0.03720255571896003,0.02212016978922704,0.012779397473275056
ANY,20316257,0.32765646222965267,0.4426877470355734,0.37658360852596867,0.47063588233648646,0.7962874468131061,0.8822636124121774,0.8318270165208942,0.3538407658183522,0.4278656126482216,0.387348242811502,0.3921629154664348,0.7633604168498703,0.8987302400468379,0.844703595724004,-0.026184303588699553,0.014822134387351804,-0.010764634285533314,0.07847296687005167,0.03292702996323582,-0.016466627634660447,-0.012876579203109806
ANY,20324176,0.3775899023577047,0.447628458498024,0.4096369978039017,0.46279741891820203,0.7966792855368674,0.9043654859484772,0.8519598315516684,0.3711456505389825,0.4179841897233203,0.3931748771743463,0.3971382488509514,0.7480203104799394,0.9082076990632312,0.8519598315516684,0.006444251818722158,0.02964426877470372,0.016462120629555432,0.06565917006725064,0.048658975056927956,-0.0038422131147539673,0.0
ANY,20332095,0.46163757760337404,0.5563241106719371,0.50457717175597,0.5053641029208543,0.8227015350339255,0.9159104215456669,0.8746517654680921,0.336191156624594,0.5978260869565221,0.430364310756568,0.445264896203427,0.7841565610604058,0.8470067330210767,0.8184159378036929,0.12544642097878006,-0.04150197628458496,0.07421286099940205,0.0600992067174273,0.03854497397351975,0.06890368852459028,0.05623582766439916
ANY,20340014,0.3589175502452921,0.3201581027667986,0.33843169439677695,0.43019426247798853,0.7683309651859189,0.9258818793911003,0.8563816002591514,0.3039135752140243,0.4209486166007907,0.3529829545454551,0.3629165780268714,0.7177671489163606,0.8750365925058542,0.8229348882410109,0.055003975031267804,-0.10079051383399207,-0.014551260148678136,0.06727768445111715,0.050563816269558304,0.050845286885246144,0.033446712018140534
ANY,20347933,0.37645948814718766,0.45059288537549436,0.4102036882349166,0.4322184447305618,0.7908700745715735,0.9032677107728332,0.8513281503077422,0.3084212583040256,0.4456521739130437,0.3645496535796772,0.3350512593962904,0.7349781978089623,0.8704808255269316,0.8217363135730484,0.06803822984316205,0.004940711462450675,0.04565403465523937,0.09716718533427143,0.0558918767626112,0.032786885245901565,0.02959183673469379
