target,track,feature_set,model,n_features,seeds,roc_auc_w_mean,roc_auc_w_sd,roc_auc_w_q025,roc_auc_w_q975,pr_auc_w_mean,pr_auc_w_sd,pr_auc_w_q025,pr_auc_w_q975,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,balanced_accuracy_w_mean,balanced_accuracy_w_sd,balanced_accuracy_w_q025,balanced_accuracy_w_q975,mcc_w_mean,mcc_w_sd,mcc_w_q025,mcc_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,f1_raw_mean,f1_raw_sd,f1_raw_q025,f1_raw_q975,accuracy_raw_mean,accuracy_raw_sd,accuracy_raw_q025,accuracy_raw_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,mean_threshold_mean,mean_threshold_sd,mean_threshold_q025,mean_threshold_q975,selection_score
ANY,record,core,elastic,29,100,0.7900334398372919,0.021204517956754685,0.7386274080544589,0.8223781498180597,0.45575228835158266,0.04068445966254739,0.36937060357115153,0.5146167972429345,0.39796338894009486,0.054098290824253874,0.30481568279983734,0.5031740832750617,0.48465415019762864,0.06890744849253906,0.33801877470355746,0.604570158102767,0.9015138319672127,0.02837490124300306,0.8323043215749408,0.9403116766686179,0.4320271811732018,0.038471620717768454,0.3582872350762226,0.4989889734297446,0.6930839910824205,0.027306359334726485,0.6351595928628123,0.7360963980752628,0.3550423749685258,0.043802167475095063,0.26361888033079905,0.4321446383250049,0.8536836734693878,0.020793158553253314,0.8057806932296729,0.8859438775510206,0.3881618867190884,0.052088664736521614,0.30787538699690403,0.49623015873015863,0.4755223880597015,0.06063717246226103,0.34328358208955223,0.5749999999999998,0.4225891444132324,0.03251226952682722,0.36162048969072164,0.48065943405659434,0.8557520661157025,0.020451029319491606,0.8095867768595041,0.8884710743801653,83.99,18.070286453879266,57.425,120.82499999999989,0.6640685905479146,0.04138377319417109,0.5778374363737001,0.7282347933691814,0.46798450482891796
T13,record,core,extra_trees,29,100,0.8289027339258113,0.01569982288381901,0.7978985858216632,0.8578806812729893,0.22186113217883144,0.03498939387185957,0.1598009887429961,0.28732942628840724,0.23409888875153573,0.05910186245491763,0.11800312238566071,0.37376471123513694,0.44372972972972957,0.13302828286672716,0.12378378378378374,0.6332432432432428,0.9357022823330514,0.019680285923094332,0.8980211327134399,0.9651834319526625,0.3016476889439732,0.07423586746472245,0.12072238140081613,0.4134482188140131,0.6897160060313904,0.06159571126648485,0.5414409197870735,0.779774199812661,0.27950013713659416,0.08157273769373831,0.08116162793301206,0.407909188546287,0.9150639779721413,0.016424990703143544,0.8827186588921284,0.94368237771299,0.20598019515821023,0.04908104584947268,0.11424165457184325,0.2962962962962963,0.40043478260869564,0.11762529746273302,0.13043478260869565,0.5880434782608692,0.2677153745547175,0.06246163918165373,0.12624223602484472,0.37763415589502547,0.9176528925619836,0.01585987086757948,0.8891735537190082,0.9422314049586776,45.24,12.631626173932627,23.95,68.04999999999998,0.2635774297170681,0.03841512265082718,0.199648474924466,0.34776332030805746,0.30527483529567573
T18,record,core,elastic,29,100,0.8459868119921607,0.011644767856247578,0.8196417971687789,0.8646096043082901,0.5018786626287026,0.04030326461233366,0.4135710947405861,0.5667096611233421,0.4475912974774068,0.06803197038356319,0.3451937326466608,0.5877405090380631,0.4959971098265897,0.06523757899838563,0.3598265895953757,0.6107297687861272,0.9454968714848142,0.016443460275033083,0.915370149043869,0.9769228065241843,0.46490209591855197,0.04085876317249083,0.3814882589052092,0.5366639582084886,0.7207469906557017,0.028468311188662842,0.6650000411459585,0.7664567782531517,0.42032678612538854,0.045227305802491354,0.3267572006783417,0.507603875633385,0.910229996760609,0.012765021850251817,0.8815196793002917,0.931086005830904,0.4140119354547616,0.06686937160065444,0.31406249999999997,0.553090909090909,0.4456521739130435,0.06815237441300105,0.30434782608695654,0.5652173913043478,0.42319236984321335,0.04243856235142238,0.338162859980139,0.4920648259303721,0.9076694214876032,0.012736300481161252,0.8834297520661157,0.9289256198347108,50.86,11.449511480028882,27.95,69.0,0.7377198200080299,0.038636967907468935,0.6595695918942643,0.8217521326511927,0.5048752713882996
T21,record,core,lda,29,100,0.4652678390365068,0.0891979982276257,0.302543073365624,0.5518153593222052,0.1443723760369201,0.08119314495970542,0.01744732192514245,0.21059875272945197,0.04260637279639399,0.07232977838099529,0.0,0.23638172043010675,0.34619047619047616,0.20283442390964088,0.0,0.7392857142857139,0.6859282119351804,0.20750442740963063,0.25479094076655096,0.9895470383275262,0.05814406504290253,0.0468755463654236,0.0,0.19366613900195961,0.5160593440628282,0.049339562002737515,0.42184668989547036,0.5947575493612077,0.021318308291819563,0.061517902754081,-0.05992511504914823,0.18094211622636405,0.6778392182269732,0.19830465055319219,0.26632653061224487,0.9708475056689344,0.037549904833235524,0.0645128316389091,0.0,0.20432692307692227,0.3392307692307693,0.20281180452751013,0.0,0.7326923076923071,0.05195066256719772,0.04294742233611633,0.0,0.17307692307692277,0.6783471074380166,0.19882486913199504,0.2611570247933884,0.9727685950413223,190.42,124.97120314761163,8.475,452.525,0.4555579235999052,0.21387625633049867,0.013860427975864842,0.7685295490535061,0.06086241605523864
