model,rho,groups,total_cost,cutpoints
hard,0.8,1,123.4601466146774,[]
hard,0.8,2,74.05310766814966,[32.18924892207405]
hard,0.8,3,47.15241657290687,"[31.198310055, 35.02941549]"
hard,0.8,4,37.173470070089394,"[31.0253201733632, 33.6163850333305, 36.09730783]"
hard,0.8,5,31.61680033667914,"[29.43062944343895, 31.0253201733632, 33.6163850333305, 36.09730783]"
hard,0.8,6,26.855002595860753,"[29.415395388195698, 30.90865332054825, 32.717708676800896, 34.258432214678805, 36.09730783]"
