model,rho,groups,total_cost,cutpoints
credible,0.9,1,231.1070669963406,[]
credible,0.9,2,125.12953514082473,[34.10245052764635]
credible,0.9,3,86.55552880590889,"[31.0253201733632, 34.50887419732065]"
credible,0.9,4,76.31043341793317,"[30.68221255328655, 32.642336522060546, 34.50887419732065]"
credible,0.9,5,70.68759317219354,"[29.525661425178548, 30.90865332054825, 32.741668448490245, 34.50887419732065]"
credible,0.9,6,67.06501293575175,"[29.26591345677795, 30.65373823440025, 32.18924892207405, 33.48942369335015, 34.50887419732065]"
