model,rho,selected_k,group,bmi_left,bmi_right,n,recommended_week,week_day,coverage,mean_attainment_probability,uncovered_n,out_of_window_n,cvar90_shortfall,raw_cutpoints,rounded_cutpoints
hard,0.9,4,1,20.703125,30.9542707710965,123,14.614062418772887,14周+4天,0.9024390243902439,0.9128256517447302,12,0,0.08722897609932695,"[30.7981037518733, 33.6163850333305, 36.09730783]","[31.0, 33.5, 36.0]"
hard,0.9,4,2,31.0963695756299,33.46222487,82,16.273962142085185,16周+2天,0.9024390243902439,0.9122952092822647,8,0,0.028482679868995418,"[30.7981037518733, 33.6163850333305, 36.09730783]","[31.0, 33.5, 36.0]"
hard,0.9,4,3,33.5166225167003,35.94414543,42,17.806810226238223,17周+6天,0.9047619047619048,0.9125194002094423,4,0,0.09677472810001433,"[30.7981037518733, 33.6163850333305, 36.09730783]","[31.0, 33.5, 36.0]"
hard,0.9,4,4,36.25047023,46.875,20,22.092664519537998,22周+1天,0.9,0.9223540919050889,2,2,4.585997989284561,"[30.7981037518733, 33.6163850333305, 36.09730783]","[31.0, 33.5, 36.0]"
