ga,first_bmi,delta_bmi,age,height,predicted_y,predicted_logit,conditional_low,conditional_high,new_woman_low,new_woman_high
10,28,0.0,28.897260273972602,161.0503913894325,0.06657958264071989,-2.6404577438671932,0.041124884133773465,0.10604726285815617,0.026077573440732086,0.15967348392615122
11,28,0.0,28.897260273972602,161.0503913894325,0.06804736350920226,-2.6170780092671158,0.04205678725221504,0.10828419207660586,0.02667798637040224,0.16283554239454645
12,28,0.0,28.897260273972602,161.0503913894325,0.06954509150372436,-2.593698274667038,0.04300886041497374,0.11056247063997866,0.027291835890002728,0.16604784649853754
14,28,0.0,28.897260273972602,161.0503913894325,0.07263240850247742,-2.5469388054668824,0.04497509558014629,0.1152451402663959,0.028560980534301526,0.17262440639524904
16,28,0.0,28.897260273972602,161.0503913894325,0.07584560883868292,-2.500179336266727,0.047026803841680426,0.12009935610510539,0.02988733045671187,0.17940540533870752
18,28,0.0,28.897260273972602,161.0503913894325,0.07918882033858711,-2.4534198670665717,0.04916728989978761,0.12512911847875371,0.03127329214555816,0.18639276586211312
20,28,0.0,28.897260273972602,161.0503913894325,0.08890142410904067,-2.3271229360371644,0.05541933000427322,0.139621979346937,0.03533451454513394,0.20630809258659155
22,28,0.0,28.897260273972602,161.0503913894325,0.09967633811733785,-2.200826005007757,0.06241418522274012,0.1554951027821295,0.039901413366600746,0.22775563053779901
24,28,0.0,28.897260273972602,161.0503913894325,0.11159722079467525,-2.0745290739783493,0.07022627106786662,0.17281033210034083,0.045031018971188747,0.25072847546038596
25,28,0.0,28.897260273972602,161.0503913894325,0.118013199878081,-2.0113806084636456,0.07446309895546017,0.18202452840417774,0.0478259788455244,0.26277744069099634
10,30,0.0,28.897260273972602,161.0503913894325,0.06201170465026696,-2.7164143187139502,0.03823186651544661,0.09905895799340766,0.024216357693306653,0.14974326346154815
11,30,0.0,28.897260273972602,161.0503913894325,0.06338562261733689,-2.6930345841138728,0.039100886186109886,0.10116515972888486,0.02477500789285219,0.152744415840633
