model,rho,groups,total_cost,cutpoints
credible,0.8,1,225.3586016380077,[]
credible,0.8,2,139.79509455046258,[34.10245052764635]
credible,0.8,3,110.57259485479668,"[33.24811706996741, 36.09730783]"
credible,0.8,4,101.94980059312894,"[32.9759465231214, 34.3202115368548, 36.09730783]"
credible,0.8,5,99.34691466169605,"[32.855693790000004, 33.6163850333305, 34.50887419732065, 36.09730783]"
credible,0.8,6,99.33593458338797,"[32.3282979883502, 32.855693790000004, 33.6163850333305, 34.50887419732065, 36.09730783]"
