model,aic,bic,loglik,converged,warnings
ga_hinge_18,801.4521200370173,835.9587374323628,-393.72606001850863,True,
ga_hinge_17,806.2293083507884,840.735925746134,-396.1146541753942,True,
ga_hinge_16,811.7359083046431,846.2425256999886,-398.86795415232154,True,
linear,818.561779240842,848.138879865424,-403.280889620421,True,
interaction,816.3257317435337,850.8323491388792,-401.1628658717668,True,
ga_hinge_15,816.4647087438316,850.9713261391771,-401.2323543719158,True,
ga_hinge_14,819.229206359104,853.7358237544495,-402.614603179552,True,
ga_hinge_13,820.3165695015286,854.8231868968742,-403.1582847507643,True,
age_height,816.3800008222679,855.8161349883771,-400.19000041113395,True,
