model,rho,groups,total_cost,cutpoints
hard,0.9,1,112.82600180726563,[]
hard,0.9,2,61.02393846993228,[33.75308582329245]
hard,0.9,3,39.662176345933474,"[31.0253201733632, 34.824950689999994]"
hard,0.9,4,30.1018075386625,"[30.7981037518733, 33.6163850333305, 36.09730783]"
hard,0.9,5,26.191281524080818,"[29.92762346, 31.5045234250675, 33.6163850333305, 36.09730783]"
hard,0.9,6,23.162958268230092,"[29.525661425178548, 30.90865332054825, 32.642336522060546, 34.258432214678805, 36.09730783]"
